Date,Retrieval Time (ms),Type,Size (Bytes)
Tue Jun 13 2023 22:56:00,117.9759,string,4096
Tue Jun 13 2023 22:56:01,423.7842,string,16384
Tue Jun 13 2023 22:56:01,311.5883,string,65536
Tue Jun 13 2023 22:56:02,1484.6040,string,262144
Tue Jun 13 2023 22:56:05,2097.4423,string,1048576
Tue Jun 13 2023 22:56:11,6226.9950,string,4194304
-,-
Tue Jun 13 2023 22:57:06,326.1593,string,4096
Tue Jun 13 2023 22:57:06,292.1671,string,16384
Tue Jun 13 2023 22:57:06,431.8486,string,65536
Tue Jun 13 2023 22:57:07,595.2678,string,262144
Tue Jun 13 2023 22:57:08,1298.7518,string,1048576
Tue Jun 13 2023 22:57:13,4414.3848,string,4194304
-,-
Tue Jun 13 2023 22:58:08,104.2515,string,4096
Tue Jun 13 2023 22:58:08,444.9797,string,16384
Tue Jun 13 2023 22:58:09,426.0215,string,65536
Tue Jun 13 2023 22:58:09,448.7251,string,262144
Tue Jun 13 2023 22:58:11,1412.4124,string,1048576
Tue Jun 13 2023 22:58:15,4135.8185,string,4194304
-,-
Tue Jun 13 2023 22:59:08,119.6773,string,4096
Tue Jun 13 2023 22:59:09,670.7289,string,16384
Tue Jun 13 2023 22:59:09,298.9473,string,65536
Tue Jun 13 2023 22:59:10,583.9694,string,262144
Tue Jun 13 2023 22:59:12,1812.2694,string,1048576
Tue Jun 13 2023 22:59:15,3527.2934,string,4194304
-,-
Tue Jun 13 2023 23:00:12,100.8381,string,4096
Tue Jun 13 2023 23:00:13,154.6411,string,16384
Tue Jun 13 2023 23:00:13,429.1513,string,65536
Tue Jun 13 2023 23:00:14,945.6852,string,262144
Tue Jun 13 2023 23:00:15,1089.9312,string,1048576
Tue Jun 13 2023 23:00:19,3790.4314,string,4194304
-,-
Tue Jun 13 2023 23:06:35,3.4431,string,4096
Tue Jun 13 2023 23:06:35,503.7940,string,16384
Tue Jun 13 2023 23:06:36,343.0019,string,65536
Tue Jun 13 2023 23:06:36,649.5085,string,262144
Tue Jun 13 2023 23:06:39,2080.8148,string,1048576
Tue Jun 13 2023 23:06:44,5655.1910,string,4194304
-,-
Tue Jun 13 2023 23:07:41,351.8945,string,4096
Tue Jun 13 2023 23:07:41,298.6690,string,16384
Tue Jun 13 2023 23:07:42,492.6270,string,65536
Tue Jun 13 2023 23:07:43,654.2662,string,262144
Tue Jun 13 2023 23:07:44,1536.6863,string,1048576
Tue Jun 13 2023 23:07:48,4143.2601,string,4194304
-,-
Tue Jun 13 2023 23:08:43,1.2644,string,4096
Tue Jun 13 2023 23:08:43,219.3898,string,16384
Tue Jun 13 2023 23:08:43,358.8054,string,65536
Tue Jun 13 2023 23:08:44,812.1261,string,262144
Tue Jun 13 2023 23:08:46,1513.8515,string,1048576
Tue Jun 13 2023 23:08:51,5071.0104,string,4194304
-,-
Tue Jun 13 2023 23:09:45,105.4804,string,4096
Tue Jun 13 2023 23:09:46,499.4668,string,16384
Tue Jun 13 2023 23:09:46,456.9297,string,65536
Tue Jun 13 2023 23:09:47,471.6855,string,262144
Tue Jun 13 2023 23:09:49,2108.7000,string,1048576
Tue Jun 13 2023 23:09:53,4046.2151,string,4194304
Tue Jun 13 2023 23:10:27,11706.0801,string,16777216
Tue Jun 13 2023 23:10:49,364.7306,string,4096
Tue Jun 13 2023 23:10:49,459.6963,string,16384
Tue Jun 13 2023 23:10:50,492.4295,string,65536
Tue Jun 13 2023 23:10:50,510.6757,string,262144
Tue Jun 13 2023 23:10:53,2595.8845,string,1048576
Tue Jun 13 2023 23:10:58,5139.1179,string,4194304
-,-
Sun Jun 18 2023 23:52:49,113.3760,string,4096
Sun Jun 18 2023 23:52:49,479.6330,string,16384
Sun Jun 18 2023 23:52:50,525.9611,string,65536
Sun Jun 18 2023 23:52:51,939.5730,string,262144
Sun Jun 18 2023 23:52:53,1841.3454,string,1048576
Sun Jun 18 2023 23:52:58,5194.6305,string,4194304
Sun Jun 18 2023 23:53:09,11186.9950,string,16777216
Sun Jun 18 2023 23:53:34,375.9458,string,4096
Sun Jun 18 2023 23:53:35,376.7729,string,16384
Sun Jun 18 2023 23:53:35,376.9746,string,65536
Sun Jun 18 2023 23:53:35,480.7519,string,262144
Sun Jun 18 2023 23:53:37,1660.7881,string,1048576
Sun Jun 18 2023 23:53:41,3699.6172,string,4194304
-,-
Sun Jun 18 2023 23:54:19,99.0674,string,4096
Sun Jun 18 2023 23:54:19,494.7404,string,16384
Sun Jun 18 2023 23:54:20,466.6812,string,65536
Sun Jun 18 2023 23:54:20,379.5118,string,262144
Sun Jun 18 2023 23:54:22,1558.9179,string,1048576
Sun Jun 18 2023 23:54:26,3964.3509,string,4194304
-,-
Sun Jun 18 2023 23:55:01,101.7022,string,4096
Sun Jun 18 2023 23:55:01,240.7179,string,16384
Sun Jun 18 2023 23:55:01,479.0054,string,65536
Sun Jun 18 2023 23:55:02,678.0606,string,262144
Sun Jun 18 2023 23:55:03,1367.4783,string,1048576
Sun Jun 18 2023 23:55:08,4987.6302,string,4194304
-,-
Sun Jun 18 2023 23:55:49,114.0058,string,4096
Sun Jun 18 2023 23:55:49,374.0782,string,16384
Sun Jun 18 2023 23:55:49,379.5215,string,65536
Sun Jun 18 2023 23:55:50,659.0433,string,262144
Sun Jun 18 2023 23:55:52,1668.1872,string,1048576
Sun Jun 18 2023 23:55:58,6286.3724,string,4194304
-,-
