Date,Retrieval Time (ms),Type,Size (Bytes)
Tue Jun 13 2023 21:55:30,50.1519,string,4096
Tue Jun 13 2023 21:55:30,98.2075,string,16384
Tue Jun 13 2023 21:55:31,512.4398,string,65536
Tue Jun 13 2023 21:55:31,434.1962,string,262144
Tue Jun 13 2023 21:55:32,898.8400,string,1048576
Tue Jun 13 2023 21:55:35,2986.7008,string,4194304
Tue Jun 13 2023 21:55:41,5930.7686,string,16777216
Tue Jun 13 2023 21:57:05,5.7100,string,4096
Tue Jun 13 2023 21:57:06,146.6035,string,16384
Tue Jun 13 2023 21:57:06,254.6206,string,65536
Tue Jun 13 2023 21:57:06,418.1142,string,262144
Tue Jun 13 2023 21:57:07,856.0712,string,1048576
Tue Jun 13 2023 21:57:10,2508.7656,string,4194304
-,-
Tue Jun 13 2023 21:58:08,2.4935,string,4096
Tue Jun 13 2023 21:58:08,306.1440,string,16384
Tue Jun 13 2023 21:58:08,264.1335,string,65536
Tue Jun 13 2023 21:58:09,318.1132,string,262144
Tue Jun 13 2023 21:58:10,959.6511,string,1048576
Tue Jun 13 2023 21:58:12,2698.1726,string,4194304
Tue Jun 13 2023 21:58:53,9214.4425,string,16777216
Tue Jun 13 2023 21:59:08,50.1639,string,4096
Tue Jun 13 2023 21:59:09,499.5144,string,16384
Tue Jun 13 2023 21:59:09,295.6103,string,65536
Tue Jun 13 2023 21:59:09,303.9868,string,262144
Tue Jun 13 2023 21:59:10,966.7984,string,1048576
Tue Jun 13 2023 21:59:13,2839.2997,string,4194304
Tue Jun 13 2023 21:59:54,8691.7517,string,16777216
Tue Jun 13 2023 22:00:12,49.3950,string,4096
Tue Jun 13 2023 22:00:13,121.2106,string,16384
Tue Jun 13 2023 22:00:13,302.1384,string,65536
Tue Jun 13 2023 22:00:13,435.2584,string,262144
Tue Jun 13 2023 22:00:14,919.3655,string,1048576
Tue Jun 13 2023 22:00:17,3102.8683,string,4194304
-,-
Tue Jun 13 2023 22:06:05,3.0701,string,4096
Tue Jun 13 2023 22:06:05,98.8034,string,16384
Tue Jun 13 2023 22:06:05,264.4065,string,65536
Tue Jun 13 2023 22:06:06,647.6715,string,262144
Tue Jun 13 2023 22:06:07,1264.3193,string,1048576
Tue Jun 13 2023 22:06:11,4375.4655,string,4194304
Tue Jun 13 2023 22:06:19,7543.4186,string,16777216
Tue Jun 13 2023 22:07:41,5.4815,string,4096
Tue Jun 13 2023 22:07:41,121.6222,string,16384
Tue Jun 13 2023 22:07:41,256.8257,string,65536
Tue Jun 13 2023 22:07:42,413.1033,string,262144
Tue Jun 13 2023 22:07:43,1008.1603,string,1048576
Tue Jun 13 2023 22:07:45,2862.6542,string,4194304
-,-
Tue Jun 13 2023 22:08:43,56.2208,string,4096
Tue Jun 13 2023 22:08:43,98.4265,string,16384
Tue Jun 13 2023 22:08:43,305.7113,string,65536
Tue Jun 13 2023 22:08:44,265.4647,string,262144
Tue Jun 13 2023 22:08:45,985.3615,string,1048576
Tue Jun 13 2023 22:08:47,2774.6582,string,4194304
-,-
Tue Jun 13 2023 22:09:45,2.8230,string,4096
Tue Jun 13 2023 22:09:46,246.3814,string,16384
Tue Jun 13 2023 22:09:46,252.5782,string,65536
Tue Jun 13 2023 22:09:46,302.9238,string,262144
Tue Jun 13 2023 22:09:48,1525.3534,string,1048576
Tue Jun 13 2023 22:09:51,3041.1337,string,4194304
-,-
Tue Jun 13 2023 22:10:49,261.0413,string,4096
Tue Jun 13 2023 22:10:49,308.0360,string,16384
Tue Jun 13 2023 22:10:49,312.6294,string,65536
Tue Jun 13 2023 22:10:50,391.4185,string,262144
Tue Jun 13 2023 22:10:51,969.1781,string,1048576
Tue Jun 13 2023 22:10:53,2733.0219,string,4194304
-,-
Sun Jun 18 2023 22:52:14,50.2158,string,4096
Sun Jun 18 2023 22:52:14,57.3273,string,16384
Sun Jun 18 2023 22:52:15,572.3953,string,65536
Sun Jun 18 2023 22:52:15,432.1067,string,262144
Sun Jun 18 2023 22:52:17,1247.9317,string,1048576
Sun Jun 18 2023 22:52:20,3201.3505,string,4194304
Sun Jun 18 2023 22:52:27,6857.0435,string,16777216
Sun Jun 18 2023 22:53:34,288.4896,string,4096
Sun Jun 18 2023 22:53:34,98.4877,string,16384
Sun Jun 18 2023 22:53:35,568.8652,string,65536
Sun Jun 18 2023 22:53:35,464.2571,string,262144
Sun Jun 18 2023 22:53:37,1591.2728,string,1048576
Sun Jun 18 2023 22:53:40,3483.4981,string,4194304
-,-
Sun Jun 18 2023 22:54:19,50.4083,string,4096
Sun Jun 18 2023 22:54:19,329.7481,string,16384
Sun Jun 18 2023 22:54:20,464.5291,string,65536
Sun Jun 18 2023 22:54:20,405.0630,string,262144
Sun Jun 18 2023 22:54:22,1389.6201,string,1048576
Sun Jun 18 2023 22:54:26,4036.1291,string,4194304
-,-
Sun Jun 18 2023 22:55:01,2.4711,string,4096
Sun Jun 18 2023 22:55:01,122.2451,string,16384
Sun Jun 18 2023 22:55:01,289.2259,string,65536
Sun Jun 18 2023 22:55:01,340.6385,string,262144
Sun Jun 18 2023 22:55:03,1140.1799,string,1048576
Sun Jun 18 2023 22:55:06,3842.7105,string,4194304
-,-
Sun Jun 18 2023 22:55:49,49.2825,string,4096
Sun Jun 18 2023 22:55:49,96.4538,string,16384
Sun Jun 18 2023 22:55:49,335.4958,string,65536
Sun Jun 18 2023 22:55:49,293.7379,string,262144
Sun Jun 18 2023 22:55:50,1034.1723,string,1048576
Sun Jun 18 2023 22:55:54,3666.1976,string,4194304
-,-
