Date,Retrieval Time (ms),Type,Size (Bytes)
Tue Jun 13 2023 21:55:30,54.1886,string,4096
Tue Jun 13 2023 21:55:30,101.9799,string,16384
Tue Jun 13 2023 21:55:31,511.8117,string,65536
Tue Jun 13 2023 21:55:31,441.4666,string,262144
Tue Jun 13 2023 21:55:32,931.8514,string,1048576
Tue Jun 13 2023 21:55:35,2956.1700,string,4194304
Tue Jun 13 2023 21:55:42,7078.5402,string,16777216
Tue Jun 13 2023 21:56:00,52.8802,string,4096
Tue Jun 13 2023 21:56:00,103.2597,string,16384
Tue Jun 13 2023 21:56:00,78.9319,string,65536
Tue Jun 13 2023 21:56:01,549.9204,string,262144
Tue Jun 13 2023 21:56:02,1028.3387,string,1048576
Tue Jun 13 2023 21:56:05,3050.6636,string,4194304
-,-
Tue Jun 13 2023 21:58:08,5.1227,string,4096
Tue Jun 13 2023 21:58:08,303.7753,string,16384
Tue Jun 13 2023 21:58:08,255.5622,string,65536
Tue Jun 13 2023 21:58:09,320.8506,string,262144
Tue Jun 13 2023 21:58:10,1025.2483,string,1048576
Tue Jun 13 2023 21:58:12,2717.5341,string,4194304
Tue Jun 13 2023 21:58:53,9024.1219,string,16777216
Tue Jun 13 2023 21:59:08,53.6153,string,4096
Tue Jun 13 2023 21:59:09,496.4600,string,16384
Tue Jun 13 2023 21:59:09,313.0952,string,65536
Tue Jun 13 2023 21:59:09,317.0528,string,262144
Tue Jun 13 2023 21:59:10,976.9805,string,1048576
Tue Jun 13 2023 21:59:14,3757.2019,string,4194304
Tue Jun 13 2023 21:59:55,8764.1015,string,16777216
Tue Jun 13 2023 22:00:12,54.0056,string,4096
Tue Jun 13 2023 22:00:13,178.9749,string,16384
Tue Jun 13 2023 22:00:13,307.1191,string,65536
Tue Jun 13 2023 22:00:13,492.4613,string,262144
Tue Jun 13 2023 22:00:14,1010.9024,string,1048576
Tue Jun 13 2023 22:00:18,3298.6812,string,4194304
-,-
Tue Jun 13 2023 22:06:05,2.8391,string,4096
Tue Jun 13 2023 22:06:05,105.0374,string,16384
Tue Jun 13 2023 22:06:05,429.4334,string,65536
Tue Jun 13 2023 22:06:06,512.5460,string,262144
Tue Jun 13 2023 22:06:07,1284.2182,string,1048576
Tue Jun 13 2023 22:06:11,4438.1217,string,4194304
Tue Jun 13 2023 22:06:20,8312.1749,string,16777216
Tue Jun 13 2023 22:06:35,51.6752,string,4096
Tue Jun 13 2023 22:06:35,152.4535,string,16384
Tue Jun 13 2023 22:06:35,319.3399,string,65536
Tue Jun 13 2023 22:06:36,318.7065,string,262144
Tue Jun 13 2023 22:06:37,1195.3010,string,1048576
Tue Jun 13 2023 22:06:40,3045.0039,string,4194304
-,-
Tue Jun 13 2023 22:08:43,55.1035,string,4096
Tue Jun 13 2023 22:08:43,103.7710,string,16384
Tue Jun 13 2023 22:08:43,312.4436,string,65536
Tue Jun 13 2023 22:08:44,523.9980,string,262144
Tue Jun 13 2023 22:08:46,1665.5759,string,1048576
Tue Jun 13 2023 22:08:50,4139.3552,string,4194304
-,-
Tue Jun 13 2023 22:09:45,2.7114,string,4096
Tue Jun 13 2023 22:09:46,248.6109,string,16384
Tue Jun 13 2023 22:09:46,259.2426,string,65536
Tue Jun 13 2023 22:09:46,315.3571,string,262144
Tue Jun 13 2023 22:09:48,1673.3049,string,1048576
Tue Jun 13 2023 22:09:51,3291.6942,string,4194304
-,-
Tue Jun 13 2023 22:10:49,251.9659,string,4096
Tue Jun 13 2023 22:10:49,296.7162,string,16384
Tue Jun 13 2023 22:10:49,305.3052,string,65536
Tue Jun 13 2023 22:10:50,399.8110,string,262144
Tue Jun 13 2023 22:10:51,981.3044,string,1048576
Tue Jun 13 2023 22:10:54,3579.5326,string,4194304
-,-
Sun Jun 18 2023 22:52:14,53.2540,string,4096
Sun Jun 18 2023 22:52:14,53.7575,string,16384
Sun Jun 18 2023 22:52:15,1194.7525,string,65536
Sun Jun 18 2023 22:52:16,294.2238,string,262144
Sun Jun 18 2023 22:52:17,1292.6723,string,1048576
Sun Jun 18 2023 22:52:21,3630.0152,string,4194304
Sun Jun 18 2023 22:52:28,7542.1382,string,16777216
Sun Jun 18 2023 22:52:49,54.0876,string,4096
Sun Jun 18 2023 22:52:50,662.0800,string,16384
Sun Jun 18 2023 22:52:50,374.4150,string,65536
Sun Jun 18 2023 22:52:50,586.6831,string,262144
Sun Jun 18 2023 22:52:52,1334.3661,string,1048576
Sun Jun 18 2023 22:52:55,3495.0124,string,4194304
Sun Jun 18 2023 22:53:16,8335.2604,string,16777216
Sun Jun 18 2023 22:53:34,287.9827,string,4096
Sun Jun 18 2023 22:53:34,102.8659,string,16384
Sun Jun 18 2023 22:53:35,598.2087,string,65536
Sun Jun 18 2023 22:53:35,348.0125,string,262144
Sun Jun 18 2023 22:53:37,1373.4731,string,1048576
Sun Jun 18 2023 22:53:40,3402.0273,string,4194304
-,-
Sun Jun 18 2023 22:55:01,4.3656,string,4096
Sun Jun 18 2023 22:55:01,131.6629,string,16384
Sun Jun 18 2023 22:55:01,290.0421,string,65536
Sun Jun 18 2023 22:55:02,770.2385,string,262144
Sun Jun 18 2023 22:55:04,1849.6986,string,1048576
Sun Jun 18 2023 22:55:09,4811.6658,string,4194304
-,-
Sun Jun 18 2023 22:55:49,56.7224,string,4096
Sun Jun 18 2023 22:55:49,101.8652,string,16384
Sun Jun 18 2023 22:55:49,346.0147,string,65536
Sun Jun 18 2023 22:55:49,298.9136,string,262144
Sun Jun 18 2023 22:55:51,1173.6179,string,1048576
Sun Jun 18 2023 22:55:55,4344.1095,string,4194304
-,-
