Date,Retrieval Time (ms),Type,Size (Bytes)
Tue Jun 13 2023 21:55:30,64.5248,string,4096
Tue Jun 13 2023 21:55:30,123.3518,string,16384
Tue Jun 13 2023 21:55:31,533.9646,string,65536
Tue Jun 13 2023 21:55:31,453.4462,string,262144
Tue Jun 13 2023 21:55:33,1166.3900,string,1048576
Tue Jun 13 2023 21:55:36,2946.8601,string,4194304
Tue Jun 13 2023 21:55:44,7988.1235,string,16777216
Tue Jun 13 2023 21:56:00,62.4558,string,4096
Tue Jun 13 2023 21:56:00,121.2330,string,16384
Tue Jun 13 2023 21:56:01,181.6861,string,65536
Tue Jun 13 2023 21:56:01,668.7576,string,262144
Tue Jun 13 2023 21:56:02,1128.2782,string,1048576
Tue Jun 13 2023 21:56:05,2912.0868,string,4194304
Tue Jun 13 2023 21:56:27,9591.3155,string,16777216
Tue Jun 13 2023 21:57:06,280.0318,string,4096
Tue Jun 13 2023 21:57:06,62.3805,string,16384
Tue Jun 13 2023 21:57:06,343.5645,string,65536
Tue Jun 13 2023 21:57:06,282.8593,string,262144
Tue Jun 13 2023 21:57:08,1208.5746,string,1048576
Tue Jun 13 2023 21:57:11,3168.8297,string,4194304
Tue Jun 13 2023 21:57:52,8572.7313,string,16777216
Tue Jun 13 2023 21:58:08,63.0181,string,4096
Tue Jun 13 2023 21:58:08,282.9353,string,16384
Tue Jun 13 2023 21:58:08,330.2900,string,65536
Tue Jun 13 2023 21:58:09,278.8445,string,262144
Tue Jun 13 2023 21:58:10,1085.5573,string,1048576
Tue Jun 13 2023 21:58:13,3389.1462,string,4194304
-,-
Tue Jun 13 2023 21:59:08,62.1503,string,4096
Tue Jun 13 2023 21:59:09,721.1832,string,16384
Tue Jun 13 2023 21:59:09,270.8432,string,65536
Tue Jun 13 2023 21:59:10,463.7626,string,262144
Tue Jun 13 2023 21:59:11,1724.6117,string,1048576
Tue Jun 13 2023 21:59:16,4507.6433,string,4194304
-,-
Tue Jun 13 2023 22:06:05,95.8698,string,4096
Tue Jun 13 2023 22:06:05,61.6474,string,16384
Tue Jun 13 2023 22:06:05,362.4006,string,65536
Tue Jun 13 2023 22:06:06,547.7371,string,262144
Tue Jun 13 2023 22:06:07,958.3422,string,1048576
Tue Jun 13 2023 22:06:10,3134.4946,string,4194304
Tue Jun 13 2023 22:06:18,8412.1599,string,16777216
Tue Jun 13 2023 22:06:35,62.0835,string,4096
Tue Jun 13 2023 22:06:35,62.1463,string,16384
Tue Jun 13 2023 22:06:36,512.0443,string,65536
Tue Jun 13 2023 22:06:36,598.9021,string,262144
Tue Jun 13 2023 22:06:38,1371.9316,string,1048576
Tue Jun 13 2023 22:06:42,3984.9113,string,4194304
-,-
Tue Jun 13 2023 22:07:41,280.5853,string,4096
Tue Jun 13 2023 22:07:41,63.7590,string,16384
Tue Jun 13 2023 22:07:42,620.8979,string,65536
Tue Jun 13 2023 22:07:42,575.2389,string,262144
Tue Jun 13 2023 22:07:44,1825.3258,string,1048576
Tue Jun 13 2023 22:07:48,4108.9707,string,4194304
Tue Jun 13 2023 22:08:21,10440.0930,string,16777216
Tue Jun 13 2023 22:08:43,207.1581,string,4096
Tue Jun 13 2023 22:08:43,146.4228,string,16384
Tue Jun 13 2023 22:08:44,646.1651,string,65536
Tue Jun 13 2023 22:08:44,472.0139,string,262144
Tue Jun 13 2023 22:08:46,1487.5695,string,1048576
Tue Jun 13 2023 22:08:50,4021.1693,string,4194304
-,-
Tue Jun 13 2023 22:09:45,64.8569,string,4096
Tue Jun 13 2023 22:09:46,353.2946,string,16384
Tue Jun 13 2023 22:09:46,327.2912,string,65536
Tue Jun 13 2023 22:09:47,335.1730,string,262144
Tue Jun 13 2023 22:09:48,1363.7651,string,1048576
Tue Jun 13 2023 22:09:52,3757.9630,string,4194304
-,-
Sun Jun 18 2023 22:52:14,65.0299,string,4096
Sun Jun 18 2023 22:52:14,152.0952,string,16384
Sun Jun 18 2023 22:52:15,588.4035,string,65536
Sun Jun 18 2023 22:52:16,537.5501,string,262144
Sun Jun 18 2023 22:52:17,1841.2389,string,1048576
Sun Jun 18 2023 22:52:22,4132.7973,string,4194304
Sun Jun 18 2023 22:52:30,8696.1979,string,16777216
Sun Jun 18 2023 22:52:49,2.7463,string,4096
Sun Jun 18 2023 22:52:49,361.1454,string,16384
Sun Jun 18 2023 22:52:50,660.6480,string,65536
Sun Jun 18 2023 22:52:51,739.8834,string,262144
Sun Jun 18 2023 22:52:52,1807.8939,string,1048576
Sun Jun 18 2023 22:52:57,4060.4828,string,4194304
-,-
Sun Jun 18 2023 22:53:34,294.1136,string,4096
Sun Jun 18 2023 22:53:35,438.2221,string,16384
Sun Jun 18 2023 22:53:35,594.3420,string,65536
Sun Jun 18 2023 22:53:36,458.9320,string,262144
Sun Jun 18 2023 22:53:37,1295.9395,string,1048576
Sun Jun 18 2023 22:53:41,3654.9210,string,4194304
-,-
Sun Jun 18 2023 22:54:19,2.5049,string,4096
Sun Jun 18 2023 22:54:19,585.5571,string,16384
Sun Jun 18 2023 22:54:20,300.6370,string,65536
Sun Jun 18 2023 22:54:20,580.3099,string,262144
Sun Jun 18 2023 22:54:21,1049.8190,string,1048576
Sun Jun 18 2023 22:54:25,3453.3271,string,4194304
-,-
Sun Jun 18 2023 22:55:01,62.0382,string,4096
Sun Jun 18 2023 22:55:01,61.6754,string,16384
Sun Jun 18 2023 22:55:01,360.9559,string,65536
Sun Jun 18 2023 22:55:02,665.4346,string,262144
Sun Jun 18 2023 22:55:03,1651.8369,string,1048576
Sun Jun 18 2023 22:55:08,4270.1180,string,4194304
-,-
