Date,Retrieval Time (ms),Type,Size (Bytes)
Tue Jun 13 2023 22:16:44,2.2039,string,4096
Tue Jun 13 2023 22:16:44,316.9589,string,16384
Tue Jun 13 2023 22:16:44,314.2490,string,65536
Tue Jun 13 2023 22:16:45,618.0392,string,262144
Tue Jun 13 2023 22:16:46,1526.9956,string,1048576
Tue Jun 13 2023 22:16:50,3557.4711,string,4194304
Tue Jun 13 2023 22:16:57,7321.4076,string,16777216
Tue Jun 13 2023 22:17:12,3.6050,string,4096
Tue Jun 13 2023 22:17:12,298.7251,string,16384
Tue Jun 13 2023 22:17:13,307.3465,string,65536
Tue Jun 13 2023 22:17:13,380.1711,string,262144
Tue Jun 13 2023 22:17:14,1029.4707,string,1048576
Tue Jun 13 2023 22:17:17,3238.6228,string,4194304
-,-
Tue Jun 13 2023 22:18:13,2.2673,string,4096
Tue Jun 13 2023 22:18:13,305.2991,string,16384
Tue Jun 13 2023 22:18:14,298.1797,string,65536
Tue Jun 13 2023 22:18:14,381.4453,string,262144
Tue Jun 13 2023 22:18:15,1062.2301,string,1048576
Tue Jun 13 2023 22:18:19,3826.7680,string,4194304
Tue Jun 13 2023 22:18:54,11351.5025,string,16777216
Tue Jun 13 2023 22:19:17,53.1188,string,4096
Tue Jun 13 2023 22:19:17,54.9089,string,16384
Tue Jun 13 2023 22:19:17,182.3360,string,65536
Tue Jun 13 2023 22:19:18,672.8396,string,262144
Tue Jun 13 2023 22:19:19,1101.0963,string,1048576
Tue Jun 13 2023 22:19:23,3930.7235,string,4194304
-,-
Tue Jun 13 2023 22:21:24,47.7070,string,4096
Tue Jun 13 2023 22:21:24,51.8330,string,16384
Tue Jun 13 2023 22:21:24,302.3679,string,65536
Tue Jun 13 2023 22:21:25,414.0220,string,262144
Tue Jun 13 2023 22:21:26,1314.1002,string,1048576
Tue Jun 13 2023 22:21:30,3556.8074,string,4194304
Tue Jun 13 2023 22:21:48,18369.1433,string,16777216
Tue Jun 13 2023 22:27:15,96.2614,string,4096
Tue Jun 13 2023 22:27:15,316.0206,string,16384
Tue Jun 13 2023 22:27:16,316.6146,string,65536
Tue Jun 13 2023 22:27:16,387.9397,string,262144
Tue Jun 13 2023 22:27:17,1102.8550,string,1048576
Tue Jun 13 2023 22:27:20,2964.4865,string,4194304
Tue Jun 13 2023 22:27:28,7622.4145,string,16777216
Tue Jun 13 2023 22:27:43,52.7347,string,4096
Tue Jun 13 2023 22:27:43,183.5487,string,16384
Tue Jun 13 2023 22:27:44,610.2766,string,65536
Tue Jun 13 2023 22:27:45,707.1457,string,262144
Tue Jun 13 2023 22:27:46,1369.6811,string,1048576
Tue Jun 13 2023 22:27:50,3742.5125,string,4194304
-,-
Tue Jun 13 2023 22:28:46,53.3801,string,4096
Tue Jun 13 2023 22:28:46,315.5340,string,16384
Tue Jun 13 2023 22:28:47,311.6270,string,65536
Tue Jun 13 2023 22:28:47,588.0102,string,262144
Tue Jun 13 2023 22:28:49,1358.5824,string,1048576
Tue Jun 13 2023 22:28:52,3799.1886,string,4194304
-,-
Tue Jun 13 2023 22:29:51,52.1545,string,4096
Tue Jun 13 2023 22:29:51,299.7701,string,16384
Tue Jun 13 2023 22:29:52,562.0750,string,65536
Tue Jun 13 2023 22:29:52,378.3025,string,262144
Tue Jun 13 2023 22:29:54,1547.4246,string,1048576
Tue Jun 13 2023 22:29:58,3638.3620,string,4194304
-,-
Tue Jun 13 2023 22:31:58,53.6791,string,4096
Tue Jun 13 2023 22:31:58,71.7129,string,16384
Tue Jun 13 2023 22:31:59,179.8797,string,65536
Tue Jun 13 2023 22:31:59,583.5059,string,262144
Tue Jun 13 2023 22:32:01,1302.2599,string,1048576
Tue Jun 13 2023 22:32:04,3158.2837,string,4194304
Tue Jun 13 2023 22:32:23,18793.6629,string,16777216
Sun Jun 18 2023 23:01:26,2.9353,string,4096
Sun Jun 18 2023 23:01:26,284.9433,string,16384
Sun Jun 18 2023 23:01:26,77.1899,string,65536
Sun Jun 18 2023 23:01:27,716.9751,string,262144
Sun Jun 18 2023 23:01:28,1671.8662,string,1048576
Sun Jun 18 2023 23:01:33,4745.9999,string,4194304
Sun Jun 18 2023 23:01:40,7066.1953,string,16777216
Sun Jun 18 2023 23:02:00,52.3840,string,4096
Sun Jun 18 2023 23:02:01,410.5633,string,16384
Sun Jun 18 2023 23:02:01,333.1346,string,65536
Sun Jun 18 2023 23:02:02,463.6963,string,262144
Sun Jun 18 2023 23:02:03,1015.5694,string,1048576
Sun Jun 18 2023 23:02:05,2751.6066,string,4194304
-,-
Sun Jun 18 2023 23:02:46,2.9408,string,4096
Sun Jun 18 2023 23:02:46,295.4426,string,16384
Sun Jun 18 2023 23:02:47,328.9939,string,65536
Sun Jun 18 2023 23:02:47,419.8926,string,262144
Sun Jun 18 2023 23:02:49,1635.9426,string,1048576
Sun Jun 18 2023 23:02:52,3342.0926,string,4194304
-,-
Sun Jun 18 2023 23:03:34,51.8158,string,4096
Sun Jun 18 2023 23:03:34,180.4001,string,16384
Sun Jun 18 2023 23:03:34,337.5863,string,65536
Sun Jun 18 2023 23:03:35,610.6021,string,262144
Sun Jun 18 2023 23:03:36,1322.8690,string,1048576
Sun Jun 18 2023 23:03:40,3438.8344,string,4194304
-,-
Sun Jun 18 2023 23:05:04,55.3774,string,4096
Sun Jun 18 2023 23:05:04,125.5373,string,16384
Sun Jun 18 2023 23:05:05,282.1812,string,65536
Sun Jun 18 2023 23:05:06,1021.5605,string,262144
Sun Jun 18 2023 23:05:08,2109.6150,string,1048576
Sun Jun 18 2023 23:05:12,3780.4999,string,4194304
-,-
