index,Retrieval Time (ms),Size (Bytes)
0,2.2039,4096
7,3.605,4096
14,2.2673,4096
21,53.1188,4096
28,47.707,4096
35,96.2614,4096
42,52.7347,4096
49,53.3801,4096
56,52.1545,4096
63,53.6791,4096
70,2.9353,4096
77,52.384,4096
84,2.9408,4096
91,51.8158,4096
98,55.3774,4096
1,316.9589,16384
8,298.7251,16384
15,305.2991,16384
22,54.9089,16384
29,51.833,16384
36,316.0206,16384
43,183.5487,16384
50,315.534,16384
57,299.7701,16384
64,71.7129,16384
71,284.9433,16384
78,410.5633,16384
85,295.4426,16384
92,180.4001,16384
99,125.5373,16384
2,314.249,65536
9,307.3465,65536
16,298.1797,65536
30,302.3679,65536
37,316.6146,65536
51,311.627,65536
79,333.1346,65536
86,328.9939,65536
93,337.5863,65536
100,282.1812,65536
3,618.0392,262144
10,380.1711,262144
17,381.4453,262144
24,672.8396,262144
31,414.022,262144
38,387.9397,262144
45,707.1457,262144
52,588.0102,262144
59,378.3025,262144
66,583.5059,262144
73,716.9751,262144
80,463.6963,262144
87,419.8926,262144
94,610.6021,262144
4,1526.9956,1048576
11,1029.4707,1048576
18,1062.2301,1048576
25,1101.0963,1048576
32,1314.1002,1048576
39,1102.855,1048576
46,1369.6811,1048576
53,1358.5824,1048576
60,1547.4246,1048576
67,1302.2599,1048576
74,1671.8662,1048576
81,1015.5694,1048576
88,1635.9426,1048576
95,1322.869,1048576
102,2109.615,1048576
5,3557.4711,4194304
12,3238.6228,4194304
19,3826.768,4194304
26,3930.7235,4194304
33,3556.8074,4194304
40,2964.4865,4194304
47,3742.5125,4194304
54,3799.1886,4194304
61,3638.362,4194304
68,3158.2837,4194304
82,2751.6066,4194304
89,3342.0926,4194304
96,3438.8344,4194304
103,3780.4999,4194304
6,7321.4076,16777216
20,11351.5025,16777216
34,18369.1433,16777216
41,7622.4145,16777216
69,18793.6629,16777216
76,7066.1953,16777216
