index,Retrieval Time (ms),Size (Bytes)
0,153.2403,4096
7,105.5926,4096
14,102.1987,4096
21,153.0602,4096
28,190.3408,4096
35,106.7829,4096
42,2.6874,4096
49,1.1867,4096
56,121.7718,4096
63,1.4336,4096
70,102.0392,4096
77,104.18,4096
84,1.2201,4096
91,132.8714,4096
98,112.3662,4096
1,225.5074,16384
8,455.4329,16384
15,224.9717,16384
22,356.5293,16384
29,208.035,16384
36,356.6861,16384
43,455.1483,16384
50,201.0597,16384
57,456.088,16384
64,505.9363,16384
71,374.7007,16384
78,501.6217,16384
85,211.2253,16384
92,303.4548,16384
99,238.97,16384
2,295.0832,65536
9,454.5805,65536
16,315.0105,65536
23,332.3226,65536
37,455.0592,65536
44,457.0932,65536
58,484.6135,65536
65,296.2477,65536
72,397.6639,65536
79,493.5804,65536
86,368.7254,65536
100,472.2842,65536
3,1214.8057,262144
10,874.9428,262144
17,628.246,262144
24,620.5882,262144
31,888.8863,262144
38,553.9698,262144
45,608.1346,262144
52,475.5229,262144
59,1134.2662,262144
66,768.9989,262144
73,515.4393,262144
80,689.0376,262144
87,1055.9642,262144
94,477.3031,262144
101,1234.4676,262144
4,2238.55,1048576
11,1428.9725,1048576
18,1738.0893,1048576
25,1343.7878,1048576
32,2601.9482,1048576
39,2104.8748,1048576
46,1504.4237,1048576
53,1528.4465,1048576
60,1202.8148,1048576
67,2170.1645,1048576
74,1735.6142,1048576
81,2673.5356,1048576
88,1701.1362,1048576
95,1865.7886,1048576
102,1834.5705,1048576
5,6363.121,4194304
12,4338.4021,4194304
19,3780.5416,4194304
26,4616.5522,4194304
33,5583.2466,4194304
40,4647.0,4194304
47,4078.7534,4194304
54,4141.5261,4194304
61,4137.5883,4194304
68,4587.8569,4194304
75,4510.7342,4194304
82,5632.7601,4194304
89,5354.1279,4194304
96,5279.879,4194304
103,5204.0923,4194304
6,10814.0839,16777216
27,17425.996,16777216
34,13764.9072,16777216
41,10160.5139,16777216
62,18542.5325,16777216
69,16293.5874,16777216
90,9749.7931,16777216
97,14682.1997,16777216
104,12704.5011,16777216
