index,Retrieval Time (ms),Size (Bytes)
0,67.4373,4096
7,92.4734,4096
14,63.4053,4096
21,2.2839,4096
28,92.572,4096
35,5.3084,4096
42,2.7697,4096
49,63.3639,4096
56,62.8625,4096
63,64.5991,4096
70,95.475,4096
77,2.4586,4096
84,62.3297,4096
91,60.5646,4096
98,61.9857,4096
1,265.3116,16384
8,382.9887,16384
15,328.85,16384
22,123.1357,16384
29,322.1762,16384
36,329.9963,16384
43,146.8824,16384
50,286.5491,16384
57,261.043,16384
64,537.0091,16384
71,375.1068,16384
78,439.5236,16384
85,372.0943,16384
92,196.7255,16384
99,140.632,16384
2,263.9557,65536
9,321.3169,65536
16,257.0447,65536
23,203.3184,65536
30,297.5407,65536
37,334.6393,65536
44,326.3959,65536
51,362.3105,65536
58,598.6175,65536
65,398.6666,65536
72,151.0206,65536
79,363.1237,65536
86,351.841,65536
93,351.4278,65536
100,368.7657,65536
3,407.3744,262144
10,499.6763,262144
17,592.725,262144
24,548.0939,262144
31,465.9431,262144
38,421.2291,262144
45,467.1446,262144
52,430.5482,262144
59,411.2336,262144
66,522.9728,262144
73,564.3574,262144
80,522.2896,262144
87,559.7494,262144
94,1027.068,262144
101,358.8067,262144
4,962.6322,1048576
11,1042.663,1048576
18,1499.6562,1048576
25,1091.1289,1048576
32,1120.3048,1048576
39,1099.4352,1048576
46,1119.9026,1048576
53,1040.5041,1048576
60,1544.7596,1048576
67,970.5436,1048576
74,1057.3339,1048576
81,1022.4816,1048576
88,1695.9327,1048576
95,1634.316,1048576
102,1180.5647,1048576
5,3184.0657,4194304
12,3334.2528,4194304
19,3781.6227,4194304
26,3520.1352,4194304
33,3374.0937,4194304
40,3217.4336,4194304
47,3440.2618,4194304
54,2998.689,4194304
61,4000.042,4194304
68,2961.7736,4194304
75,3357.9436,4194304
82,2891.1732,4194304
89,3204.9407,4194304
96,4878.9936,4194304
103,3800.1259,4194304
6,7378.6691,16777216
34,18960.4556,16777216
41,8156.8819,16777216
69,20503.507,16777216
76,7946.618,16777216
83,7481.6559,16777216
