Date,Retrieval Time (ms),Type,Size (Bytes)
Tue Jun 13 2023 23:17:12,153.2403,string,4096
Tue Jun 13 2023 23:17:12,225.5074,string,16384
Tue Jun 13 2023 23:17:13,295.0832,string,65536
Tue Jun 13 2023 23:17:14,1214.8057,string,262144
Tue Jun 13 2023 23:17:16,2238.5500,string,1048576
Tue Jun 13 2023 23:17:22,6363.1210,string,4194304
Tue Jun 13 2023 23:17:46,10814.0839,string,16777216
Tue Jun 13 2023 23:18:13,105.5926,string,4096
Tue Jun 13 2023 23:18:14,455.4329,string,16384
Tue Jun 13 2023 23:18:14,454.5805,string,65536
Tue Jun 13 2023 23:18:15,874.9428,string,262144
Tue Jun 13 2023 23:18:16,1428.9725,string,1048576
Tue Jun 13 2023 23:18:21,4338.4021,string,4194304
-,-
Tue Jun 13 2023 23:19:17,102.1987,string,4096
Tue Jun 13 2023 23:19:17,224.9717,string,16384
Tue Jun 13 2023 23:19:17,315.0105,string,65536
Tue Jun 13 2023 23:19:18,628.2460,string,262144
Tue Jun 13 2023 23:19:20,1738.0893,string,1048576
Tue Jun 13 2023 23:19:24,3780.5416,string,4194304
-,-
Tue Jun 13 2023 23:20:19,153.0602,string,4096
Tue Jun 13 2023 23:20:19,356.5293,string,16384
Tue Jun 13 2023 23:20:19,332.3226,string,65536
Tue Jun 13 2023 23:20:20,620.5882,string,262144
Tue Jun 13 2023 23:20:21,1343.7878,string,1048576
Tue Jun 13 2023 23:20:26,4616.5522,string,4194304
Tue Jun 13 2023 23:20:43,17425.9960,string,16777216
Tue Jun 13 2023 23:21:24,190.3408,string,4096
Tue Jun 13 2023 23:21:24,208.0350,string,16384
Tue Jun 13 2023 23:21:25,857.3958,string,65536
Tue Jun 13 2023 23:21:26,888.8863,string,262144
Tue Jun 13 2023 23:21:29,2601.9482,string,1048576
Tue Jun 13 2023 23:21:34,5583.2466,string,4194304
Tue Jun 13 2023 23:21:48,13764.9072,string,16777216
Tue Jun 13 2023 23:27:43,106.7829,string,4096
Tue Jun 13 2023 23:27:44,356.6861,string,16384
Tue Jun 13 2023 23:27:44,455.0592,string,65536
Tue Jun 13 2023 23:27:45,553.9698,string,262144
Tue Jun 13 2023 23:27:47,2104.8748,string,1048576
Tue Jun 13 2023 23:27:51,4647.0000,string,4194304
Tue Jun 13 2023 23:28:14,10160.5139,string,16777216
Tue Jun 13 2023 23:28:46,2.6874,string,4096
Tue Jun 13 2023 23:28:46,455.1483,string,16384
Tue Jun 13 2023 23:28:47,457.0932,string,65536
Tue Jun 13 2023 23:28:48,608.1346,string,262144
Tue Jun 13 2023 23:28:49,1504.4237,string,1048576
Tue Jun 13 2023 23:28:53,4078.7534,string,4194304
-,-
Tue Jun 13 2023 23:29:51,1.1867,string,4096
Tue Jun 13 2023 23:29:51,201.0597,string,16384
Tue Jun 13 2023 23:29:52,1034.4646,string,65536
Tue Jun 13 2023 23:29:53,475.5229,string,262144
Tue Jun 13 2023 23:29:54,1528.4465,string,1048576
Tue Jun 13 2023 23:29:58,4141.5261,string,4194304
-,-
Tue Jun 13 2023 23:30:52,121.7718,string,4096
Tue Jun 13 2023 23:30:53,456.0880,string,16384
Tue Jun 13 2023 23:30:53,484.6135,string,65536
Tue Jun 13 2023 23:30:54,1134.2662,string,262144
Tue Jun 13 2023 23:30:55,1202.8148,string,1048576
Tue Jun 13 2023 23:30:59,4137.5883,string,4194304
Tue Jun 13 2023 23:31:18,18542.5325,string,16777216
Tue Jun 13 2023 23:31:58,1.4336,string,4096
Tue Jun 13 2023 23:31:59,505.9363,string,16384
Tue Jun 13 2023 23:31:59,296.2477,string,65536
