Date,Retrieval Time (ms),Type,Size (Bytes)
Tue Jun 13 2023 22:16:44,3.0936,string,4096
Tue Jun 13 2023 22:16:44,104.7411,string,16384
Tue Jun 13 2023 22:16:44,129.2115,string,65536
Tue Jun 13 2023 22:16:45,641.6093,string,262144
Tue Jun 13 2023 22:16:46,1160.1843,string,1048576
Tue Jun 13 2023 22:16:49,3647.5724,string,4194304
Tue Jun 13 2023 22:16:57,7197.9539,string,16777216
Tue Jun 13 2023 22:17:12,2.8498,string,4096
Tue Jun 13 2023 22:17:12,301.7495,string,16384
Tue Jun 13 2023 22:17:12,153.6435,string,65536
Tue Jun 13 2023 22:17:13,377.9190,string,262144
Tue Jun 13 2023 22:17:14,856.8820,string,1048576
Tue Jun 13 2023 22:17:17,3214.3035,string,4194304
-,-
Tue Jun 13 2023 22:19:17,56.7317,string,4096
Tue Jun 13 2023 22:19:17,54.4380,string,16384
Tue Jun 13 2023 22:19:17,155.0947,string,65536
Tue Jun 13 2023 22:19:17,312.4781,string,262144
Tue Jun 13 2023 22:19:18,931.9790,string,1048576
Tue Jun 13 2023 22:19:21,2604.2950,string,4194304
-,-
Tue Jun 13 2023 22:20:18,3.0781,string,4096
Tue Jun 13 2023 22:20:19,313.4432,string,16384
Tue Jun 13 2023 22:20:19,251.9544,string,65536
Tue Jun 13 2023 22:20:19,405.9644,string,262144
Tue Jun 13 2023 22:20:20,1031.9033,string,1048576
Tue Jun 13 2023 22:20:24,3153.1716,string,4194304
-,-
Tue Jun 13 2023 22:21:24,79.0474,string,4096
Tue Jun 13 2023 22:21:24,52.3880,string,16384
Tue Jun 13 2023 22:21:24,320.8878,string,65536
Tue Jun 13 2023 22:21:25,582.1387,string,262144
Tue Jun 13 2023 22:21:26,1483.8793,string,1048576
Tue Jun 13 2023 22:21:30,3800.4762,string,4194304
-,-
Tue Jun 13 2023 22:27:15,78.5570,string,4096
Tue Jun 13 2023 22:27:15,335.1209,string,16384
Tue Jun 13 2023 22:27:16,321.3493,string,65536
Tue Jun 13 2023 22:27:16,354.7773,string,262144
Tue Jun 13 2023 22:27:17,1034.7187,string,1048576
Tue Jun 13 2023 22:27:21,3717.1264,string,4194304
Tue Jun 13 2023 22:27:28,6857.5275,string,16777216
Tue Jun 13 2023 22:27:43,52.2825,string,4096
Tue Jun 13 2023 22:27:43,128.2156,string,16384
Tue Jun 13 2023 22:27:43,128.3753,string,65536
Tue Jun 13 2023 22:27:44,978.3732,string,262144
Tue Jun 13 2023 22:27:47,2135.3131,string,1048576
Tue Jun 13 2023 22:27:51,4009.7237,string,4194304
-,-
Tue Jun 13 2023 22:29:51,54.7268,string,4096
Tue Jun 13 2023 22:29:51,104.3841,string,16384
Tue Jun 13 2023 22:29:52,266.3643,string,65536
Tue Jun 13 2023 22:29:52,562.8428,string,262144
Tue Jun 13 2023 22:29:53,1306.0251,string,1048576
Tue Jun 13 2023 22:29:57,3127.4295,string,4194304
-,-
Tue Jun 13 2023 22:30:52,53.8936,string,4096
Tue Jun 13 2023 22:30:53,511.4074,string,16384
Tue Jun 13 2023 22:30:53,322.9231,string,65536
Tue Jun 13 2023 22:30:53,426.9709,string,262144
Tue Jun 13 2023 22:30:54,1147.8767,string,1048576
Tue Jun 13 2023 22:30:58,3220.9009,string,4194304
-,-
Tue Jun 13 2023 22:31:58,52.4218,string,4096
Tue Jun 13 2023 22:31:58,128.2074,string,16384
Tue Jun 13 2023 22:31:59,129.3596,string,65536
Tue Jun 13 2023 22:31:59,438.1531,string,262144
Tue Jun 13 2023 22:32:00,1056.8086,string,1048576
Tue Jun 13 2023 22:32:03,2681.0553,string,4194304
-,-
Sun Jun 18 2023 23:01:26,2.8914,string,4096
Sun Jun 18 2023 23:01:26,78.7853,string,16384
Sun Jun 18 2023 23:01:26,78.9822,string,65536
Sun Jun 18 2023 23:01:27,777.1380,string,262144
Sun Jun 18 2023 23:01:28,1693.2372,string,1048576
Sun Jun 18 2023 23:01:33,4274.4654,string,4194304
Sun Jun 18 2023 23:01:41,8504.2456,string,16777216
Sun Jun 18 2023 23:02:00,57.5981,string,4096
Sun Jun 18 2023 23:02:01,332.4315,string,16384
Sun Jun 18 2023 23:02:01,333.6873,string,65536
Sun Jun 18 2023 23:02:02,463.0734,string,262144
Sun Jun 18 2023 23:02:03,1034.3218,string,1048576
Sun Jun 18 2023 23:02:06,3393.4420,string,4194304
-,-
Sun Jun 18 2023 23:02:46,1.9820,string,4096
Sun Jun 18 2023 23:02:46,289.0584,string,16384
Sun Jun 18 2023 23:02:47,352.9982,string,65536
Sun Jun 18 2023 23:02:47,446.6983,string,262144
Sun Jun 18 2023 23:02:49,1609.9624,string,1048576
Sun Jun 18 2023 23:02:52,3412.3575,string,4194304
-,-
Sun Jun 18 2023 23:04:17,4.2576,string,4096
Sun Jun 18 2023 23:04:17,129.5555,string,16384
Sun Jun 18 2023 23:04:18,338.8725,string,65536
Sun Jun 18 2023 23:04:18,336.1651,string,262144
Sun Jun 18 2023 23:04:19,995.8310,string,1048576
Sun Jun 18 2023 23:04:22,3474.2302,string,4194304
-,-
Sun Jun 18 2023 23:05:04,52.9451,string,4096
Sun Jun 18 2023 23:05:04,128.5804,string,16384
Sun Jun 18 2023 23:05:05,286.6984,string,65536
Sun Jun 18 2023 23:05:05,349.8913,string,262144
Sun Jun 18 2023 23:05:06,1340.2924,string,1048576
Sun Jun 18 2023 23:05:10,3322.1402,string,4194304
-,-

