Date,Retrieval Time (ms),Type,Size (Bytes)
Tue Jun 13 2023 22:16:44,67.4373,string,4096
Tue Jun 13 2023 22:16:44,265.3116,string,16384
Tue Jun 13 2023 22:16:44,263.9557,string,65536
Tue Jun 13 2023 22:16:45,407.3744,string,262144
Tue Jun 13 2023 22:16:46,962.6322,string,1048576
Tue Jun 13 2023 22:16:49,3184.0657,string,4194304
Tue Jun 13 2023 22:16:56,7378.6691,string,16777216
Tue Jun 13 2023 22:17:12,92.4734,string,4096
Tue Jun 13 2023 22:17:12,382.9887,string,16384
Tue Jun 13 2023 22:17:13,321.3169,string,65536
Tue Jun 13 2023 22:17:13,499.6763,string,262144
Tue Jun 13 2023 22:17:14,1042.6630,string,1048576
Tue Jun 13 2023 22:17:18,3334.2528,string,4194304
-,-
Tue Jun 13 2023 22:18:13,63.4053,string,4096
Tue Jun 13 2023 22:18:14,328.8500,string,16384
Tue Jun 13 2023 22:18:14,257.0447,string,65536
Tue Jun 13 2023 22:18:14,592.7250,string,262144
Tue Jun 13 2023 22:18:16,1499.6562,string,1048576
Tue Jun 13 2023 22:18:20,3781.6227,string,4194304
-,-
Tue Jun 13 2023 22:19:17,2.2839,string,4096
Tue Jun 13 2023 22:19:17,123.1357,string,16384
Tue Jun 13 2023 22:19:17,203.3184,string,65536
Tue Jun 13 2023 22:19:18,548.0939,string,262144
Tue Jun 13 2023 22:19:19,1091.1289,string,1048576
Tue Jun 13 2023 22:19:22,3520.1352,string,4194304
-,-
Tue Jun 13 2023 22:20:19,92.5720,string,4096
Tue Jun 13 2023 22:20:19,322.1762,string,16384
Tue Jun 13 2023 22:20:19,297.5407,string,65536
Tue Jun 13 2023 22:20:20,465.9431,string,262144
Tue Jun 13 2023 22:20:21,1120.3048,string,1048576
Tue Jun 13 2023 22:20:24,3374.0937,string,4194304
Tue Jun 13 2023 22:20:43,18960.4556,string,16777216
Tue Jun 13 2023 22:27:15,5.3084,string,4096
Tue Jun 13 2023 22:27:15,329.9963,string,16384
Tue Jun 13 2023 22:27:16,334.6393,string,65536
Tue Jun 13 2023 22:27:16,421.2291,string,262144
Tue Jun 13 2023 22:27:17,1099.4352,string,1048576
Tue Jun 13 2023 22:27:20,3217.4336,string,4194304
Tue Jun 13 2023 22:27:29,8156.8819,string,16777216
Tue Jun 13 2023 22:27:43,2.7697,string,4096
Tue Jun 13 2023 22:27:43,146.8824,string,16384
Tue Jun 13 2023 22:27:44,326.3959,string,65536
Tue Jun 13 2023 22:27:44,467.1446,string,262144
Tue Jun 13 2023 22:27:45,1119.9026,string,1048576
Tue Jun 13 2023 22:27:49,3440.2618,string,4194304
-,-
Tue Jun 13 2023 22:28:46,63.3639,string,4096
Tue Jun 13 2023 22:28:46,286.5491,string,16384
Tue Jun 13 2023 22:28:47,362.3105,string,65536
Tue Jun 13 2023 22:28:47,430.5482,string,262144
Tue Jun 13 2023 22:28:48,1040.5041,string,1048576
Tue Jun 13 2023 22:28:51,2998.6890,string,4194304
-,-
Tue Jun 13 2023 22:29:51,62.8625,string,4096
Tue Jun 13 2023 22:29:51,261.0430,string,16384
Tue Jun 13 2023 22:29:52,598.6175,string,65536
Tue Jun 13 2023 22:29:52,411.2336,string,262144
Tue Jun 13 2023 22:29:54,1544.7596,string,1048576
Tue Jun 13 2023 22:29:58,4000.0420,string,4194304
-,-
Tue Jun 13 2023 22:30:52,64.5991,string,4096
Tue Jun 13 2023 22:30:53,537.0091,string,16384
Tue Jun 13 2023 22:30:53,398.6666,string,65536
Tue Jun 13 2023 22:30:54,522.9728,string,262144
Tue Jun 13 2023 22:30:54,970.5436,string,1048576
Tue Jun 13 2023 22:30:57,2961.7736,string,4194304
