Date,Retrieval Time (ms),Type,Size (Bytes)
Tue Jun 13 2023 20:18:20,6.3086,string,4096
Tue Jun 13 2023 20:18:20,239.0163,string,16384
Tue Jun 13 2023 20:18:20,77.1813,string,65536
Tue Jun 13 2023 20:18:21,276.7884,string,262144
Tue Jun 13 2023 20:18:21,763.9871,string,1048576
Tue Jun 13 2023 20:18:24,2685.5100,string,4194304
Tue Jun 13 2023 20:18:35,10991.2250,string,16777216
Tue Jun 13 2023 20:31:09,7.4505,string,4096
Tue Jun 13 2023 20:31:09,6.0654,string,16384
Tue Jun 13 2023 20:31:09,6.4352,string,65536
Tue Jun 13 2023 20:31:09,7.0676,string,262144
Tue Jun 13 2023 20:31:09,11.8385,string,1048576
Tue Jun 13 2023 20:31:09,34.0462,string,4194304
Tue Jun 13 2023 20:31:19,9803.9386,string,16777216
Tue Jun 13 2023 20:54:27,6.1552,string,4096
Tue Jun 13 2023 20:54:27,61.0559,string,16384
Tue Jun 13 2023 20:54:27,47.3157,string,65536
Tue Jun 13 2023 20:54:27,361.7032,string,262144
Tue Jun 13 2023 20:54:28,1069.1053,string,1048576
Tue Jun 13 2023 20:54:32,4002.7281,string,4194304
Tue Jun 13 2023 20:54:42,9752.9082,string,16777216
Tue Jun 13 2023 20:59:03,5.4395,string,4096
Tue Jun 13 2023 20:59:03,3.5999,string,16384
Tue Jun 13 2023 20:59:03,3.7247,string,65536
Tue Jun 13 2023 20:59:03,5.0134,string,262144
Tue Jun 13 2023 20:59:03,10.8177,string,1048576
Tue Jun 13 2023 20:59:03,45.4088,string,4194304
Tue Jun 13 2023 20:59:14,10895.2057,string,16777216
Tue Jun 13 2023 21:00:05,5.4080,string,4096
Tue Jun 13 2023 21:00:05,3.3751,string,16384
Tue Jun 13 2023 21:00:05,3.7302,string,65536
Tue Jun 13 2023 21:00:05,7.9936,string,262144
Tue Jun 13 2023 21:00:06,16.2735,string,1048576
Tue Jun 13 2023 21:00:06,37.1328,string,4194304
Tue Jun 13 2023 21:00:14,8849.3804,string,16777216
Tue Jun 13 2023 21:12:29,35.9139,string,4096
Tue Jun 13 2023 21:12:29,75.0362,string,16384
Tue Jun 13 2023 21:12:30,238.8979,string,65536
Tue Jun 13 2023 21:12:30,577.7480,string,262144
Tue Jun 13 2023 21:12:31,991.1655,string,1048576
Tue Jun 13 2023 21:12:34,2513.1185,string,4194304
Tue Jun 13 2023 21:12:43,9497.2500,string,16777216
Tue Jun 13 2023 21:13:05,398.3232,string,4096
Tue Jun 13 2023 21:13:05,32.2300,string,16384
Tue Jun 13 2023 21:13:06,269.4957,string,65536
Tue Jun 13 2023 21:13:06,733.9570,string,262144
Tue Jun 13 2023 21:13:08,1520.3753,string,1048576
Tue Jun 13 2023 21:13:11,3264.6521,string,4194304
Tue Jun 13 2023 21:13:33,10387.8520,string,16777216
Tue Jun 13 2023 21:14:09,33.3532,string,4096
Tue Jun 13 2023 21:14:09,74.3464,string,16384
Tue Jun 13 2023 21:14:09,361.5409,string,65536
Tue Jun 13 2023 21:14:09,280.2775,string,262144
Tue Jun 13 2023 21:14:10,675.3184,string,1048576
Tue Jun 13 2023 21:14:13,2758.6055,string,4194304
-,-
Tue Jun 13 2023 21:16:26,34.5087,string,4096
Tue Jun 13 2023 21:16:27,257.6732,string,16384
Tue Jun 13 2023 21:16:27,261.3833,string,65536
Tue Jun 13 2023 21:16:27,261.4446,string,262144
Tue Jun 13 2023 21:16:28,760.5957,string,1048576
Tue Jun 13 2023 21:16:30,2585.3338,string,4194304
-,-
Tue Jun 13 2023 21:17:34,3.1127,string,4096
Tue Jun 13 2023 21:17:34,60.5516,string,16384
Tue Jun 13 2023 21:17:35,482.4475,string,65536
Tue Jun 13 2023 21:17:35,390.7191,string,262144
Tue Jun 13 2023 21:17:36,803.4769,string,1048576
Tue Jun 13 2023 21:17:38,2431.0923,string,4194304
Tue Jun 13 2023 21:18:20,10436.1530,string,16777216
Tue Jun 13 2023 21:23:28,3.6319,string,4096
Tue Jun 13 2023 21:23:28,76.8028,string,16384
Tue Jun 13 2023 21:23:29,345.0247,string,65536
Tue Jun 13 2023 21:23:29,281.1593,string,262144
Tue Jun 13 2023 21:23:30,778.6642,string,1048576
Tue Jun 13 2023 21:23:32,2593.5321,string,4194304
Tue Jun 13 2023 21:23:42,9973.7956,string,16777216
Tue Jun 13 2023 21:24:00,4.3929,string,4096
Tue Jun 13 2023 21:24:00,61.5001,string,16384
Tue Jun 13 2023 21:24:00,539.9801,string,65536
