Date,Retrieval Time (ms),Type,Size (Bytes)
Tue Jun 13 2023 20:18:20,7.6158,string,4096
Tue Jun 13 2023 20:18:20,257.3696,string,16384
Tue Jun 13 2023 20:18:21,129.6083,string,65536
Tue Jun 13 2023 20:18:21,806.4304,string,262144
Tue Jun 13 2023 20:18:23,1191.2879,string,1048576
Tue Jun 13 2023 20:18:26,3828.7535,string,4194304
Tue Jun 13 2023 20:18:35,8979.5310,string,16777216
Tue Jun 13 2023 20:31:07,5.3682,string,4096
Tue Jun 13 2023 20:31:07,4.3644,string,16384
Tue Jun 13 2023 20:31:07,3.9629,string,65536
Tue Jun 13 2023 20:31:07,6.5839,string,262144
Tue Jun 13 2023 20:31:07,13.4828,string,1048576
Tue Jun 13 2023 20:31:07,111.9721,string,4194304
Tue Jun 13 2023 20:31:18,10843.2782,string,16777216
Tue Jun 13 2023 20:54:27,3.7504,string,4096
Tue Jun 13 2023 20:54:27,101.5888,string,16384
Tue Jun 13 2023 20:54:27,75.9332,string,65536
Tue Jun 13 2023 20:54:27,400.6380,string,262144
Tue Jun 13 2023 20:54:28,1053.9291,string,1048576
Tue Jun 13 2023 20:54:32,3882.3841,string,4194304
Tue Jun 13 2023 20:54:41,9034.7063,string,16777216
Tue Jun 13 2023 20:59:01,3.6674,string,4096
Tue Jun 13 2023 20:59:01,2.6593,string,16384
Tue Jun 13 2023 20:59:01,3.7922,string,65536
Tue Jun 13 2023 20:59:01,4.8999,string,262144
Tue Jun 13 2023 20:59:01,12.0057,string,1048576
Tue Jun 13 2023 20:59:01,100.1343,string,4194304
Tue Jun 13 2023 20:59:10,9088.6436,string,16777216
Tue Jun 13 2023 21:00:20,3.5343,string,4096
Tue Jun 13 2023 21:00:20,3.2006,string,16384
Tue Jun 13 2023 21:00:20,3.3210,string,65536
Tue Jun 13 2023 21:00:20,4.6931,string,262144
Tue Jun 13 2023 21:00:20,10.5623,string,1048576
Tue Jun 13 2023 21:00:20,116.8794,string,4194304
Tue Jun 13 2023 21:00:32,11170.5436,string,16777216
Tue Jun 13 2023 21:12:29,55.6523,string,4096
Tue Jun 13 2023 21:12:29,126.9009,string,16384
Tue Jun 13 2023 21:12:30,252.3899,string,65536
Tue Jun 13 2023 21:12:30,635.4458,string,262144
Tue Jun 13 2023 21:12:32,1357.2077,string,1048576
