index,Retrieval Time (ms),Size (Bytes)
0,7.5869,4096
7,7.4131,4096
14,6.1575,4096
21,4.9617,4096
28,56.6018,4096
35,420.303,4096
42,81.35,4096
49,51.885,4096
56,2.1912,4096
63,3.893,4096
70,3.4856,4096
77,56.3073,4096
84,2.9898,4096
91,253.6849,4096
102,80.9359,4096
109,2.5946,4096
116,58.2282,4096
123,53.9078,4096
130,81.7154,4096
137,79.9592,4096
144,53.9907,4096
1,263.2779,16384
8,4.3693,16384
15,104.3726,16384
22,3.5263,16384
29,130.9311,16384
36,53.3917,16384
43,333.0209,16384
50,311.1209,16384
57,102.8336,16384
64,129.3975,16384
71,103.9221,16384
78,329.2514,16384
85,103.6656,16384
92,302.272,16384
103,127.5143,16384
110,78.4151,16384
117,280.1973,16384
124,569.8324,16384
131,346.4073,16384
138,329.4858,16384
145,128.3983,16384
2,130.4571,65536
9,5.6781,65536
16,78.3843,65536
23,3.7207,65536
30,250.2261,65536
37,301.552,65536
44,475.5945,65536
51,314.1792,65536
58,674.8778,65536
65,549.2159,65536
72,510.7372,65536
79,251.3744,65536
86,344.1105,65536
93,314.3832,65536
104,557.5192,65536
111,79.1913,65536
118,361.3377,65536
125,278.8421,65536
132,371.3646,65536
139,380.4172,65536
146,344.5322,65536
3,551.9041,262144
10,7.1381,262144
17,403.7642,262144
24,5.575,262144
31,787.3177,262144
38,747.1648,262144
45,304.0548,262144
52,421.3928,262144
59,767.0694,262144
66,473.1705,262144
73,523.1984,262144
80,425.4905,262144
87,319.1102,262144
94,666.1471,262144
105,609.1439,262144
112,1048.8997,262144
119,492.0734,262144
126,335.8134,262144
133,481.617,262144
140,475.7488,262144
147,371.1897,262144
4,905.3976,1048576
11,13.4463,1048576
18,849.965,1048576
25,11.243,1048576
32,1226.7784,1048576
39,1755.1374,1048576
46,1497.8097,1048576
53,856.0812,1048576
60,1658.4724,1048576
67,1398.7329,1048576
74,1315.0555,1048576
81,863.5119,1048576
88,913.4445,1048576
95,1031.8093,1048576
98,1684.4775,1048576
106,1889.6182,1048576
113,1463.2484,1048576
120,946.6052,1048576
127,1288.6978,1048576
134,1006.898,1048576
141,1403.7507,1048576
148,934.9694,1048576
5,3201.875,4194304
12,57.6745,4194304
19,3838.0775,4194304
26,58.1608,4194304
33,3127.6822,4194304
40,4029.4155,4194304
47,4085.2416,4194304
54,3103.0909,4194304
61,3727.2075,4194304
68,4444.5667,4194304
75,4477.8227,4194304
82,2829.7168,4194304
89,2813.1633,4194304
96,3183.8232,4194304
99,4310.3911,4194304
107,4590.4819,4194304
114,4594.8922,4194304
121,2955.4467,4194304
128,3301.5137,4194304
135,2876.4055,4194304
142,3894.2314,4194304
149,3974.9505,4194304
6,8631.6501,16777216
13,10951.0785,16777216
20,9474.9302,16777216
27,10235.466,16777216
34,8948.6233,16777216
41,8815.8499,16777216
62,11319.4102,16777216
69,8754.9344,16777216
100,9048.9184,16777216
122,7013.0773,16777216
