Date,Retrieval Time (ms),Type,Size (Bytes)
Tue Jun 13 2023 21:29:01,113.6172,string,4096
Tue Jun 13 2023 21:29:01,263.4431,string,16384
Tue Jun 13 2023 21:29:02,438.5867,string,65536
Tue Jun 13 2023 21:29:03,1133.7142,string,262144
Tue Jun 13 2023 21:29:05,2420.4850,string,1048576
Tue Jun 13 2023 21:29:11,5490.4973,string,4194304
Tue Jun 13 2023 21:29:23,12316.6757,string,16777216
Tue Jun 13 2023 21:58:53,8.9455,string,4096
Tue Jun 13 2023 21:58:53,6.2122,string,16384
Tue Jun 13 2023 21:58:53,6.1449,string,65536
Tue Jun 13 2023 21:58:53,10.0538,string,262144
Tue Jun 13 2023 21:58:53,16.3590,string,1048576
Tue Jun 13 2023 21:58:53,39.5417,string,4194304
Tue Jun 13 2023 21:59:03,9826.2776,string,16777216
Tue Jun 13 2023 21:59:32,105.6170,string,4096
Tue Jun 13 2023 21:59:32,434.7506,string,16384
Tue Jun 13 2023 21:59:33,333.9768,string,65536
Tue Jun 13 2023 21:59:33,339.4435,string,262144
Tue Jun 13 2023 21:59:34,1027.2262,string,1048576
Tue Jun 13 2023 21:59:38,3682.2070,string,4194304
-,-
Tue Jun 13 2023 22:13:05,344.4337,string,4096
Tue Jun 13 2023 22:13:05,212.4282,string,16384
Tue Jun 13 2023 22:13:06,424.0149,string,65536
Tue Jun 13 2023 22:13:07,816.5724,string,262144
Tue Jun 13 2023 22:13:08,1383.4942,string,1048576
Tue Jun 13 2023 22:13:12,3878.9434,string,4194304
-,-
Tue Jun 13 2023 22:14:09,104.3929,string,4096
Tue Jun 13 2023 22:14:09,521.3725,string,16384
Tue Jun 13 2023 22:14:10,677.0703,string,65536
Tue Jun 13 2023 22:14:11,676.9053,string,262144
Tue Jun 13 2023 22:14:13,2327.1285,string,1048576
Tue Jun 13 2023 22:14:19,5684.0719,string,4194304
Tue Jun 13 2023 22:15:03,11671.5650,string,16777216
Tue Jun 13 2023 22:15:23,159.8195,string,4096
Tue Jun 13 2023 22:15:23,315.4342,string,16384
Tue Jun 13 2023 22:15:24,774.1933,string,65536
Tue Jun 13 2023 22:15:24,485.9215,string,262144
Tue Jun 13 2023 22:15:26,2057.9620,string,1048576
Tue Jun 13 2023 22:15:31,4993.1743,string,4194304
Tue Jun 13 2023 22:16:05,11626.0081,string,16777216
Tue Jun 13 2023 22:16:26,2.9188,string,4096
Tue Jun 13 2023 22:16:27,432.5134,string,16384
Tue Jun 13 2023 22:16:27,336.8485,string,65536
Tue Jun 13 2023 22:16:27,452.5366,string,262144
Tue Jun 13 2023 22:16:29,1854.6772,string,1048576
Tue Jun 13 2023 22:16:34,4290.8921,string,4194304
Tue Jun 13 2023 22:17:08,11824.5381,string,16777216
Tue Jun 13 2023 22:17:34,106.3496,string,4096
Tue Jun 13 2023 22:17:34,254.6460,string,16384
Tue Jun 13 2023 22:17:35,648.3769,string,65536
Tue Jun 13 2023 22:17:36,1023.4569,string,262144
Tue Jun 13 2023 22:17:38,2067.6850,string,1048576
Tue Jun 13 2023 22:17:43,5145.6380,string,4194304
-,-
Tue Jun 13 2023 22:24:00,109.8874,string,4096
Tue Jun 13 2023 22:24:00,217.9869,string,16384
Tue Jun 13 2023 22:24:01,991.3763,string,65536
Tue Jun 13 2023 22:24:02,755.3716,string,262144
Tue Jun 13 2023 22:24:04,1883.9163,string,1048576
Tue Jun 13 2023 22:24:09,5169.4582,string,4194304
-,-
Tue Jun 13 2023 22:25:03,154.4832,string,4096
Tue Jun 13 2023 22:25:03,311.0845,string,16384
Tue Jun 13 2023 22:25:03,463.5790,string,65536
Tue Jun 13 2023 22:25:04,621.0193,string,262144
Tue Jun 13 2023 22:25:06,2077.7051,string,1048576
Tue Jun 13 2023 22:25:11,5231.3304,string,4194304
Tue Jun 13 2023 22:25:58,13491.1477,string,16777216
Tue Jun 13 2023 22:26:10,99.5031,string,4096
Tue Jun 13 2023 22:26:10,674.2568,string,16384
Tue Jun 13 2023 22:26:11,665.0151,string,65536
Tue Jun 13 2023 22:26:11,521.2444,string,262144
Tue Jun 13 2023 22:26:13,1809.7690,string,1048576
Tue Jun 13 2023 22:26:18,4995.3655,string,4194304
-,-
Tue Jun 13 2023 22:27:12,104.8129,string,4096
Tue Jun 13 2023 22:27:12,157.2743,string,16384
Tue Jun 13 2023 22:27:13,441.7543,string,65536
Tue Jun 13 2023 22:27:13,922.2809,string,262144
Tue Jun 13 2023 22:27:15,1439.4320,string,1048576
Tue Jun 13 2023 22:27:19,4532.3151,string,4194304
Tue Jun 13 2023 22:28:01,9537.5511,string,16777216
Tue Jun 13 2023 22:28:16,328.8928,string,4096
Tue Jun 13 2023 22:28:16,444.3533,string,16384
Tue Jun 13 2023 22:28:17,432.2929,string,65536
Tue Jun 13 2023 22:28:18,838.3221,string,262144
Tue Jun 13 2023 22:28:19,1463.8287,string,1048576
Tue Jun 13 2023 22:28:23,3973.4260,string,4194304
-,-
-,-
Sun Jun 18 2023 23:36:03,7884.5766,string,4194304
-,-
Sun Jun 18 2023 23:36:38,191.8223,string,4096
Sun Jun 18 2023 23:36:39,202.7770,string,16384
Sun Jun 18 2023 23:36:39,795.5343,string,65536
Sun Jun 18 2023 23:36:40,665.5083,string,262144
Sun Jun 18 2023 23:36:42,1929.7652,string,1048576
Sun Jun 18 2023 23:36:47,4533.0236,string,4194304
-,-
Sun Jun 18 2023 23:37:27,154.3271,string,4096
Sun Jun 18 2023 23:37:27,508.4013,string,16384
Sun Jun 18 2023 23:37:27,288.4453,string,65536
Sun Jun 18 2023 23:37:28,667.7875,string,262144
Sun Jun 18 2023 23:37:30,1365.1753,string,1048576
Sun Jun 18 2023 23:37:34,4596.9809,string,4194304
Sun Jun 18 2023 23:37:53,18851.8521,string,16777216
Mon Jun 19 2023 00:13:32,4.7839,string,4096
Mon Jun 19 2023 00:13:33,364.8066,string,16384
Mon Jun 19 2023 00:13:33,563.7743,string,65536
Mon Jun 19 2023 00:13:34,650.7289,string,262144
Mon Jun 19 2023 00:13:36,2420.9931,string,1048576
Mon Jun 19 2023 00:13:42,5346.9230,string,4194304
Mon Jun 19 2023 00:13:53,11078.3510,string,16777216
Mon Jun 19 2023 00:14:14,190.2564,string,4096
Mon Jun 19 2023 00:14:14,500.0149,string,16384
Mon Jun 19 2023 00:14:15,368.9876,string,65536
Mon Jun 19 2023 00:14:15,751.5614,string,262144
Mon Jun 19 2023 00:14:17,1288.9728,string,1048576
Mon Jun 19 2023 00:14:21,4470.6742,string,4194304
-,-
Mon Jun 19 2023 00:14:57,3.2555,string,4096
Mon Jun 19 2023 00:14:57,373.9963,string,16384
Mon Jun 19 2023 00:14:58,271.7090,string,65536
Mon Jun 19 2023 00:14:59,1024.5670,string,262144
Mon Jun 19 2023 00:15:01,1862.8297,string,1048576
Mon Jun 19 2023 00:15:05,4862.7615,string,4194304
-,-
Mon Jun 19 2023 00:15:41,1.4694,string,4096
Mon Jun 19 2023 00:15:42,731.9264,string,16384
Mon Jun 19 2023 00:15:42,754.4954,string,65536
Mon Jun 19 2023 00:15:43,859.5181,string,262144
Mon Jun 19 2023 00:15:45,1718.4330,string,1048576
Mon Jun 19 2023 00:15:50,4763.0109,string,4194304
Mon Jun 19 2023 00:16:05,15630.0148,string,16777216
Mon Jun 19 2023 00:16:28,102.9368,string,4096
Mon Jun 19 2023 00:16:28,291.1173,string,16384
Mon Jun 19 2023 00:16:29,941.9439,string,65536
Mon Jun 19 2023 00:16:30,743.1403,string,262144
Mon Jun 19 2023 00:16:33,2496.7904,string,1048576
Mon Jun 19 2023 00:16:38,5411.7041,string,4194304
Mon Jun 19 2023 00:16:52,14261.9402,string,16777216
