Date,Retrieval Time (ms),Type,Size (Bytes)
Tue Jun 13 2023 20:18:20,7.8297,string,4096
Tue Jun 13 2023 20:18:20,264.6774,string,16384
Tue Jun 13 2023 20:18:21,123.6398,string,65536
Tue Jun 13 2023 20:18:21,544.5972,string,262144
Tue Jun 13 2023 20:18:22,1223.2051,string,1048576
Tue Jun 13 2023 20:18:26,3248.6665,string,4194304
Tue Jun 13 2023 20:18:36,10097.6066,string,16777216
Tue Jun 13 2023 20:54:27,6.4100,string,4096
Tue Jun 13 2023 20:54:27,98.8108,string,16384
Tue Jun 13 2023 20:54:27,74.9114,string,65536
Tue Jun 13 2023 20:54:27,393.8074,string,262144
Tue Jun 13 2023 20:54:28,1010.7740,string,1048576
Tue Jun 13 2023 20:54:32,4145.2184,string,4194304
Tue Jun 13 2023 20:54:41,8360.1213,string,16777216
Tue Jun 13 2023 21:00:19,5.7648,string,4096
Tue Jun 13 2023 21:00:19,3.3164,string,16384
Tue Jun 13 2023 21:00:19,3.6661,string,65536
Tue Jun 13 2023 21:00:19,5.7909,string,262144
Tue Jun 13 2023 21:00:19,13.3133,string,1048576
Tue Jun 13 2023 21:00:19,79.8601,string,4194304
Tue Jun 13 2023 21:00:29,9936.5370,string,16777216
Tue Jun 13 2023 21:12:29,55.0003,string,4096
Tue Jun 13 2023 21:12:29,98.5039,string,16384
Tue Jun 13 2023 21:12:30,255.0995,string,65536
Tue Jun 13 2023 21:12:30,679.3610,string,262144
Tue Jun 13 2023 21:12:32,1347.4428,string,1048576
Tue Jun 13 2023 21:12:35,3448.7233,string,4194304
Tue Jun 13 2023 21:12:43,7721.0274,string,16777216
Tue Jun 13 2023 21:14:09,54.0177,string,4096
Tue Jun 13 2023 21:14:09,294.3316,string,16384
Tue Jun 13 2023 21:14:09,246.5587,string,65536
Tue Jun 13 2023 21:14:10,421.1687,string,262144
Tue Jun 13 2023 21:14:11,902.4433,string,1048576
Tue Jun 13 2023 21:14:14,2876.3696,string,4194304
-,-
Tue Jun 13 2023 21:15:23,74.5738,string,4096
Tue Jun 13 2023 21:15:23,328.3217,string,16384
Tue Jun 13 2023 21:15:23,307.7142,string,65536
Tue Jun 13 2023 21:15:24,308.2105,string,262144
Tue Jun 13 2023 21:15:25,1101.0731,string,1048576
Tue Jun 13 2023 21:15:28,3258.9504,string,4194304
-,-
Tue Jun 13 2023 21:16:26,50.5716,string,4096
Tue Jun 13 2023 21:16:27,305.7549,string,16384
Tue Jun 13 2023 21:16:27,307.0039,string,65536
Tue Jun 13 2023 21:16:27,417.1973,string,262144
Tue Jun 13 2023 21:16:28,835.1284,string,1048576
Tue Jun 13 2023 21:16:31,2945.7540,string,4194304
-,-
Tue Jun 13 2023 21:17:34,2.5578,string,4096
Tue Jun 13 2023 21:17:34,97.2225,string,16384
Tue Jun 13 2023 21:17:35,516.3597,string,65536
Tue Jun 13 2023 21:17:35,637.7309,string,262144
Tue Jun 13 2023 21:17:36,886.1655,string,1048576
Tue Jun 13 2023 21:17:39,2700.6918,string,4194304
Tue Jun 13 2023 21:18:18,7254.9120,string,16777216
Tue Jun 13 2023 21:23:28,3.4718,string,4096
Tue Jun 13 2023 21:23:28,123.1346,string,16384
Tue Jun 13 2023 21:23:29,257.5949,string,65536
Tue Jun 13 2023 21:23:29,343.9000,string,262144
Tue Jun 13 2023 21:23:30,881.3232,string,1048576
Tue Jun 13 2023 21:23:33,2917.2632,string,4194304
Tue Jun 13 2023 21:23:39,6717.2024,string,16777216
Tue Jun 13 2023 21:25:03,77.5213,string,4096
Tue Jun 13 2023 21:25:03,145.7055,string,16384
Tue Jun 13 2023 21:25:03,320.3840,string,65536
Tue Jun 13 2023 21:25:04,467.7965,string,262144
Tue Jun 13 2023 21:25:05,1008.4585,string,1048576
Tue Jun 13 2023 21:25:08,3203.5764,string,4194304
-,-
Tue Jun 13 2023 21:26:10,51.3557,string,4096
Tue Jun 13 2023 21:26:10,334.2180,string,16384
Tue Jun 13 2023 21:26:10,250.7656,string,65536
Tue Jun 13 2023 21:26:11,420.6322,string,262144
Tue Jun 13 2023 21:26:11,849.1641,string,1048576
Tue Jun 13 2023 21:26:14,2759.7868,string,4194304
-,-
Tue Jun 13 2023 21:27:12,2.7008,string,4096
Tue Jun 13 2023 21:27:12,97.7852,string,16384
Tue Jun 13 2023 21:27:12,295.1920,string,65536
Tue Jun 13 2023 21:27:13,594.4629,string,262144
Tue Jun 13 2023 21:27:14,1321.6403,string,1048576
Tue Jun 13 2023 21:27:17,3220.7746,string,4194304
-,-
Tue Jun 13 2023 21:28:16,254.1751,string,4096
Tue Jun 13 2023 21:28:16,294.9209,string,16384
Tue Jun 13 2023 21:28:16,302.5644,string,65536
Tue Jun 13 2023 21:28:17,372.6977,string,262144
Tue Jun 13 2023 21:28:18,825.0218,string,1048576
Tue Jun 13 2023 21:28:20,2677.8715,string,4194304
-,-
Sun Jun 18 2023 22:22:24,1184.0805,string,1048576
Sun Jun 18 2023 22:22:27,3279.2778,string,4194304
Sun Jun 18 2023 22:22:34,7054.7020,string,16777216
-,-
Sun Jun 18 2023 22:35:59,4092.4868,string,4194304
-,-
Sun Jun 18 2023 22:36:38,74.8751,string,4096
Sun Jun 18 2023 22:36:38,97.4537,string,16384
Sun Jun 18 2023 22:36:39,553.7300,string,65536
Sun Jun 18 2023 22:36:39,328.6270,string,262144
Sun Jun 18 2023 22:36:41,1238.1829,string,1048576
Sun Jun 18 2023 22:36:45,4100.8036,string,4194304
-,-
Sun Jun 18 2023 22:37:27,2.6881,string,4096
Sun Jun 18 2023 22:37:27,73.9602,string,16384
Sun Jun 18 2023 22:37:27,74.4133,string,65536
Sun Jun 18 2023 22:37:27,710.3514,string,262144
Sun Jun 18 2023 22:37:29,1709.2147,string,1048576
Sun Jun 18 2023 22:37:33,4244.9574,string,4194304
-,-
Sun Jun 18 2023 23:13:04,55.3325,string,4096
Sun Jun 18 2023 23:13:04,287.1924,string,16384
Sun Jun 18 2023 23:13:04,379.6702,string,65536
Sun Jun 18 2023 23:13:05,1100.0763,string,262144
Sun Jun 18 2023 23:13:07,1143.1280,string,1048576
Sun Jun 18 2023 23:13:10,3563.8129,string,4194304
Sun Jun 18 2023 23:13:17,7152.3871,string,16777216
Sun Jun 18 2023 23:14:14,75.7904,string,4096
Sun Jun 18 2023 23:14:14,335.1246,string,16384
Sun Jun 18 2023 23:14:14,374.0640,string,65536
Sun Jun 18 2023 23:14:15,482.6384,string,262144
Sun Jun 18 2023 23:14:16,1280.3961,string,1048576
Sun Jun 18 2023 23:14:19,2850.9350,string,4194304
-,-
Sun Jun 18 2023 23:14:57,58.5152,string,4096
Sun Jun 18 2023 23:14:57,98.2264,string,16384
Sun Jun 18 2023 23:14:57,125.2908,string,65536
Sun Jun 18 2023 23:14:58,1124.1590,string,262144
Sun Jun 18 2023 23:15:00,1879.5675,string,1048576
Sun Jun 18 2023 23:15:04,4028.3344,string,4194304
-,-
Sun Jun 18 2023 23:15:41,50.4940,string,4096
Sun Jun 18 2023 23:15:41,329.9748,string,16384
Sun Jun 18 2023 23:15:42,351.0906,string,65536
Sun Jun 18 2023 23:15:42,611.9769,string,262144
Sun Jun 18 2023 23:15:44,1406.3508,string,1048576
Sun Jun 18 2023 23:15:47,3497.6204,string,4194304
-,-
Sun Jun 18 2023 23:16:28,51.2175,string,4096
Sun Jun 18 2023 23:16:28,121.3744,string,16384
Sun Jun 18 2023 23:16:29,338.6298,string,65536
Sun Jun 18 2023 23:16:29,368.4186,string,262144
Sun Jun 18 2023 23:16:30,926.2203,string,1048576
Sun Jun 18 2023 23:16:34,3708.3071,string,4194304
-,-
