Date,Retrieval Time (ms),Type,Size (Bytes)
Tue Jun 13 2023 20:18:20,7.5869,string,4096
Tue Jun 13 2023 20:18:20,263.2779,string,16384
Tue Jun 13 2023 20:18:21,130.4571,string,65536
Tue Jun 13 2023 20:18:21,551.9041,string,262144
Tue Jun 13 2023 20:18:22,905.3976,string,1048576
Tue Jun 13 2023 20:18:25,3201.8750,string,4194304
Tue Jun 13 2023 20:18:34,8631.6501,string,16777216
Tue Jun 13 2023 20:31:06,7.4131,string,4096
Tue Jun 13 2023 20:31:06,4.3693,string,16384
Tue Jun 13 2023 20:31:06,5.6781,string,65536
Tue Jun 13 2023 20:31:06,7.1381,string,262144
Tue Jun 13 2023 20:31:06,13.4463,string,1048576
Tue Jun 13 2023 20:31:06,57.6745,string,4194304
Tue Jun 13 2023 20:31:17,10951.0785,string,16777216
Tue Jun 13 2023 20:54:27,6.1575,string,4096
Tue Jun 13 2023 20:54:27,104.3726,string,16384
Tue Jun 13 2023 20:54:27,78.3843,string,65536
Tue Jun 13 2023 20:54:27,403.7642,string,262144
Tue Jun 13 2023 20:54:28,849.9650,string,1048576
Tue Jun 13 2023 20:54:32,3838.0775,string,4194304
Tue Jun 13 2023 20:54:41,9474.9302,string,16777216
Tue Jun 13 2023 20:58:59,4.9617,string,4096
Tue Jun 13 2023 20:58:59,3.5263,string,16384
Tue Jun 13 2023 20:58:59,3.7207,string,65536
Tue Jun 13 2023 20:58:59,5.5750,string,262144
Tue Jun 13 2023 20:58:59,11.2430,string,1048576
Tue Jun 13 2023 20:58:59,58.1608,string,4194304
Tue Jun 13 2023 20:59:09,10235.4660,string,16777216
Tue Jun 13 2023 21:12:29,56.6018,string,4096
Tue Jun 13 2023 21:12:29,130.9311,string,16384
Tue Jun 13 2023 21:12:30,250.2261,string,65536
Tue Jun 13 2023 21:12:31,787.3177,string,262144
Tue Jun 13 2023 21:12:32,1226.7784,string,1048576
Tue Jun 13 2023 21:12:35,3127.6822,string,4194304
Tue Jun 13 2023 21:12:44,8948.6233,string,16777216
Tue Jun 13 2023 21:13:05,420.3030,string,4096
Tue Jun 13 2023 21:13:05,53.3917,string,16384
Tue Jun 13 2023 21:13:06,301.5520,string,65536
Tue Jun 13 2023 21:13:06,747.1648,string,262144
Tue Jun 13 2023 21:13:08,1755.1374,string,1048576
Tue Jun 13 2023 21:13:12,4029.4155,string,4194304
Tue Jun 13 2023 21:13:34,8815.8499,string,16777216
Tue Jun 13 2023 21:15:23,81.3500,string,4096
Tue Jun 13 2023 21:15:23,333.0209,string,16384
Tue Jun 13 2023 21:15:23,475.5945,string,65536
Tue Jun 13 2023 21:15:24,304.0548,string,262144
Tue Jun 13 2023 21:15:25,1497.8097,string,1048576
Tue Jun 13 2023 21:15:29,4085.2416,string,4194304
-,-
Tue Jun 13 2023 21:16:26,51.8850,string,4096
Tue Jun 13 2023 21:16:27,311.1209,string,16384
Tue Jun 13 2023 21:16:27,314.1792,string,65536
Tue Jun 13 2023 21:16:27,421.3928,string,262144
Tue Jun 13 2023 21:16:28,856.0812,string,1048576
Tue Jun 13 2023 21:16:31,3103.0909,string,4194304
-,-
Tue Jun 13 2023 21:17:34,2.1912,string,4096
Tue Jun 13 2023 21:17:34,102.8336,string,16384
