Date,Retrieval Time (ms),Type,Size (Bytes)
Tue Jun 13 2023 20:18:20,67.3607,string,4096
Tue Jun 13 2023 20:18:21,321.8817,string,16384
Tue Jun 13 2023 20:18:21,66.8060,string,65536
Tue Jun 13 2023 20:18:21,600.4077,string,262144
Tue Jun 13 2023 20:18:22,1063.6230,string,1048576
Tue Jun 13 2023 20:18:26,3584.2439,string,4194304
Tue Jun 13 2023 20:18:38,11888.8197,string,16777216
Tue Jun 13 2023 20:31:11,7.2664,string,4096
Tue Jun 13 2023 20:31:11,5.5594,string,16384
Tue Jun 13 2023 20:31:11,4.7857,string,65536
Tue Jun 13 2023 20:31:11,7.4126,string,262144
Tue Jun 13 2023 20:31:12,13.5473,string,1048576
Tue Jun 13 2023 20:31:12,42.5802,string,4194304
Tue Jun 13 2023 20:31:25,13191.3337,string,16777216
Tue Jun 13 2023 20:54:27,66.6088,string,4096
Tue Jun 13 2023 20:54:27,152.7927,string,16384
Tue Jun 13 2023 20:54:27,152.3850,string,65536
Tue Jun 13 2023 20:54:28,889.0109,string,262144
Tue Jun 13 2023 20:54:30,1704.7700,string,1048576
Tue Jun 13 2023 20:54:35,4988.2487,string,4194304
Tue Jun 13 2023 20:54:45,10572.2106,string,16777216
Tue Jun 13 2023 20:59:06,5.6771,string,4096
Tue Jun 13 2023 20:59:06,3.8614,string,16384
Tue Jun 13 2023 20:59:06,3.7134,string,65536
Tue Jun 13 2023 20:59:06,6.6383,string,262144
Tue Jun 13 2023 20:59:06,12.4198,string,1048576
Tue Jun 13 2023 20:59:06,56.9743,string,4194304
Tue Jun 13 2023 20:59:16,10301.7581,string,16777216
Tue Jun 13 2023 21:00:53,4.5754,string,4096
Tue Jun 13 2023 21:00:53,2.9578,string,16384
Tue Jun 13 2023 21:00:53,3.5669,string,65536
Tue Jun 13 2023 21:00:53,5.2786,string,262144
Tue Jun 13 2023 21:00:53,11.7037,string,1048576
Tue Jun 13 2023 21:00:53,52.1862,string,4194304
Tue Jun 13 2023 21:01:05,12047.4404,string,16777216
Tue Jun 13 2023 21:12:29,6.2952,string,4096
Tue Jun 13 2023 21:12:29,63.3547,string,16384
Tue Jun 13 2023 21:12:30,324.8902,string,65536
Tue Jun 13 2023 21:12:30,660.2718,string,262144
Tue Jun 13 2023 21:12:32,1156.4468,string,1048576
Tue Jun 13 2023 21:12:34,2849.9427,string,4194304
Tue Jun 13 2023 21:12:45,10602.3058,string,16777216
Tue Jun 13 2023 21:13:05,352.9518,string,4096
Tue Jun 13 2023 21:13:05,122.3534,string,16384
Tue Jun 13 2023 21:13:06,271.6445,string,65536
Tue Jun 13 2023 21:13:06,827.4348,string,262144
Tue Jun 13 2023 21:13:08,1495.6120,string,1048576
Tue Jun 13 2023 21:13:11,3456.1819,string,4194304
-,-
Tue Jun 13 2023 21:14:09,2.5121,string,4096
Tue Jun 13 2023 21:14:09,320.0218,string,16384
Tue Jun 13 2023 21:14:09,331.2453,string,65536
Tue Jun 13 2023 21:14:10,666.0254,string,262144
Tue Jun 13 2023 21:14:11,974.0147,string,1048576
Tue Jun 13 2023 21:14:14,3079.2090,string,4194304
-,-
Tue Jun 13 2023 21:15:23,2.3806,string,4096
Tue Jun 13 2023 21:15:23,429.2297,string,16384
Tue Jun 13 2023 21:15:23,322.5468,string,65536
Tue Jun 13 2023 21:15:24,446.3099,string,262144
Tue Jun 13 2023 21:15:25,1192.7433,string,1048576
Tue Jun 13 2023 21:15:29,4524.8722,string,4194304
-,-
Tue Jun 13 2023 21:16:26,62.7585,string,4096
Tue Jun 13 2023 21:16:27,326.6372,string,16384
Tue Jun 13 2023 21:16:27,466.6949,string,65536
Tue Jun 13 2023 21:16:28,419.9749,string,262144
Tue Jun 13 2023 21:16:29,1325.0284,string,1048576
Tue Jun 13 2023 21:16:33,4139.8353,string,4194304
-,-
Tue Jun 13 2023 21:23:28,65.6213,string,4096
Tue Jun 13 2023 21:23:29,325.3295,string,16384
Tue Jun 13 2023 21:23:29,345.8346,string,65536
Tue Jun 13 2023 21:23:29,285.7366,string,262144
Tue Jun 13 2023 21:23:30,1064.8410,string,1048576
Tue Jun 13 2023 21:23:34,3751.2062,string,4194304
Tue Jun 13 2023 21:23:44,10439.4008,string,16777216
Tue Jun 13 2023 21:24:00,62.4939,string,4096
Tue Jun 13 2023 21:24:00,62.2925,string,16384
Tue Jun 13 2023 21:24:00,265.1773,string,65536
Tue Jun 13 2023 21:24:01,452.4850,string,262144
Tue Jun 13 2023 21:24:02,905.2885,string,1048576
Tue Jun 13 2023 21:24:05,3683.0726,string,4194304
-,-
Tue Jun 13 2023 21:25:03,2.8518,string,4096
Tue Jun 13 2023 21:25:03,92.1970,string,16384
Tue Jun 13 2023 21:25:03,345.5282,string,65536
Tue Jun 13 2023 21:25:03,409.4810,string,262144
Tue Jun 13 2023 21:25:05,1128.5151,string,1048576
Tue Jun 13 2023 21:25:07,2852.2442,string,4194304
-,-
Tue Jun 13 2023 21:26:09,2.3990,string,4096
Tue Jun 13 2023 21:26:10,329.5654,string,16384
Tue Jun 13 2023 21:26:10,332.4243,string,65536
Tue Jun 13 2023 21:26:11,464.4920,string,262144
Tue Jun 13 2023 21:26:12,963.3963,string,1048576
Tue Jun 13 2023 21:26:15,3241.1287,string,4194304
Tue Jun 13 2023 21:26:58,11095.7283,string,16777216
Tue Jun 13 2023 21:27:12,62.2785,string,4096
Tue Jun 13 2023 21:27:12,232.9954,string,16384
Tue Jun 13 2023 21:27:12,279.2684,string,65536
Tue Jun 13 2023 21:27:13,410.7413,string,262144
Tue Jun 13 2023 21:27:14,1430.9309,string,1048576
Tue Jun 13 2023 21:27:18,3398.4400,string,4194304
-,-
Sun Jun 18 2023 22:22:25,2302.8930,string,1048576
Sun Jun 18 2023 22:22:30,4594.3220,string,4194304
Sun Jun 18 2023 22:22:38,8224.6197,string,16777216
-,-
Sun Jun 18 2023 22:35:59,4242.3319,string,4194304
-,-
Sun Jun 18 2023 22:36:38,2.5559,string,4096
Sun Jun 18 2023 22:36:38,120.2928,string,16384
Sun Jun 18 2023 22:36:39,1068.3056,string,65536
Sun Jun 18 2023 22:36:40,492.0472,string,262144
Sun Jun 18 2023 22:36:42,1645.9981,string,1048576
Sun Jun 18 2023 22:36:46,4233.0090,string,4194304
-,-
Sun Jun 18 2023 23:13:04,65.4603,string,4096
Sun Jun 18 2023 23:13:04,365.9847,string,16384
Sun Jun 18 2023 23:13:04,436.8168,string,65536
Sun Jun 18 2023 23:13:05,664.5212,string,262144
Sun Jun 18 2023 23:13:07,1590.5576,string,1048576
Sun Jun 18 2023 23:13:11,3798.7352,string,4194304
Sun Jun 18 2023 23:13:18,6956.0198,string,16777216
Sun Jun 18 2023 23:13:32,142.0668,string,4096
Sun Jun 18 2023 23:13:33,583.0040,string,16384
Sun Jun 18 2023 23:13:33,348.2127,string,65536
Sun Jun 18 2023 23:13:34,460.1220,string,262144
Sun Jun 18 2023 23:13:35,1441.7048,string,1048576
Sun Jun 18 2023 23:13:38,3004.3918,string,4194304
-,-
Sun Jun 18 2023 23:14:14,2.6092,string,4096
Sun Jun 18 2023 23:14:14,291.6653,string,16384
Sun Jun 18 2023 23:14:14,600.2084,string,65536
Sun Jun 18 2023 23:14:15,715.2368,string,262144
Sun Jun 18 2023 23:14:16,1005.6299,string,1048576
Sun Jun 18 2023 23:14:19,2984.0443,string,4194304
-,-
Sun Jun 18 2023 23:14:57,299.0391,string,4096
Sun Jun 18 2023 23:14:58,446.0917,string,16384
Sun Jun 18 2023 23:14:58,140.5522,string,65536
Sun Jun 18 2023 23:14:59,621.0386,string,262144
Sun Jun 18 2023 23:15:00,1634.3138,string,1048576
Sun Jun 18 2023 23:15:05,4856.8223,string,4194304
-,-
Sun Jun 18 2023 23:15:41,139.6413,string,4096
Sun Jun 18 2023 23:15:41,353.8574,string,16384
Sun Jun 18 2023 23:15:42,389.8661,string,65536
Sun Jun 18 2023 23:15:42,654.2924,string,262144
