index,Date,Retrieval Time (ms),Type,Size (Bytes)
35,Tue Jun 13 2023 21:13:05,420.303,string,4096
91,Tue Jun 13 2023 21:28:16,253.6849,string,4096
193,Tue Jun 13 2023 21:13:05,256.1896,string,4096
249,Tue Jun 13 2023 21:28:16,252.0293,string,4096
290,Sun Jun 18 2023 23:14:57,291.8595,string,4096
325,Tue Jun 13 2023 22:13:05,344.4337,string,4096
388,Tue Jun 13 2023 22:28:16,328.8928,string,4096
398,Sun Jun 18 2023 23:36:38,191.8223,string,4096
419,Mon Jun 19 2023 00:14:14,190.2564,string,4096
489,Tue Jun 13 2023 21:13:05,398.3232,string,4096
545,Tue Jun 13 2023 21:28:16,228.7956,string,4096
690,Tue Jun 13 2023 21:28:16,254.1751,string,4096
794,Tue Jun 13 2023 21:13:05,352.9518,string,4096
891,Sun Jun 18 2023 23:14:57,299.0391,string,4096
919,Tue Jun 13 2023 21:36:52,249.9166,string,4096
1031,Tue Jun 13 2023 21:36:52,256.1526,string,4096
1066,Tue Jun 13 2023 21:47:30,251.5182,string,4096
1129,Tue Jun 13 2023 22:36:52,332.3321,string,4096
1192,Sun Jun 18 2023 23:44:21,190.5876,string,4096
1206,Sun Jun 18 2023 23:45:52,373.3832,string,4096
1339,Tue Jun 13 2023 21:36:52,246.4115,string,4096
1451,Tue Jun 13 2023 21:36:52,266.5744,string,4096
1486,Tue Jun 13 2023 21:47:30,266.121,string,4096
1773,Tue Jun 13 2023 23:21:24,190.3408,string,4096
2228,Tue Jun 13 2023 22:10:49,251.9659,string,4096
2249,Sun Jun 18 2023 22:53:34,287.9827,string,4096
2333,Tue Jun 13 2023 22:10:49,253.1162,string,4096
2354,Sun Jun 18 2023 22:53:34,292.2326,string,4096
2382,Tue Jun 13 2023 22:57:06,326.1593,string,4096
2417,Tue Jun 13 2023 23:07:41,351.8945,string,4096
2438,Tue Jun 13 2023 23:10:49,364.7306,string,4096
2452,Sun Jun 18 2023 23:53:34,375.9458,string,4096
2543,Tue Jun 13 2023 22:10:49,247.2343,string,4096
2648,Tue Jun 13 2023 22:10:49,261.0413,string,4096
2662,Sun Jun 18 2023 22:53:34,288.4896,string,4096
2704,Tue Jun 13 2023 21:57:06,280.0318,string,4096
2739,Tue Jun 13 2023 22:07:41,280.5853,string,4096
2746,Tue Jun 13 2023 22:08:43,207.1581,string,4096
2774,Sun Jun 18 2023 22:53:34,294.1136,string,4096
375,Tue Jun 13 2023 22:26:10,674.2568,string,16384
434,Mon Jun 19 2023 00:15:42,731.9264,string,16384
1130,Tue Jun 13 2023 22:36:53,678.8415,string,16384
1403,Sun Jun 18 2023 22:44:22,794.0807,string,16384
2397,Tue Jun 13 2023 22:59:09,670.7289,string,16384
2719,Tue Jun 13 2023 21:59:09,721.1832,string,16384
341,Tue Jun 13 2023 22:15:24,774.1933,string,65536
362,Tue Jun 13 2023 22:24:01,991.3763,string,65536
400,Sun Jun 18 2023 23:36:39,795.5343,string,65536
435,Mon Jun 19 2023 00:15:42,754.4954,string,65536
442,Mon Jun 19 2023 00:16:29,941.9439,string,65536
865,Sun Jun 18 2023 22:36:39,1068.3056,string,65536
1145,Tue Jun 13 2023 22:39:04,999.7962,string,65536
1152,Tue Jun 13 2023 22:45:28,783.9046,string,65536
1173,Tue Jun 13 2023 22:48:32,791.4014,string,65536
1201,Sun Jun 18 2023 23:45:09,928.2182,string,65536
1215,Sun Jun 18 2023 23:46:41,732.5918,string,65536
1775,Tue Jun 13 2023 23:21:25,857.3958,string,65536
1796,Tue Jun 13 2023 23:29:52,1034.4646,string,65536
1838,Mon Jun 19 2023 00:04:18,857.7859,string,65536
2237,Sun Jun 18 2023 22:52:15,1194.7525,string,65536
112,Sun Jun 18 2023 22:37:28,1048.8997,string,262144
307,Tue Jun 13 2023 21:29:03,1133.7142,string,262144
356,Tue Jun 13 2023 22:17:36,1023.4569,string,262144
429,Mon Jun 19 2023 00:14:59,1024.567,string,262144
720,Sun Jun 18 2023 23:13:05,1100.0763,string,262144
734,Sun Jun 18 2023 23:14:58,1124.159,string,262144
1524,Sun Jun 18 2023 22:45:09,1121.4965,string,262144
1741,Sun Jun 18 2023 23:05:06,1021.5605,string,262144
1748,Tue Jun 13 2023 23:17:14,1214.8057,string,262144
1804,Tue Jun 13 2023 23:30:54,1134.2662,string,262144
1832,Mon Jun 19 2023 00:03:35,1055.9642,string,262144
1846,Mon Jun 19 2023 00:05:06,1234.4676,string,262144
2154,Sun Jun 18 2023 23:03:36,1027.068,string,262144
2378,Tue Jun 13 2023 22:56:02,1484.604,string,262144
11,Tue Jun 13 2023 20:31:06,13.4463,string,1048576
25,Tue Jun 13 2023 20:58:59,11.243,string,1048576
162,Tue Jun 13 2023 20:31:07,13.4828,string,1048576
176,Tue Jun 13 2023 20:59:01,12.0057,string,1048576
183,Tue Jun 13 2023 21:00:20,10.5623,string,1048576
308,Tue Jun 13 2023 21:29:05,2420.485,string,1048576
315,Tue Jun 13 2023 21:58:53,16.359,string,1048576
336,Tue Jun 13 2023 22:14:13,2327.1285,string,1048576
416,Mon Jun 19 2023 00:13:36,2420.9931,string,1048576
444,Mon Jun 19 2023 00:16:33,2496.7904,string,1048576
458,Tue Jun 13 2023 20:31:09,11.8385,string,1048576
472,Tue Jun 13 2023 20:59:03,10.8177,string,1048576
479,Tue Jun 13 2023 21:00:06,16.2735,string,1048576
624,Tue Jun 13 2023 21:00:19,13.3133,string,1048576
763,Tue Jun 13 2023 20:31:12,13.5473,string,1048576
777,Tue Jun 13 2023 20:59:06,12.4198,string,1048576
784,Tue Jun 13 2023 21:00:53,11.7037,string,1048576
857,Sun Jun 18 2023 22:22:25,2302.893,string,1048576
1119,Tue Jun 13 2023 22:34:42,2310.4053,string,1048576
1777,Tue Jun 13 2023 23:21:29,2601.9482,string,1048576
1826,Mon Jun 19 2023 00:02:51,2673.5356,string,1048576
2442,Tue Jun 13 2023 23:10:53,2595.8845,string,1048576
12,Tue Jun 13 2023 20:31:06,57.6745,string,4194304
26,Tue Jun 13 2023 20:58:59,58.1608,string,4194304
163,Tue Jun 13 2023 20:31:07,111.9721,string,4194304
177,Tue Jun 13 2023 20:59:01,100.1343,string,4194304
184,Tue Jun 13 2023 21:00:20,116.8794,string,4194304
316,Tue Jun 13 2023 21:58:53,39.5417,string,4194304
396,Sun Jun 18 2023 23:36:03,7884.5766,string,4194304
459,Tue Jun 13 2023 20:31:09,34.0462,string,4194304
473,Tue Jun 13 2023 20:59:03,45.4088,string,4194304
480,Tue Jun 13 2023 21:00:06,37.1328,string,4194304
625,Tue Jun 13 2023 21:00:19,79.8601,string,4194304
764,Tue Jun 13 2023 20:31:12,42.5802,string,4194304
778,Tue Jun 13 2023 20:59:06,56.9743,string,4194304
785,Tue Jun 13 2023 21:00:53,52.1862,string,4194304
1750,Tue Jun 13 2023 23:17:22,6363.121,string,4194304
2380,Tue Jun 13 2023 22:56:11,6226.995,string,4194304
2478,Sun Jun 18 2023 23:55:58,6286.3724,string,4194304
411,Sun Jun 18 2023 23:37:53,18851.8521,string,16777216
439,Mon Jun 19 2023 00:16:05,15630.0148,string,16777216
1674,Tue Jun 13 2023 22:21:48,18369.1433,string,16777216
1709,Tue Jun 13 2023 22:32:23,18793.6629,string,16777216
1772,Tue Jun 13 2023 23:20:43,17425.996,string,16777216
1807,Tue Jun 13 2023 23:31:18,18542.5325,string,16777216
1814,Tue Jun 13 2023 23:32:23,16293.5874,string,16777216
1842,Mon Jun 19 2023 00:04:41,14682.1997,string,16777216
2094,Tue Jun 13 2023 22:20:43,18960.4556,string,16777216
2129,Tue Jun 13 2023 22:31:18,20503.507,string,16777216
