index,Date,Retrieval Time (ms),Type,Size (Bytes)
0,Tue Jun 13 2023 20:18:20,6.3086,string,4096
7,Tue Jun 13 2023 20:31:09,7.4505,string,4096
14,Tue Jun 13 2023 20:54:27,6.1552,string,4096
21,Tue Jun 13 2023 20:59:03,5.4395,string,4096
28,Tue Jun 13 2023 21:00:05,5.408,string,4096
35,Tue Jun 13 2023 21:12:29,35.9139,string,4096
49,Tue Jun 13 2023 21:14:09,33.3532,string,4096
56,Tue Jun 13 2023 21:16:26,34.5087,string,4096
63,Tue Jun 13 2023 21:17:34,3.1127,string,4096
70,Tue Jun 13 2023 21:23:28,3.6319,string,4096
77,Tue Jun 13 2023 21:24:00,4.3929,string,4096
84,Tue Jun 13 2023 21:25:03,47.5832,string,4096
91,Tue Jun 13 2023 21:27:12,6.3343,string,4096
110,Sun Jun 18 2023 22:36:38,2.8578,string,4096
117,Sun Jun 18 2023 22:37:27,2.4634,string,4096
124,Sun Jun 18 2023 23:13:04,36.2296,string,4096
131,Sun Jun 18 2023 23:13:32,32.4678,string,4096
138,Sun Jun 18 2023 23:14:57,40.9833,string,4096
145,Sun Jun 18 2023 23:15:41,32.1596,string,4096
152,Sun Jun 18 2023 23:16:28,3.2827,string,4096
159,Tue Jun 13 2023 21:34:09,32.0394,string,4096
166,Tue Jun 13 2023 21:34:39,31.9314,string,4096
173,Tue Jun 13 2023 21:35:42,33.2049,string,4096
180,Tue Jun 13 2023 21:37:55,34.9231,string,4096
187,Tue Jun 13 2023 21:39:02,33.8824,string,4096
194,Tue Jun 13 2023 21:44:56,2.8673,string,4096
201,Tue Jun 13 2023 21:45:27,3.3068,string,4096
208,Tue Jun 13 2023 21:46:25,33.0062,string,4096
215,Tue Jun 13 2023 21:48:31,5.3009,string,4096
222,Tue Jun 13 2023 21:49:38,32.0538,string,4096
229,Sun Jun 18 2023 22:43:01,3.3264,string,4096
236,Sun Jun 18 2023 22:43:36,2.7688,string,4096
243,Sun Jun 18 2023 22:45:07,4.5118,string,4096
250,Sun Jun 18 2023 22:45:52,2.8968,string,4096
257,Sun Jun 18 2023 22:46:40,32.1916,string,4096
264,Tue Jun 13 2023 22:16:44,3.2572,string,4096
271,Tue Jun 13 2023 22:17:12,2.7067,string,4096
278,Tue Jun 13 2023 22:18:13,3.1985,string,4096
285,Tue Jun 13 2023 22:20:18,5.8863,string,4096
292,Tue Jun 13 2023 22:21:24,47.8359,string,4096
