index,Date,Retrieval Time (ms),Type,Size (Bytes)
0,Tue Jun 13 2023 20:18:20,7.8297,string,4096
7,Tue Jun 13 2023 20:54:27,6.41,string,4096
14,Tue Jun 13 2023 21:00:19,5.7648,string,4096
21,Tue Jun 13 2023 21:12:29,55.0003,string,4096
28,Tue Jun 13 2023 21:14:09,54.0177,string,4096
35,Tue Jun 13 2023 21:15:23,74.5738,string,4096
42,Tue Jun 13 2023 21:16:26,50.5716,string,4096
49,Tue Jun 13 2023 21:17:34,2.5578,string,4096
56,Tue Jun 13 2023 21:23:28,3.4718,string,4096
63,Tue Jun 13 2023 21:25:03,77.5213,string,4096
70,Tue Jun 13 2023 21:26:10,51.3557,string,4096
77,Tue Jun 13 2023 21:27:12,2.7008,string,4096
97,Sun Jun 18 2023 22:36:38,74.8751,string,4096
104,Sun Jun 18 2023 22:37:27,2.6881,string,4096
111,Sun Jun 18 2023 23:13:04,55.3325,string,4096
118,Sun Jun 18 2023 23:14:14,75.7904,string,4096
125,Sun Jun 18 2023 23:14:57,58.5152,string,4096
132,Sun Jun 18 2023 23:15:41,50.494,string,4096
139,Sun Jun 18 2023 23:16:28,51.2175,string,4096
146,Tue Jun 13 2023 21:34:09,51.4968,string,4096
153,Tue Jun 13 2023 21:35:42,53.8638,string,4096
167,Tue Jun 13 2023 21:37:55,50.7386,string,4096
174,Tue Jun 13 2023 21:39:02,49.9822,string,4096
181,Tue Jun 13 2023 21:44:56,2.7001,string,4096
188,Tue Jun 13 2023 21:46:26,53.9149,string,4096
195,Tue Jun 13 2023 21:47:30,51.1669,string,4096
202,Tue Jun 13 2023 21:48:31,2.5693,string,4096
209,Tue Jun 13 2023 21:49:38,49.3644,string,4096
216,Sun Jun 18 2023 22:43:01,2.58,string,4096
223,Sun Jun 18 2023 22:44:21,76.7259,string,4096
230,Sun Jun 18 2023 22:45:07,50.2664,string,4096
237,Sun Jun 18 2023 22:45:52,2.9653,string,4096
244,Sun Jun 18 2023 22:46:40,50.8823,string,4096
251,Tue Jun 13 2023 22:16:44,3.0423,string,4096
258,Tue Jun 13 2023 22:18:13,6.7028,string,4096
265,Tue Jun 13 2023 22:19:17,51.5116,string,4096
272,Tue Jun 13 2023 22:20:18,3.1202,string,4096
279,Tue Jun 13 2023 22:21:24,73.5869,string,4096
286,Tue Jun 13 2023 22:27:15,74.1597,string,4096
293,Tue Jun 13 2023 22:28:46,53.5818,string,4096
300,Tue Jun 13 2023 22:29:51,50.5242,string,4096
307,Tue Jun 13 2023 22:30:52,49.9338,string,4096
314,Tue Jun 13 2023 22:31:58,50.4857,string,4096
321,Sun Jun 18 2023 23:01:26,2.5296,string,4096
328,Sun Jun 18 2023 23:02:46,4.5046,string,4096
335,Sun Jun 18 2023 23:03:34,49.4113,string,4096
342,Sun Jun 18 2023 23:04:17,2.9912,string,4096
349,Sun Jun 18 2023 23:05:04,49.4831,string,4096
356,Tue Jun 13 2023 21:55:30,50.1519,string,4096
363,Tue Jun 13 2023 21:57:05,5.71,string,4096
370,Tue Jun 13 2023 21:58:08,2.4935,string,4096
377,Tue Jun 13 2023 21:59:08,50.1639,string,4096
384,Tue Jun 13 2023 22:00:12,49.395,string,4096
391,Tue Jun 13 2023 22:06:05,3.0701,string,4096
398,Tue Jun 13 2023 22:07:41,5.4815,string,4096
405,Tue Jun 13 2023 22:08:43,56.2208,string,4096
412,Tue Jun 13 2023 22:09:45,2.823,string,4096
426,Sun Jun 18 2023 22:52:14,50.2158,string,4096
440,Sun Jun 18 2023 22:54:19,50.4083,string,4096
447,Sun Jun 18 2023 22:55:01,2.4711,string,4096
454,Sun Jun 18 2023 22:55:49,49.2825,string,4096
1,Tue Jun 13 2023 20:18:20,264.6774,string,16384
8,Tue Jun 13 2023 20:54:27,98.8108,string,16384
15,Tue Jun 13 2023 21:00:19,3.3164,string,16384
22,Tue Jun 13 2023 21:12:29,98.5039,string,16384
29,Tue Jun 13 2023 21:14:09,294.3316,string,16384
36,Tue Jun 13 2023 21:15:23,328.3217,string,16384
43,Tue Jun 13 2023 21:16:27,305.7549,string,16384
50,Tue Jun 13 2023 21:17:34,97.2225,string,16384
57,Tue Jun 13 2023 21:23:28,123.1346,string,16384
64,Tue Jun 13 2023 21:25:03,145.7055,string,16384
71,Tue Jun 13 2023 21:26:10,334.218,string,16384
78,Tue Jun 13 2023 21:27:12,97.7852,string,16384
85,Tue Jun 13 2023 21:28:16,294.9209,string,16384
98,Sun Jun 18 2023 22:36:38,97.4537,string,16384
