index,Date,Retrieval Time (ms),Type,Size (Bytes)
0,Tue Jun 13 2023 21:29:01,113.6172,string,4096
7,Tue Jun 13 2023 21:58:53,8.9455,string,4096
14,Tue Jun 13 2023 21:59:32,105.617,string,4096
21,Tue Jun 13 2023 22:13:05,344.4337,string,4096
28,Tue Jun 13 2023 22:14:09,104.3929,string,4096
35,Tue Jun 13 2023 22:15:23,159.8195,string,4096
42,Tue Jun 13 2023 22:16:26,2.9188,string,4096
49,Tue Jun 13 2023 22:17:34,106.3496,string,4096
56,Tue Jun 13 2023 22:24:00,109.8874,string,4096
63,Tue Jun 13 2023 22:25:03,154.4832,string,4096
70,Tue Jun 13 2023 22:26:10,99.5031,string,4096
77,Tue Jun 13 2023 22:27:12,104.8129,string,4096
84,Tue Jun 13 2023 22:28:16,328.8928,string,4096
94,Sun Jun 18 2023 23:36:38,191.8223,string,4096
101,Sun Jun 18 2023 23:37:27,154.3271,string,4096
108,Mon Jun 19 2023 00:13:32,4.7839,string,4096
115,Mon Jun 19 2023 00:14:14,190.2564,string,4096
122,Mon Jun 19 2023 00:14:57,3.2555,string,4096
129,Mon Jun 19 2023 00:15:41,1.4694,string,4096
136,Mon Jun 19 2023 00:16:28,102.9368,string,4096
143,Tue Jun 13 2023 22:34:39,2.5173,string,4096
150,Tue Jun 13 2023 22:35:42,108.696,string,4096
157,Tue Jun 13 2023 22:36:52,332.3321,string,4096
164,Tue Jun 13 2023 22:37:55,107.6092,string,4096
171,Tue Jun 13 2023 22:39:02,117.2924,string,4096
178,Tue Jun 13 2023 22:45:27,104.1676,string,4096
185,Tue Jun 13 2023 22:46:26,104.7133,string,4096
192,Tue Jun 13 2023 22:47:30,3.6647,string,4096
199,Tue Jun 13 2023 22:48:31,109.3701,string,4096
206,Tue Jun 13 2023 22:49:38,113.7881,string,4096
213,Sun Jun 18 2023 23:43:36,101.204,string,4096
220,Sun Jun 18 2023 23:44:21,190.5876,string,4096
227,Sun Jun 18 2023 23:45:07,112.0967,string,4096
234,Sun Jun 18 2023 23:45:52,373.3832,string,4096
241,Sun Jun 18 2023 23:46:40,102.1804,string,4096
248,Tue Jun 13 2023 23:17:12,153.2403,string,4096
255,Tue Jun 13 2023 23:18:13,105.5926,string,4096
262,Tue Jun 13 2023 23:19:17,102.1987,string,4096
269,Tue Jun 13 2023 23:20:19,153.0602,string,4096
276,Tue Jun 13 2023 23:21:24,190.3408,string,4096
283,Tue Jun 13 2023 23:27:43,106.7829,string,4096
290,Tue Jun 13 2023 23:28:46,2.6874,string,4096
297,Tue Jun 13 2023 23:29:51,1.1867,string,4096
304,Tue Jun 13 2023 23:30:52,121.7718,string,4096
311,Tue Jun 13 2023 23:31:58,1.4336,string,4096
318,Mon Jun 19 2023 00:02:00,102.0392,string,4096
325,Mon Jun 19 2023 00:02:46,104.18,string,4096
332,Mon Jun 19 2023 00:03:34,1.2201,string,4096
339,Mon Jun 19 2023 00:04:17,132.8714,string,4096
346,Mon Jun 19 2023 00:05:04,112.3662,string,4096
353,Tue Jun 13 2023 22:56:00,117.9759,string,4096
360,Tue Jun 13 2023 22:57:06,326.1593,string,4096
367,Tue Jun 13 2023 22:58:08,104.2515,string,4096
374,Tue Jun 13 2023 22:59:08,119.6773,string,4096
381,Tue Jun 13 2023 23:00:12,100.8381,string,4096
388,Tue Jun 13 2023 23:06:35,3.4431,string,4096
395,Tue Jun 13 2023 23:07:41,351.8945,string,4096
402,Tue Jun 13 2023 23:08:43,1.2644,string,4096
409,Tue Jun 13 2023 23:09:45,105.4804,string,4096
416,Tue Jun 13 2023 23:10:49,364.7306,string,4096
423,Sun Jun 18 2023 23:52:49,113.376,string,4096
430,Sun Jun 18 2023 23:53:34,375.9458,string,4096
437,Sun Jun 18 2023 23:54:19,99.0674,string,4096
444,Sun Jun 18 2023 23:55:01,101.7022,string,4096
451,Sun Jun 18 2023 23:55:49,114.0058,string,4096
1,Tue Jun 13 2023 21:29:01,263.4431,string,16384
8,Tue Jun 13 2023 21:58:53,6.2122,string,16384
15,Tue Jun 13 2023 21:59:32,434.7506,string,16384
22,Tue Jun 13 2023 22:13:05,212.4282,string,16384
29,Tue Jun 13 2023 22:14:09,521.3725,string,16384
36,Tue Jun 13 2023 22:15:23,315.4342,string,16384
43,Tue Jun 13 2023 22:16:27,432.5134,string,16384
50,Tue Jun 13 2023 22:17:34,254.646,string,16384
57,Tue Jun 13 2023 22:24:00,217.9869,string,16384
64,Tue Jun 13 2023 22:25:03,311.0845,string,16384
71,Tue Jun 13 2023 22:26:10,674.2568,string,16384
78,Tue Jun 13 2023 22:27:12,157.2743,string,16384
85,Tue Jun 13 2023 22:28:16,444.3533,string,16384
95,Sun Jun 18 2023 23:36:39,202.777,string,16384
102,Sun Jun 18 2023 23:37:27,508.4013,string,16384
109,Mon Jun 19 2023 00:13:33,364.8066,string,16384
116,Mon Jun 19 2023 00:14:14,500.0149,string,16384
123,Mon Jun 19 2023 00:14:57,373.9963,string,16384
130,Mon Jun 19 2023 00:15:42,731.9264,string,16384
137,Mon Jun 19 2023 00:16:28,291.1173,string,16384
144,Tue Jun 13 2023 22:34:39,255.0031,string,16384
151,Tue Jun 13 2023 22:35:42,105.9875,string,16384
158,Tue Jun 13 2023 22:36:53,678.8415,string,16384
165,Tue Jun 13 2023 22:37:56,218.9145,string,16384
172,Tue Jun 13 2023 22:39:03,419.0983,string,16384
179,Tue Jun 13 2023 22:45:28,265.0409,string,16384
186,Tue Jun 13 2023 22:46:26,322.2985,string,16384
193,Tue Jun 13 2023 22:47:30,428.895,string,16384
200,Tue Jun 13 2023 22:48:31,217.6059,string,16384
207,Tue Jun 13 2023 22:49:38,202.6486,string,16384
214,Sun Jun 18 2023 23:43:37,372.7507,string,16384
221,Sun Jun 18 2023 23:44:22,485.2608,string,16384
228,Sun Jun 18 2023 23:45:08,215.0868,string,16384
235,Sun Jun 18 2023 23:45:52,215.8372,string,16384
242,Sun Jun 18 2023 23:46:41,469.3694,string,16384
249,Tue Jun 13 2023 23:17:12,225.5074,string,16384
256,Tue Jun 13 2023 23:18:14,455.4329,string,16384
263,Tue Jun 13 2023 23:19:17,224.9717,string,16384
270,Tue Jun 13 2023 23:20:19,356.5293,string,16384
277,Tue Jun 13 2023 23:21:24,208.035,string,16384
284,Tue Jun 13 2023 23:27:44,356.6861,string,16384
291,Tue Jun 13 2023 23:28:46,455.1483,string,16384
298,Tue Jun 13 2023 23:29:51,201.0597,string,16384
305,Tue Jun 13 2023 23:30:53,456.088,string,16384
312,Tue Jun 13 2023 23:31:59,505.9363,string,16384
319,Mon Jun 19 2023 00:02:01,374.7007,string,16384
326,Mon Jun 19 2023 00:02:47,501.6217,string,16384
333,Mon Jun 19 2023 00:03:34,211.2253,string,16384
340,Mon Jun 19 2023 00:04:18,303.4548,string,16384
347,Mon Jun 19 2023 00:05:05,238.97,string,16384
354,Tue Jun 13 2023 22:56:01,423.7842,string,16384
361,Tue Jun 13 2023 22:57:06,292.1671,string,16384
368,Tue Jun 13 2023 22:58:08,444.9797,string,16384
