index,Date,Retrieval Time (ms),Type,Size (Bytes)
0,Tue Jun 13 2023 20:18:20,7.6158,string,4096
7,Tue Jun 13 2023 20:31:07,5.3682,string,4096
14,Tue Jun 13 2023 20:54:27,3.7504,string,4096
21,Tue Jun 13 2023 20:59:01,3.6674,string,4096
28,Tue Jun 13 2023 21:00:20,3.5343,string,4096
35,Tue Jun 13 2023 21:12:29,55.6523,string,4096
42,Tue Jun 13 2023 21:13:05,256.1896,string,4096
49,Tue Jun 13 2023 21:14:09,53.8427,string,4096
56,Tue Jun 13 2023 21:15:23,77.1335,string,4096
63,Tue Jun 13 2023 21:17:34,4.7023,string,4096
70,Tue Jun 13 2023 21:23:28,3.0637,string,4096
77,Tue Jun 13 2023 21:24:00,3.6373,string,4096
84,Tue Jun 13 2023 21:25:03,77.8223,string,4096
91,Tue Jun 13 2023 21:26:10,52.5277,string,4096
98,Tue Jun 13 2023 21:28:16,252.0293,string,4096
111,Sun Jun 18 2023 22:37:27,4.6804,string,4096
118,Sun Jun 18 2023 23:13:04,55.9837,string,4096
125,Sun Jun 18 2023 23:13:32,133.0277,string,4096
132,Sun Jun 18 2023 23:14:14,77.1283,string,4096
139,Sun Jun 18 2023 23:14:57,291.8595,string,4096
146,Sun Jun 18 2023 23:16:28,54.9771,string,4096
153,Tue Jun 13 2023 21:34:09,52.2083,string,4096
160,Tue Jun 13 2023 21:34:39,52.4154,string,4096
167,Tue Jun 13 2023 21:35:42,52.4714,string,4096
174,Tue Jun 13 2023 21:36:52,256.1526,string,4096
181,Tue Jun 13 2023 21:39:02,53.3802,string,4096
188,Tue Jun 13 2023 21:44:56,2.6682,string,4096
195,Tue Jun 13 2023 21:45:27,3.1722,string,4096
202,Tue Jun 13 2023 21:46:26,53.812,string,4096
209,Tue Jun 13 2023 21:47:30,251.5182,string,4096
216,Tue Jun 13 2023 21:49:38,53.3086,string,4096
223,Sun Jun 18 2023 22:43:01,2.9138,string,4096
230,Sun Jun 18 2023 22:43:36,52.4242,string,4096
237,Sun Jun 18 2023 22:44:21,77.7241,string,4096
244,Sun Jun 18 2023 22:45:07,53.1249,string,4096
251,Sun Jun 18 2023 22:46:40,55.2444,string,4096
258,Tue Jun 13 2023 22:16:44,2.2039,string,4096
265,Tue Jun 13 2023 22:17:12,3.605,string,4096
272,Tue Jun 13 2023 22:18:13,2.2673,string,4096
279,Tue Jun 13 2023 22:19:17,53.1188,string,4096
286,Tue Jun 13 2023 22:21:24,47.707,string,4096
293,Tue Jun 13 2023 22:27:15,96.2614,string,4096
300,Tue Jun 13 2023 22:27:43,52.7347,string,4096
307,Tue Jun 13 2023 22:28:46,53.3801,string,4096
314,Tue Jun 13 2023 22:29:51,52.1545,string,4096
321,Tue Jun 13 2023 22:31:58,53.6791,string,4096
328,Sun Jun 18 2023 23:01:26,2.9353,string,4096
335,Sun Jun 18 2023 23:02:00,52.384,string,4096
342,Sun Jun 18 2023 23:02:46,2.9408,string,4096
349,Sun Jun 18 2023 23:03:34,51.8158,string,4096
356,Sun Jun 18 2023 23:05:04,55.3774,string,4096
363,Tue Jun 13 2023 21:55:30,51.4146,string,4096
370,Tue Jun 13 2023 21:56:00,52.1287,string,4096
377,Tue Jun 13 2023 21:57:06,3.1825,string,4096
384,Tue Jun 13 2023 21:58:08,1.9316,string,4096
391,Tue Jun 13 2023 22:00:12,54.0065,string,4096
398,Tue Jun 13 2023 22:06:05,2.688,string,4096
405,Tue Jun 13 2023 22:06:35,52.392,string,4096
412,Tue Jun 13 2023 22:07:41,1.955,string,4096
419,Tue Jun 13 2023 22:08:43,182.7632,string,4096
426,Tue Jun 13 2023 22:10:49,253.1162,string,4096
433,Sun Jun 18 2023 22:52:14,52.7835,string,4096
440,Sun Jun 18 2023 22:52:49,53.8431,string,4096
447,Sun Jun 18 2023 22:53:34,292.2326,string,4096
454,Sun Jun 18 2023 22:54:19,52.3593,string,4096
461,Sun Jun 18 2023 22:55:49,53.7447,string,4096
1,Tue Jun 13 2023 20:18:20,257.3696,string,16384
8,Tue Jun 13 2023 20:31:07,4.3644,string,16384
15,Tue Jun 13 2023 20:54:27,101.5888,string,16384
22,Tue Jun 13 2023 20:59:01,2.6593,string,16384
29,Tue Jun 13 2023 21:00:20,3.2006,string,16384
36,Tue Jun 13 2023 21:12:29,126.9009,string,16384
43,Tue Jun 13 2023 21:13:05,53.1024,string,16384
50,Tue Jun 13 2023 21:14:09,299.7659,string,16384
57,Tue Jun 13 2023 21:15:23,332.4572,string,16384
64,Tue Jun 13 2023 21:17:34,180.7045,string,16384
71,Tue Jun 13 2023 21:23:29,523.9034,string,16384
78,Tue Jun 13 2023 21:24:00,101.6927,string,16384
85,Tue Jun 13 2023 21:25:03,150.9375,string,16384
92,Tue Jun 13 2023 21:26:10,332.665,string,16384
99,Tue Jun 13 2023 21:28:16,295.8167,string,16384
112,Sun Jun 18 2023 22:37:27,77.7846,string,16384
119,Sun Jun 18 2023 23:13:04,288.6804,string,16384
126,Sun Jun 18 2023 23:13:33,563.9807,string,16384
133,Sun Jun 18 2023 23:14:14,337.3004,string,16384
140,Sun Jun 18 2023 23:14:58,421.3993,string,16384
147,Sun Jun 18 2023 23:16:28,127.5639,string,16384
154,Tue Jun 13 2023 21:34:09,319.6969,string,16384
161,Tue Jun 13 2023 21:34:39,52.551,string,16384
168,Tue Jun 13 2023 21:35:42,103.2403,string,16384
175,Tue Jun 13 2023 21:36:53,551.2819,string,16384
182,Tue Jun 13 2023 21:39:03,186.7183,string,16384
189,Tue Jun 13 2023 21:44:56,151.9909,string,16384
