index,Date,Retrieval Time (ms),Type,Size (Bytes)
0,Tue Jun 13 2023 20:18:20,7.5869,string,4096
7,Tue Jun 13 2023 20:31:06,7.4131,string,4096
14,Tue Jun 13 2023 20:54:27,6.1575,string,4096
21,Tue Jun 13 2023 20:58:59,4.9617,string,4096
28,Tue Jun 13 2023 21:12:29,56.6018,string,4096
35,Tue Jun 13 2023 21:13:05,420.303,string,4096
42,Tue Jun 13 2023 21:15:23,81.35,string,4096
49,Tue Jun 13 2023 21:16:26,51.885,string,4096
56,Tue Jun 13 2023 21:17:34,2.1912,string,4096
63,Tue Jun 13 2023 21:23:28,3.893,string,4096
70,Tue Jun 13 2023 21:24:00,3.4856,string,4096
77,Tue Jun 13 2023 21:26:10,56.3073,string,4096
84,Tue Jun 13 2023 21:27:12,2.9898,string,4096
91,Tue Jun 13 2023 21:28:16,253.6849,string,4096
102,Sun Jun 18 2023 22:36:38,80.9359,string,4096
109,Sun Jun 18 2023 22:37:27,2.5946,string,4096
116,Sun Jun 18 2023 23:13:04,58.2282,string,4096
123,Sun Jun 18 2023 23:13:32,53.9078,string,4096
130,Sun Jun 18 2023 23:14:14,81.7154,string,4096
137,Sun Jun 18 2023 23:15:41,79.9592,string,4096
144,Sun Jun 18 2023 23:16:28,53.9907,string,4096
151,Tue Jun 13 2023 21:34:09,53.2328,string,4096
158,Tue Jun 13 2023 21:34:39,52.454,string,4096
165,Tue Jun 13 2023 21:36:52,249.9166,string,4096
172,Tue Jun 13 2023 21:37:55,53.5995,string,4096
179,Tue Jun 13 2023 21:39:02,53.137,string,4096
186,Tue Jun 13 2023 21:44:56,3.4927,string,4096
193,Tue Jun 13 2023 21:45:27,3.067,string,4096
200,Tue Jun 13 2023 21:47:30,56.4082,string,4096
207,Tue Jun 13 2023 21:48:31,3.1387,string,4096
214,Tue Jun 13 2023 21:49:38,54.1432,string,4096
221,Sun Jun 18 2023 22:43:01,3.0463,string,4096
228,Sun Jun 18 2023 22:43:36,52.5372,string,4096
235,Sun Jun 18 2023 22:44:21,78.8444,string,4096
242,Sun Jun 18 2023 22:45:52,4.3952,string,4096
249,Sun Jun 18 2023 22:46:40,54.4513,string,4096
