index,Date,Retrieval Time (ms),Type,Size (Bytes)
0,Tue Jun 13 2023 20:18:20,67.3607,string,4096
7,Tue Jun 13 2023 20:31:11,7.2664,string,4096
14,Tue Jun 13 2023 20:54:27,66.6088,string,4096
21,Tue Jun 13 2023 20:59:06,5.6771,string,4096
28,Tue Jun 13 2023 21:00:53,4.5754,string,4096
35,Tue Jun 13 2023 21:12:29,6.2952,string,4096
42,Tue Jun 13 2023 21:13:05,352.9518,string,4096
49,Tue Jun 13 2023 21:14:09,2.5121,string,4096
56,Tue Jun 13 2023 21:15:23,2.3806,string,4096
63,Tue Jun 13 2023 21:16:26,62.7585,string,4096
70,Tue Jun 13 2023 21:23:28,65.6213,string,4096
77,Tue Jun 13 2023 21:24:00,62.4939,string,4096
84,Tue Jun 13 2023 21:25:03,2.8518,string,4096
91,Tue Jun 13 2023 21:26:09,2.399,string,4096
98,Tue Jun 13 2023 21:27:12,62.2785,string,4096
111,Sun Jun 18 2023 22:36:38,2.5559,string,4096
118,Sun Jun 18 2023 23:13:04,65.4603,string,4096
125,Sun Jun 18 2023 23:13:32,142.0668,string,4096
132,Sun Jun 18 2023 23:14:14,2.6092,string,4096
139,Sun Jun 18 2023 23:14:57,299.0391,string,4096
146,Sun Jun 18 2023 23:15:41,139.6413,string,4096
153,Tue Jun 13 2023 21:34:09,65.6403,string,4096
160,Tue Jun 13 2023 21:34:39,62.8052,string,4096
167,Tue Jun 13 2023 21:35:42,2.5142,string,4096
174,Tue Jun 13 2023 21:36:52,266.5744,string,4096
181,Tue Jun 13 2023 21:37:55,62.2614,string,4096
188,Tue Jun 13 2023 21:44:56,64.469,string,4096
195,Tue Jun 13 2023 21:45:27,60.8632,string,4096
202,Tue Jun 13 2023 21:46:26,62.754,string,4096
209,Tue Jun 13 2023 21:47:30,266.121,string,4096
216,Tue Jun 13 2023 21:48:31,62.9179,string,4096
223,Sun Jun 18 2023 22:43:01,65.5948,string,4096
230,Sun Jun 18 2023 22:43:36,2.5546,string,4096
237,Sun Jun 18 2023 22:44:21,2.134,string,4096
244,Sun Jun 18 2023 22:45:07,5.5512,string,4096
251,Sun Jun 18 2023 22:45:52,62.2648,string,4096
258,Tue Jun 13 2023 22:16:44,67.4373,string,4096
265,Tue Jun 13 2023 22:17:12,92.4734,string,4096
272,Tue Jun 13 2023 22:18:13,63.4053,string,4096
279,Tue Jun 13 2023 22:19:17,2.2839,string,4096
286,Tue Jun 13 2023 22:20:19,92.572,string,4096
293,Tue Jun 13 2023 22:27:15,5.3084,string,4096
300,Tue Jun 13 2023 22:27:43,2.7697,string,4096
307,Tue Jun 13 2023 22:28:46,63.3639,string,4096
314,Tue Jun 13 2023 22:29:51,62.8625,string,4096
321,Tue Jun 13 2023 22:30:52,64.5991,string,4096
328,Sun Jun 18 2023 23:01:26,95.475,string,4096
335,Sun Jun 18 2023 23:02:00,2.4586,string,4096
342,Sun Jun 18 2023 23:02:46,62.3297,string,4096
349,Sun Jun 18 2023 23:03:34,60.5646,string,4096
356,Sun Jun 18 2023 23:04:17,61.9857,string,4096
363,Tue Jun 13 2023 21:55:30,64.5248,string,4096
370,Tue Jun 13 2023 21:56:00,62.4558,string,4096
377,Tue Jun 13 2023 21:57:06,280.0318,string,4096
384,Tue Jun 13 2023 21:58:08,63.0181,string,4096
391,Tue Jun 13 2023 21:59:08,62.1503,string,4096
398,Tue Jun 13 2023 22:06:05,95.8698,string,4096
405,Tue Jun 13 2023 22:06:35,62.0835,string,4096
412,Tue Jun 13 2023 22:07:41,280.5853,string,4096
419,Tue Jun 13 2023 22:08:43,207.1581,string,4096
426,Tue Jun 13 2023 22:09:45,64.8569,string,4096
433,Sun Jun 18 2023 22:52:14,65.0299,string,4096
440,Sun Jun 18 2023 22:52:49,2.7463,string,4096
447,Sun Jun 18 2023 22:53:34,294.1136,string,4096
454,Sun Jun 18 2023 22:54:19,2.5049,string,4096
461,Sun Jun 18 2023 22:55:01,62.0382,string,4096
1,Tue Jun 13 2023 20:18:21,321.8817,string,16384
8,Tue Jun 13 2023 20:31:11,5.5594,string,16384
15,Tue Jun 13 2023 20:54:27,152.7927,string,16384
22,Tue Jun 13 2023 20:59:06,3.8614,string,16384
29,Tue Jun 13 2023 21:00:53,2.9578,string,16384
36,Tue Jun 13 2023 21:12:29,63.3547,string,16384
43,Tue Jun 13 2023 21:13:05,122.3534,string,16384
50,Tue Jun 13 2023 21:14:09,320.0218,string,16384
57,Tue Jun 13 2023 21:15:23,429.2297,string,16384
64,Tue Jun 13 2023 21:16:27,326.6372,string,16384
71,Tue Jun 13 2023 21:23:29,325.3295,string,16384
78,Tue Jun 13 2023 21:24:00,62.2925,string,16384
