index,Date,Retrieval Time (ms),Type,Size (Bytes)
7,Tue Jun 13 2023 21:58:53,8.9455,string,4096
21,Tue Jun 13 2023 22:13:05,344.4337,string,4096
42,Tue Jun 13 2023 22:16:26,2.9188,string,4096
84,Tue Jun 13 2023 22:28:16,328.8928,string,4096
108,Mon Jun 19 2023 00:13:32,4.7839,string,4096
122,Mon Jun 19 2023 00:14:57,3.2555,string,4096
129,Mon Jun 19 2023 00:15:41,1.4694,string,4096
143,Tue Jun 13 2023 22:34:39,2.5173,string,4096
157,Tue Jun 13 2023 22:36:52,332.3321,string,4096
192,Tue Jun 13 2023 22:47:30,3.6647,string,4096
234,Sun Jun 18 2023 23:45:52,373.3832,string,4096
290,Tue Jun 13 2023 23:28:46,2.6874,string,4096
297,Tue Jun 13 2023 23:29:51,1.1867,string,4096
311,Tue Jun 13 2023 23:31:58,1.4336,string,4096
332,Mon Jun 19 2023 00:03:34,1.2201,string,4096
360,Tue Jun 13 2023 22:57:06,326.1593,string,4096
388,Tue Jun 13 2023 23:06:35,3.4431,string,4096
395,Tue Jun 13 2023 23:07:41,351.8945,string,4096
402,Tue Jun 13 2023 23:08:43,1.2644,string,4096
416,Tue Jun 13 2023 23:10:49,364.7306,string,4096
430,Sun Jun 18 2023 23:53:34,375.9458,string,4096
9,Tue Jun 13 2023 21:58:53,6.1449,string,65536
58,Tue Jun 13 2023 22:24:01,991.3763,string,65536
138,Mon Jun 19 2023 00:16:29,941.9439,string,65536
173,Tue Jun 13 2023 22:39:04,999.7962,string,65536
229,Sun Jun 18 2023 23:45:09,928.2182,string,65536
278,Tue Jun 13 2023 23:21:25,857.3958,string,65536
299,Tue Jun 13 2023 23:29:52,1034.4646,string,65536
341,Mon Jun 19 2023 00:04:18,857.7859,string,65536
10,Tue Jun 13 2023 21:58:53,10.0538,string,262144
356,Tue Jun 13 2023 22:56:02,1484.604,string,262144
11,Tue Jun 13 2023 21:58:53,16.359,string,1048576
12,Tue Jun 13 2023 21:58:53,39.5417,string,4194304
92,Sun Jun 18 2023 23:36:03,7884.5766,string,4194304
