index,Date,Retrieval Time (ms),Type,Size (Bytes)
42,Tue Jun 13 2023 21:13:05,256.1896,string,4096
98,Tue Jun 13 2023 21:28:16,252.0293,string,4096
125,Sun Jun 18 2023 23:13:32,133.0277,string,4096
139,Sun Jun 18 2023 23:14:57,291.8595,string,4096
174,Tue Jun 13 2023 21:36:52,256.1526,string,4096
209,Tue Jun 13 2023 21:47:30,251.5182,string,4096
419,Tue Jun 13 2023 22:08:43,182.7632,string,4096
426,Tue Jun 13 2023 22:10:49,253.1162,string,4096
447,Sun Jun 18 2023 22:53:34,292.2326,string,4096
9,Tue Jun 13 2023 20:31:07,3.9629,string,65536
23,Tue Jun 13 2023 20:59:01,3.7922,string,65536
30,Tue Jun 13 2023 21:00:20,3.321,string,65536
10,Tue Jun 13 2023 20:31:07,6.5839,string,262144
24,Tue Jun 13 2023 20:59:01,4.8999,string,262144
31,Tue Jun 13 2023 21:00:20,4.6931,string,262144
359,Sun Jun 18 2023 23:05:06,1021.5605,string,262144
11,Tue Jun 13 2023 20:31:07,13.4828,string,1048576
25,Tue Jun 13 2023 20:59:01,12.0057,string,1048576
32,Tue Jun 13 2023 21:00:20,10.5623,string,1048576
12,Tue Jun 13 2023 20:31:07,111.9721,string,4194304
26,Tue Jun 13 2023 20:59:01,100.1343,string,4194304
33,Tue Jun 13 2023 21:00:20,116.8794,string,4194304
292,Tue Jun 13 2023 22:21:48,18369.1433,string,16777216
327,Tue Jun 13 2023 22:32:23,18793.6629,string,16777216
