index,Date,Retrieval Time (ms),Type,Size (Bytes)
42,Tue Jun 13 2023 21:13:05,398.3232,string,4096
98,Tue Jun 13 2023 21:28:16,228.7956,string,4096
432,Tue Jun 13 2023 22:10:49,247.2343,string,4096
2,Tue Jun 13 2023 20:18:20,77.1813,string,65536
9,Tue Jun 13 2023 20:31:09,6.4352,string,65536
16,Tue Jun 13 2023 20:54:27,47.3157,string,65536
23,Tue Jun 13 2023 20:59:03,3.7247,string,65536
30,Tue Jun 13 2023 21:00:05,3.7302,string,65536
65,Tue Jun 13 2023 21:17:35,482.4475,string,65536
79,Tue Jun 13 2023 21:24:00,539.9801,string,65536
112,Sun Jun 18 2023 22:36:39,512.715,string,65536
119,Sun Jun 18 2023 22:37:27,44.8769,string,65536
140,Sun Jun 18 2023 23:14:57,32.4776,string,65536
168,Tue Jun 13 2023 21:34:40,500.9114,string,65536
196,Tue Jun 13 2023 21:44:56,425.8729,string,65536
210,Tue Jun 13 2023 21:46:26,90.7492,string,65536
217,Tue Jun 13 2023 21:48:32,438.5138,string,65536
231,Sun Jun 18 2023 22:43:02,463.9936,string,65536
259,Sun Jun 18 2023 22:46:41,538.6893,string,65536
266,Tue Jun 13 2023 22:16:44,73.8924,string,65536
273,Tue Jun 13 2023 22:17:12,88.3231,string,65536
287,Tue Jun 13 2023 22:20:19,47.4581,string,65536
301,Tue Jun 13 2023 22:27:16,460.7331,string,65536
308,Tue Jun 13 2023 22:27:43,75.1339,string,65536
329,Tue Jun 13 2023 22:31:58,77.1119,string,65536
336,Sun Jun 18 2023 23:01:26,32.8838,string,65536
357,Sun Jun 18 2023 23:04:18,588.6349,string,65536
378,Tue Jun 13 2023 21:56:00,47.122,string,65536
392,Tue Jun 13 2023 21:59:09,76.3757,string,65536
441,Sun Jun 18 2023 22:52:15,522.1927,string,65536
448,Sun Jun 18 2023 22:52:50,504.5829,string,65536
10,Tue Jun 13 2023 20:31:09,7.0676,string,262144
24,Tue Jun 13 2023 20:59:03,5.0134,string,262144
31,Tue Jun 13 2023 21:00:05,7.9936,string,262144
45,Tue Jun 13 2023 21:13:06,733.957,string,262144
120,Sun Jun 18 2023 22:37:27,776.6824,string,262144
127,Sun Jun 18 2023 23:13:05,716.0547,string,262144
232,Sun Jun 18 2023 22:43:02,811.7211,string,262144
239,Sun Jun 18 2023 22:43:38,714.8014,string,262144
11,Tue Jun 13 2023 20:31:09,11.8385,string,1048576
25,Tue Jun 13 2023 20:59:03,10.8177,string,1048576
32,Tue Jun 13 2023 21:00:06,16.2735,string,1048576
105,Sun Jun 18 2023 22:22:24,1796.8992,string,1048576
12,Tue Jun 13 2023 20:31:09,34.0462,string,4194304
26,Tue Jun 13 2023 20:59:03,45.4088,string,4194304
33,Tue Jun 13 2023 21:00:06,37.1328,string,4194304
122,Sun Jun 18 2023 22:37:33,4680.0254,string,4194304
