index,Date,Retrieval Time (ms),Type,Size (Bytes)
84,Tue Jun 13 2023 21:28:16,254.1751,string,4096
160,Tue Jun 13 2023 21:36:52,246.4115,string,4096
419,Tue Jun 13 2023 22:10:49,261.0413,string,4096
433,Sun Jun 18 2023 22:53:34,288.4896,string,4096
224,Sun Jun 18 2023 22:44:22,794.0807,string,16384
2,Tue Jun 13 2023 20:18:21,123.6398,string,65536
9,Tue Jun 13 2023 20:54:27,74.9114,string,65536
16,Tue Jun 13 2023 21:00:19,3.6661,string,65536
51,Tue Jun 13 2023 21:17:35,516.3597,string,65536
99,Sun Jun 18 2023 22:36:39,553.73,string,65536
106,Sun Jun 18 2023 22:37:27,74.4133,string,65536
127,Sun Jun 18 2023 23:14:57,125.2908,string,65536
148,Tue Jun 13 2023 21:34:09,569.8751,string,65536
155,Tue Jun 13 2023 21:35:43,579.7247,string,65536
246,Sun Jun 18 2023 22:46:41,587.5642,string,65536
253,Tue Jun 13 2023 22:16:44,120.4061,string,65536
267,Tue Jun 13 2023 22:19:17,122.5347,string,65536
302,Tue Jun 13 2023 22:29:52,584.9792,string,65536
316,Tue Jun 13 2023 22:31:59,121.8882,string,65536
323,Sun Jun 18 2023 23:01:26,73.7198,string,65536
358,Tue Jun 13 2023 21:55:31,512.4398,string,65536
428,Sun Jun 18 2023 22:52:15,572.3953,string,65536
435,Sun Jun 18 2023 22:53:35,568.8652,string,65536
442,Sun Jun 18 2023 22:54:20,464.5291,string,65536
17,Tue Jun 13 2023 21:00:19,5.7909,string,262144
114,Sun Jun 18 2023 23:13:05,1100.0763,string,262144
128,Sun Jun 18 2023 23:14:58,1124.159,string,262144
18,Tue Jun 13 2023 21:00:19,13.3133,string,1048576
325,Sun Jun 18 2023 23:01:28,1979.029,string,1048576
19,Tue Jun 13 2023 21:00:19,79.8601,string,4194304
