index,Date,Retrieval Time (ms),Type,Size (Bytes)
35,Tue Jun 13 2023 21:13:05,420.303,string,4096
91,Tue Jun 13 2023 21:28:16,253.6849,string,4096
165,Tue Jun 13 2023 21:36:52,249.9166,string,4096
424,Tue Jun 13 2023 22:10:49,251.9659,string,4096
445,Sun Jun 18 2023 22:53:34,287.9827,string,4096
439,Sun Jun 18 2023 22:52:50,662.08,string,16384
9,Tue Jun 13 2023 20:31:06,5.6781,string,65536
16,Tue Jun 13 2023 20:54:27,78.3843,string,65536
23,Tue Jun 13 2023 20:58:59,3.7207,string,65536
58,Tue Jun 13 2023 21:17:35,674.8778,string,65536
65,Tue Jun 13 2023 21:23:29,549.2159,string,65536
104,Sun Jun 18 2023 22:36:39,557.5192,string,65536
111,Sun Jun 18 2023 22:37:27,79.1913,string,65536
167,Tue Jun 13 2023 21:36:53,623.763,string,65536
209,Tue Jun 13 2023 21:48:32,612.7533,string,65536
216,Tue Jun 13 2023 21:49:39,579.1015,string,65536
251,Sun Jun 18 2023 22:46:41,554.1994,string,65536
328,Sun Jun 18 2023 23:01:26,78.9822,string,65536
370,Tue Jun 13 2023 21:56:00,78.9319,string,65536
433,Sun Jun 18 2023 22:52:15,1194.7525,string,65536
447,Sun Jun 18 2023 22:53:35,598.2087,string,65536
112,Sun Jun 18 2023 22:37:28,1048.8997,string,262144
301,Tue Jun 13 2023 22:27:44,978.3732,string,262144
11,Tue Jun 13 2023 20:31:06,13.4463,string,1048576
25,Tue Jun 13 2023 20:58:59,11.243,string,1048576
302,Tue Jun 13 2023 22:27:47,2135.3131,string,1048576
12,Tue Jun 13 2023 20:31:06,57.6745,string,4194304
26,Tue Jun 13 2023 20:58:59,58.1608,string,4194304
