index,Date,Retrieval Time (ms),Type,Size (Bytes)
42,Tue Jun 13 2023 21:13:05,352.9518,string,4096
139,Sun Jun 18 2023 23:14:57,299.0391,string,4096
174,Tue Jun 13 2023 21:36:52,266.5744,string,4096
209,Tue Jun 13 2023 21:47:30,266.121,string,4096
377,Tue Jun 13 2023 21:57:06,280.0318,string,4096
412,Tue Jun 13 2023 22:07:41,280.5853,string,4096
419,Tue Jun 13 2023 22:08:43,207.1581,string,4096
447,Sun Jun 18 2023 22:53:34,294.1136,string,4096
392,Tue Jun 13 2023 21:59:09,721.1832,string,16384
2,Tue Jun 13 2023 20:18:21,66.806,string,65536
9,Tue Jun 13 2023 20:31:11,4.7857,string,65536
23,Tue Jun 13 2023 20:59:06,3.7134,string,65536
30,Tue Jun 13 2023 21:00:53,3.5669,string,65536
113,Sun Jun 18 2023 22:36:39,1068.3056,string,65536
176,Tue Jun 13 2023 21:36:54,630.5207,string,65536
218,Tue Jun 13 2023 21:48:32,637.0667,string,65536
414,Tue Jun 13 2023 22:07:42,620.8979,string,65536
421,Tue Jun 13 2023 22:08:44,646.1651,string,65536
442,Sun Jun 18 2023 22:52:50,660.648,string,65536
10,Tue Jun 13 2023 20:31:11,7.4126,string,262144
24,Tue Jun 13 2023 20:59:06,6.6383,string,262144
31,Tue Jun 13 2023 21:00:53,5.2786,string,262144
247,Sun Jun 18 2023 22:45:09,1121.4965,string,262144
352,Sun Jun 18 2023 23:03:36,1027.068,string,262144
11,Tue Jun 13 2023 20:31:12,13.5473,string,1048576
25,Tue Jun 13 2023 20:59:06,12.4198,string,1048576
32,Tue Jun 13 2023 21:00:53,11.7037,string,1048576
12,Tue Jun 13 2023 20:31:12,42.5802,string,4194304
26,Tue Jun 13 2023 20:59:06,56.9743,string,4194304
33,Tue Jun 13 2023 21:00:53,52.1862,string,4194304
292,Tue Jun 13 2023 22:20:43,18960.4556,string,16777216
327,Tue Jun 13 2023 22:31:18,20503.507,string,16777216
