index,Date,Retrieval Time (ms),Type,Size (Bytes)
0,Tue Jun 13 2023 21:34:09,53.2328,string,4096
7,Tue Jun 13 2023 21:34:39,52.454,string,4096
21,Tue Jun 13 2023 21:37:55,53.5995,string,4096
28,Tue Jun 13 2023 21:39:02,53.137,string,4096
35,Tue Jun 13 2023 21:44:56,3.4927,string,4096
42,Tue Jun 13 2023 21:45:27,3.067,string,4096
49,Tue Jun 13 2023 21:47:30,56.4082,string,4096
56,Tue Jun 13 2023 21:48:31,3.1387,string,4096
63,Tue Jun 13 2023 21:49:38,54.1432,string,4096
70,Sun Jun 18 2023 22:43:01,3.0463,string,4096
77,Sun Jun 18 2023 22:43:36,52.5372,string,4096
84,Sun Jun 18 2023 22:44:21,78.8444,string,4096
91,Sun Jun 18 2023 22:45:52,4.3952,string,4096
98,Sun Jun 18 2023 22:46:40,54.4513,string,4096
105,Tue Jun 13 2023 21:34:09,52.2083,string,4096
112,Tue Jun 13 2023 21:34:39,52.4154,string,4096
119,Tue Jun 13 2023 21:35:42,52.4714,string,4096
133,Tue Jun 13 2023 21:39:02,53.3802,string,4096
140,Tue Jun 13 2023 21:44:56,2.6682,string,4096
147,Tue Jun 13 2023 21:45:27,3.1722,string,4096
154,Tue Jun 13 2023 21:46:26,53.812,string,4096
168,Tue Jun 13 2023 21:49:38,53.3086,string,4096
175,Sun Jun 18 2023 22:43:01,2.9138,string,4096
182,Sun Jun 18 2023 22:43:36,52.4242,string,4096
189,Sun Jun 18 2023 22:44:21,77.7241,string,4096
196,Sun Jun 18 2023 22:45:07,53.1249,string,4096
203,Sun Jun 18 2023 22:46:40,55.2444,string,4096
210,Tue Jun 13 2023 22:34:39,2.5173,string,4096
217,Tue Jun 13 2023 22:35:42,108.696,string,4096
231,Tue Jun 13 2023 22:37:55,107.6092,string,4096
238,Tue Jun 13 2023 22:39:02,117.2924,string,4096
245,Tue Jun 13 2023 22:45:27,104.1676,string,4096
252,Tue Jun 13 2023 22:46:26,104.7133,string,4096
259,Tue Jun 13 2023 22:47:30,3.6647,string,4096
266,Tue Jun 13 2023 22:48:31,109.3701,string,4096
273,Tue Jun 13 2023 22:49:38,113.7881,string,4096
280,Sun Jun 18 2023 23:43:36,101.204,string,4096
294,Sun Jun 18 2023 23:45:07,112.0967,string,4096
308,Sun Jun 18 2023 23:46:40,102.1804,string,4096
315,Tue Jun 13 2023 21:34:09,32.0394,string,4096
322,Tue Jun 13 2023 21:34:39,31.9314,string,4096
329,Tue Jun 13 2023 21:35:42,33.2049,string,4096
336,Tue Jun 13 2023 21:37:55,34.9231,string,4096
343,Tue Jun 13 2023 21:39:02,33.8824,string,4096
350,Tue Jun 13 2023 21:44:56,2.8673,string,4096
357,Tue Jun 13 2023 21:45:27,3.3068,string,4096
364,Tue Jun 13 2023 21:46:25,33.0062,string,4096
371,Tue Jun 13 2023 21:48:31,5.3009,string,4096
378,Tue Jun 13 2023 21:49:38,32.0538,string,4096
385,Sun Jun 18 2023 22:43:01,3.3264,string,4096
392,Sun Jun 18 2023 22:43:36,2.7688,string,4096
399,Sun Jun 18 2023 22:45:07,4.5118,string,4096
406,Sun Jun 18 2023 22:45:52,2.8968,string,4096
