index,Date,Retrieval Time (ms),Type,Size (Bytes)
0,Tue Jun 13 2023 21:55:30,54.1886,string,4096
7,Tue Jun 13 2023 21:56:00,52.8802,string,4096
14,Tue Jun 13 2023 21:58:08,5.1227,string,4096
21,Tue Jun 13 2023 21:59:08,53.6153,string,4096
28,Tue Jun 13 2023 22:00:12,54.0056,string,4096
35,Tue Jun 13 2023 22:06:05,2.8391,string,4096
42,Tue Jun 13 2023 22:06:35,51.6752,string,4096
49,Tue Jun 13 2023 22:08:43,55.1035,string,4096
56,Tue Jun 13 2023 22:09:45,2.7114,string,4096
70,Sun Jun 18 2023 22:52:14,53.254,string,4096
77,Sun Jun 18 2023 22:52:49,54.0876,string,4096
91,Sun Jun 18 2023 22:55:01,4.3656,string,4096
98,Sun Jun 18 2023 22:55:49,56.7224,string,4096
105,Tue Jun 13 2023 21:55:30,51.4146,string,4096
112,Tue Jun 13 2023 21:56:00,52.1287,string,4096
119,Tue Jun 13 2023 21:57:06,3.1825,string,4096
126,Tue Jun 13 2023 21:58:08,1.9316,string,4096
133,Tue Jun 13 2023 22:00:12,54.0065,string,4096
140,Tue Jun 13 2023 22:06:05,2.688,string,4096
147,Tue Jun 13 2023 22:06:35,52.392,string,4096
154,Tue Jun 13 2023 22:07:41,1.955,string,4096
161,Tue Jun 13 2023 22:08:43,182.7632,string,4096
175,Sun Jun 18 2023 22:52:14,52.7835,string,4096
182,Sun Jun 18 2023 22:52:49,53.8431,string,4096
196,Sun Jun 18 2023 22:54:19,52.3593,string,4096
203,Sun Jun 18 2023 22:55:49,53.7447,string,4096
210,Tue Jun 13 2023 22:56:00,117.9759,string,4096
224,Tue Jun 13 2023 22:58:08,104.2515,string,4096
231,Tue Jun 13 2023 22:59:08,119.6773,string,4096
238,Tue Jun 13 2023 23:00:12,100.8381,string,4096
245,Tue Jun 13 2023 23:06:35,3.4431,string,4096
259,Tue Jun 13 2023 23:08:43,1.2644,string,4096
266,Tue Jun 13 2023 23:09:45,105.4804,string,4096
280,Sun Jun 18 2023 23:52:49,113.376,string,4096
294,Sun Jun 18 2023 23:54:19,99.0674,string,4096
301,Sun Jun 18 2023 23:55:01,101.7022,string,4096
308,Sun Jun 18 2023 23:55:49,114.0058,string,4096
315,Tue Jun 13 2023 21:55:30,31.6258,string,4096
322,Tue Jun 13 2023 21:56:00,61.3082,string,4096
329,Tue Jun 13 2023 21:57:05,8.7491,string,4096
336,Tue Jun 13 2023 21:59:08,35.9588,string,4096
343,Tue Jun 13 2023 22:00:12,32.0108,string,4096
350,Tue Jun 13 2023 22:06:05,3.6867,string,4096
357,Tue Jun 13 2023 22:06:35,31.9075,string,4096
364,Tue Jun 13 2023 22:07:41,3.177,string,4096
371,Tue Jun 13 2023 22:09:45,5.758,string,4096
385,Sun Jun 18 2023 22:52:14,31.7034,string,4096
392,Sun Jun 18 2023 22:52:49,2.9004,string,4096
399,Sun Jun 18 2023 22:54:19,4.5229,string,4096
406,Sun Jun 18 2023 22:55:01,2.7404,string,4096
413,Sun Jun 18 2023 22:55:49,32.0242,string,4096
420,Tue Jun 13 2023 21:55:30,50.1519,string,4096
427,Tue Jun 13 2023 21:57:05,5.71,string,4096
434,Tue Jun 13 2023 21:58:08,2.4935,string,4096
441,Tue Jun 13 2023 21:59:08,50.1639,string,4096
448,Tue Jun 13 2023 22:00:12,49.395,string,4096
455,Tue Jun 13 2023 22:06:05,3.0701,string,4096
462,Tue Jun 13 2023 22:07:41,5.4815,string,4096
469,Tue Jun 13 2023 22:08:43,56.2208,string,4096
476,Tue Jun 13 2023 22:09:45,2.823,string,4096
490,Sun Jun 18 2023 22:52:14,50.2158,string,4096
504,Sun Jun 18 2023 22:54:19,50.4083,string,4096
511,Sun Jun 18 2023 22:55:01,2.4711,string,4096
518,Sun Jun 18 2023 22:55:49,49.2825,string,4096
525,Tue Jun 13 2023 21:55:30,64.5248,string,4096
532,Tue Jun 13 2023 21:56:00,62.4558,string,4096
546,Tue Jun 13 2023 21:58:08,63.0181,string,4096
553,Tue Jun 13 2023 21:59:08,62.1503,string,4096
560,Tue Jun 13 2023 22:06:05,95.8698,string,4096
567,Tue Jun 13 2023 22:06:35,62.0835,string,4096
581,Tue Jun 13 2023 22:08:43,207.1581,string,4096
588,Tue Jun 13 2023 22:09:45,64.8569,string,4096
595,Sun Jun 18 2023 22:52:14,65.0299,string,4096
602,Sun Jun 18 2023 22:52:49,2.7463,string,4096
