index,Date,Retrieval Time (ms),Type,Size (Bytes)
0,Tue Jun 13 2023 22:16:44,3.0936,string,4096
7,Tue Jun 13 2023 22:17:12,2.8498,string,4096
14,Tue Jun 13 2023 22:19:17,56.7317,string,4096
21,Tue Jun 13 2023 22:20:18,3.0781,string,4096
28,Tue Jun 13 2023 22:21:24,79.0474,string,4096
35,Tue Jun 13 2023 22:27:15,78.557,string,4096
42,Tue Jun 13 2023 22:27:43,52.2825,string,4096
49,Tue Jun 13 2023 22:29:51,54.7268,string,4096
56,Tue Jun 13 2023 22:30:52,53.8936,string,4096
63,Tue Jun 13 2023 22:31:58,52.4218,string,4096
70,Sun Jun 18 2023 23:01:26,2.8914,string,4096
77,Sun Jun 18 2023 23:02:00,57.5981,string,4096
84,Sun Jun 18 2023 23:02:46,1.982,string,4096
91,Sun Jun 18 2023 23:04:17,4.2576,string,4096
98,Sun Jun 18 2023 23:05:04,52.9451,string,4096
105,Tue Jun 13 2023 22:16:44,2.2039,string,4096
112,Tue Jun 13 2023 22:17:12,3.605,string,4096
119,Tue Jun 13 2023 22:18:13,2.2673,string,4096
126,Tue Jun 13 2023 22:19:17,53.1188,string,4096
133,Tue Jun 13 2023 22:21:24,47.707,string,4096
140,Tue Jun 13 2023 22:27:15,96.2614,string,4096
147,Tue Jun 13 2023 22:27:43,52.7347,string,4096
154,Tue Jun 13 2023 22:28:46,53.3801,string,4096
161,Tue Jun 13 2023 22:29:51,52.1545,string,4096
168,Tue Jun 13 2023 22:31:58,53.6791,string,4096
175,Sun Jun 18 2023 23:01:26,2.9353,string,4096
182,Sun Jun 18 2023 23:02:00,52.384,string,4096
189,Sun Jun 18 2023 23:02:46,2.9408,string,4096
196,Sun Jun 18 2023 23:03:34,51.8158,string,4096
203,Sun Jun 18 2023 23:05:04,55.3774,string,4096
210,Tue Jun 13 2023 23:17:12,153.2403,string,4096
217,Tue Jun 13 2023 23:18:13,105.5926,string,4096
224,Tue Jun 13 2023 23:19:17,102.1987,string,4096
231,Tue Jun 13 2023 23:20:19,153.0602,string,4096
245,Tue Jun 13 2023 23:27:43,106.7829,string,4096
252,Tue Jun 13 2023 23:28:46,2.6874,string,4096
259,Tue Jun 13 2023 23:29:51,1.1867,string,4096
266,Tue Jun 13 2023 23:30:52,121.7718,string,4096
273,Tue Jun 13 2023 23:31:58,1.4336,string,4096
280,Mon Jun 19 2023 00:02:00,102.0392,string,4096
287,Mon Jun 19 2023 00:02:46,104.18,string,4096
294,Mon Jun 19 2023 00:03:34,1.2201,string,4096
301,Mon Jun 19 2023 00:04:17,132.8714,string,4096
308,Mon Jun 19 2023 00:05:04,112.3662,string,4096
315,Tue Jun 13 2023 22:16:44,3.2572,string,4096
322,Tue Jun 13 2023 22:17:12,2.7067,string,4096
329,Tue Jun 13 2023 22:18:13,3.1985,string,4096
336,Tue Jun 13 2023 22:20:18,5.8863,string,4096
343,Tue Jun 13 2023 22:21:24,47.8359,string,4096
350,Tue Jun 13 2023 22:27:15,47.6775,string,4096
357,Tue Jun 13 2023 22:27:43,32.4952,string,4096
364,Tue Jun 13 2023 22:28:46,32.0618,string,4096
371,Tue Jun 13 2023 22:30:52,33.8507,string,4096
378,Tue Jun 13 2023 22:31:58,32.1499,string,4096
385,Sun Jun 18 2023 23:01:26,2.4147,string,4096
392,Sun Jun 18 2023 23:02:00,3.2072,string,4096
399,Sun Jun 18 2023 23:03:34,33.7995,string,4096
406,Sun Jun 18 2023 23:04:17,3.1498,string,4096
413,Sun Jun 18 2023 23:05:04,32.1488,string,4096
420,Tue Jun 13 2023 22:16:44,3.0423,string,4096
427,Tue Jun 13 2023 22:18:13,6.7028,string,4096
434,Tue Jun 13 2023 22:19:17,51.5116,string,4096
441,Tue Jun 13 2023 22:20:18,3.1202,string,4096
448,Tue Jun 13 2023 22:21:24,73.5869,string,4096
455,Tue Jun 13 2023 22:27:15,74.1597,string,4096
462,Tue Jun 13 2023 22:28:46,53.5818,string,4096
469,Tue Jun 13 2023 22:29:51,50.5242,string,4096
476,Tue Jun 13 2023 22:30:52,49.9338,string,4096
483,Tue Jun 13 2023 22:31:58,50.4857,string,4096
490,Sun Jun 18 2023 23:01:26,2.5296,string,4096
497,Sun Jun 18 2023 23:02:46,4.5046,string,4096
504,Sun Jun 18 2023 23:03:34,49.4113,string,4096
511,Sun Jun 18 2023 23:04:17,2.9912,string,4096
518,Sun Jun 18 2023 23:05:04,49.4831,string,4096
525,Tue Jun 13 2023 22:16:44,67.4373,string,4096
532,Tue Jun 13 2023 22:17:12,92.4734,string,4096
539,Tue Jun 13 2023 22:18:13,63.4053,string,4096
546,Tue Jun 13 2023 22:19:17,2.2839,string,4096
553,Tue Jun 13 2023 22:20:19,92.572,string,4096
560,Tue Jun 13 2023 22:27:15,5.3084,string,4096
567,Tue Jun 13 2023 22:27:43,2.7697,string,4096
574,Tue Jun 13 2023 22:28:46,63.3639,string,4096
581,Tue Jun 13 2023 22:29:51,62.8625,string,4096
588,Tue Jun 13 2023 22:30:52,64.5991,string,4096
595,Sun Jun 18 2023 23:01:26,95.475,string,4096
602,Sun Jun 18 2023 23:02:00,2.4586,string,4096
609,Sun Jun 18 2023 23:02:46,62.3297,string,4096
616,Sun Jun 18 2023 23:03:34,60.5646,string,4096
623,Sun Jun 18 2023 23:04:17,61.9857,string,4096
1,Tue Jun 13 2023 22:16:44,104.7411,string,16384
8,Tue Jun 13 2023 22:17:12,301.7495,string,16384
15,Tue Jun 13 2023 22:19:17,54.438,string,16384
22,Tue Jun 13 2023 22:20:19,313.4432,string,16384
29,Tue Jun 13 2023 22:21:24,52.388,string,16384
36,Tue Jun 13 2023 22:27:15,335.1209,string,16384
43,Tue Jun 13 2023 22:27:43,128.2156,string,16384
50,Tue Jun 13 2023 22:29:51,104.3841,string,16384
57,Tue Jun 13 2023 22:30:53,511.4074,string,16384
64,Tue Jun 13 2023 22:31:58,128.2074,string,16384
71,Sun Jun 18 2023 23:01:26,78.7853,string,16384
78,Sun Jun 18 2023 23:02:01,332.4315,string,16384
85,Sun Jun 18 2023 23:02:46,289.0584,string,16384
92,Sun Jun 18 2023 23:04:17,129.5555,string,16384
99,Sun Jun 18 2023 23:05:04,128.5804,string,16384
106,Tue Jun 13 2023 22:16:44,316.9589,string,16384
113,Tue Jun 13 2023 22:17:12,298.7251,string,16384
120,Tue Jun 13 2023 22:18:13,305.2991,string,16384
127,Tue Jun 13 2023 22:19:17,54.9089,string,16384
134,Tue Jun 13 2023 22:21:24,51.833,string,16384
141,Tue Jun 13 2023 22:27:15,316.0206,string,16384
148,Tue Jun 13 2023 22:27:43,183.5487,string,16384
155,Tue Jun 13 2023 22:28:46,315.534,string,16384
162,Tue Jun 13 2023 22:29:51,299.7701,string,16384
169,Tue Jun 13 2023 22:31:58,71.7129,string,16384
176,Sun Jun 18 2023 23:01:26,284.9433,string,16384
183,Sun Jun 18 2023 23:02:01,410.5633,string,16384
190,Sun Jun 18 2023 23:02:46,295.4426,string,16384
197,Sun Jun 18 2023 23:03:34,180.4001,string,16384
204,Sun Jun 18 2023 23:05:04,125.5373,string,16384
211,Tue Jun 13 2023 23:17:12,225.5074,string,16384
218,Tue Jun 13 2023 23:18:14,455.4329,string,16384
225,Tue Jun 13 2023 23:19:17,224.9717,string,16384
232,Tue Jun 13 2023 23:20:19,356.5293,string,16384
239,Tue Jun 13 2023 23:21:24,208.035,string,16384
246,Tue Jun 13 2023 23:27:44,356.6861,string,16384
253,Tue Jun 13 2023 23:28:46,455.1483,string,16384
260,Tue Jun 13 2023 23:29:51,201.0597,string,16384
267,Tue Jun 13 2023 23:30:53,456.088,string,16384
274,Tue Jun 13 2023 23:31:59,505.9363,string,16384
281,Mon Jun 19 2023 00:02:01,374.7007,string,16384
288,Mon Jun 19 2023 00:02:47,501.6217,string,16384
295,Mon Jun 19 2023 00:03:34,211.2253,string,16384
302,Mon Jun 19 2023 00:04:18,303.4548,string,16384
309,Mon Jun 19 2023 00:05:05,238.97,string,16384
316,Tue Jun 13 2023 22:16:44,62.5193,string,16384
323,Tue Jun 13 2023 22:17:12,60.773,string,16384
330,Tue Jun 13 2023 22:18:13,255.6534,string,16384
337,Tue Jun 13 2023 22:20:19,264.3174,string,16384
344,Tue Jun 13 2023 22:21:24,31.9578,string,16384
351,Tue Jun 13 2023 22:27:15,76.0169,string,16384
358,Tue Jun 13 2023 22:27:43,75.698,string,16384
365,Tue Jun 13 2023 22:28:46,292.3595,string,16384
372,Tue Jun 13 2023 22:30:52,262.1848,string,16384
379,Tue Jun 13 2023 22:31:58,75.7023,string,16384
386,Sun Jun 18 2023 23:01:26,31.697,string,16384
393,Sun Jun 18 2023 23:02:01,295.8284,string,16384
400,Sun Jun 18 2023 23:03:34,61.7875,string,16384
407,Sun Jun 18 2023 23:04:17,32.1805,string,16384
414,Sun Jun 18 2023 23:05:04,60.0696,string,16384
421,Tue Jun 13 2023 22:16:44,98.3056,string,16384
428,Tue Jun 13 2023 22:18:13,301.3452,string,16384
435,Tue Jun 13 2023 22:19:17,50.5198,string,16384
442,Tue Jun 13 2023 22:20:19,298.4386,string,16384
449,Tue Jun 13 2023 22:21:24,50.4255,string,16384
456,Tue Jun 13 2023 22:27:15,325.2933,string,16384
463,Tue Jun 13 2023 22:28:46,316.5448,string,16384
470,Tue Jun 13 2023 22:29:51,98.6085,string,16384
477,Tue Jun 13 2023 22:30:53,495.9036,string,16384
484,Tue Jun 13 2023 22:31:58,121.6109,string,16384
491,Sun Jun 18 2023 23:01:26,74.9807,string,16384
498,Sun Jun 18 2023 23:02:46,286.2154,string,16384
505,Sun Jun 18 2023 23:03:34,97.6368,string,16384
512,Sun Jun 18 2023 23:04:17,122.9379,string,16384
519,Sun Jun 18 2023 23:05:04,121.292,string,16384
526,Tue Jun 13 2023 22:16:44,265.3116,string,16384
533,Tue Jun 13 2023 22:17:12,382.9887,string,16384
540,Tue Jun 13 2023 22:18:14,328.85,string,16384
547,Tue Jun 13 2023 22:19:17,123.1357,string,16384
554,Tue Jun 13 2023 22:20:19,322.1762,string,16384
561,Tue Jun 13 2023 22:27:15,329.9963,string,16384
568,Tue Jun 13 2023 22:27:43,146.8824,string,16384
575,Tue Jun 13 2023 22:28:46,286.5491,string,16384
582,Tue Jun 13 2023 22:29:51,261.043,string,16384
589,Tue Jun 13 2023 22:30:53,537.0091,string,16384
596,Sun Jun 18 2023 23:01:26,375.1068,string,16384
603,Sun Jun 18 2023 23:02:01,439.5236,string,16384
610,Sun Jun 18 2023 23:02:47,372.0943,string,16384
617,Sun Jun 18 2023 23:03:34,196.7255,string,16384
624,Sun Jun 18 2023 23:04:17,140.632,string,16384
2,Tue Jun 13 2023 22:16:44,129.2115,string,65536
9,Tue Jun 13 2023 22:17:12,153.6435,string,65536
16,Tue Jun 13 2023 22:19:17,155.0947,string,65536
23,Tue Jun 13 2023 22:20:19,251.9544,string,65536
30,Tue Jun 13 2023 22:21:24,320.8878,string,65536
37,Tue Jun 13 2023 22:27:16,321.3493,string,65536
44,Tue Jun 13 2023 22:27:43,128.3753,string,65536
51,Tue Jun 13 2023 22:29:52,266.3643,string,65536
58,Tue Jun 13 2023 22:30:53,322.9231,string,65536
