index,Date,Retrieval Time (ms),Type,Size (Bytes)
0,Tue Jun 13 2023 20:18:20,7.5869,string,4096
7,Tue Jun 13 2023 20:31:06,7.4131,string,4096
14,Tue Jun 13 2023 20:54:27,6.1575,string,4096
21,Tue Jun 13 2023 20:58:59,4.9617,string,4096
28,Tue Jun 13 2023 21:12:29,56.6018,string,4096
42,Tue Jun 13 2023 21:15:23,81.35,string,4096
49,Tue Jun 13 2023 21:16:26,51.885,string,4096
56,Tue Jun 13 2023 21:17:34,2.1912,string,4096
63,Tue Jun 13 2023 21:23:28,3.893,string,4096
70,Tue Jun 13 2023 21:24:00,3.4856,string,4096
77,Tue Jun 13 2023 21:26:10,56.3073,string,4096
84,Tue Jun 13 2023 21:27:12,2.9898,string,4096
102,Sun Jun 18 2023 22:36:38,80.9359,string,4096
109,Sun Jun 18 2023 22:37:27,2.5946,string,4096
116,Sun Jun 18 2023 23:13:04,58.2282,string,4096
123,Sun Jun 18 2023 23:13:32,53.9078,string,4096
130,Sun Jun 18 2023 23:14:14,81.7154,string,4096
137,Sun Jun 18 2023 23:15:41,79.9592,string,4096
144,Sun Jun 18 2023 23:16:28,53.9907,string,4096
151,Tue Jun 13 2023 20:18:20,7.6158,string,4096
158,Tue Jun 13 2023 20:31:07,5.3682,string,4096
165,Tue Jun 13 2023 20:54:27,3.7504,string,4096
172,Tue Jun 13 2023 20:59:01,3.6674,string,4096
179,Tue Jun 13 2023 21:00:20,3.5343,string,4096
186,Tue Jun 13 2023 21:12:29,55.6523,string,4096
200,Tue Jun 13 2023 21:14:09,53.8427,string,4096
207,Tue Jun 13 2023 21:15:23,77.1335,string,4096
214,Tue Jun 13 2023 21:17:34,4.7023,string,4096
221,Tue Jun 13 2023 21:23:28,3.0637,string,4096
228,Tue Jun 13 2023 21:24:00,3.6373,string,4096
235,Tue Jun 13 2023 21:25:03,77.8223,string,4096
242,Tue Jun 13 2023 21:26:10,52.5277,string,4096
262,Sun Jun 18 2023 22:37:27,4.6804,string,4096
269,Sun Jun 18 2023 23:13:04,55.9837,string,4096
276,Sun Jun 18 2023 23:13:32,133.0277,string,4096
283,Sun Jun 18 2023 23:14:14,77.1283,string,4096
