index,Date,Retrieval Time (ms),Type,Size (Bytes)
14,Tue Jun 13 2023 21:36:52,249.9166,string,4096
126,Tue Jun 13 2023 21:36:52,256.1526,string,4096
161,Tue Jun 13 2023 21:47:30,251.5182,string,4096
224,Tue Jun 13 2023 22:36:52,332.3321,string,4096
287,Sun Jun 18 2023 23:44:21,190.5876,string,4096
301,Sun Jun 18 2023 23:45:52,373.3832,string,4096
434,Tue Jun 13 2023 21:36:52,246.4115,string,4096
546,Tue Jun 13 2023 21:36:52,266.5744,string,4096
581,Tue Jun 13 2023 21:47:30,266.121,string,4096
225,Tue Jun 13 2023 22:36:53,678.8415,string,16384
498,Sun Jun 18 2023 22:44:22,794.0807,string,16384
240,Tue Jun 13 2023 22:39:04,999.7962,string,65536
296,Sun Jun 18 2023 23:45:09,928.2182,string,65536
619,Sun Jun 18 2023 22:45:09,1121.4965,string,262144
214,Tue Jun 13 2023 22:34:42,2310.4053,string,1048576
284,Sun Jun 18 2023 23:43:40,2205.3795,string,1048576
298,Sun Jun 18 2023 23:45:12,2259.574,string,1048576
