index,Date,Retrieval Time (ms),Type,Size (Bytes)
63,Tue Jun 13 2023 22:10:49,251.9659,string,4096
84,Sun Jun 18 2023 22:53:34,287.9827,string,4096
168,Tue Jun 13 2023 22:10:49,253.1162,string,4096
189,Sun Jun 18 2023 22:53:34,292.2326,string,4096
217,Tue Jun 13 2023 22:57:06,326.1593,string,4096
252,Tue Jun 13 2023 23:07:41,351.8945,string,4096
273,Tue Jun 13 2023 23:10:49,364.7306,string,4096
287,Sun Jun 18 2023 23:53:34,375.9458,string,4096
378,Tue Jun 13 2023 22:10:49,247.2343,string,4096
483,Tue Jun 13 2023 22:10:49,261.0413,string,4096
497,Sun Jun 18 2023 22:53:34,288.4896,string,4096
539,Tue Jun 13 2023 21:57:06,280.0318,string,4096
574,Tue Jun 13 2023 22:07:41,280.5853,string,4096
609,Sun Jun 18 2023 22:53:34,294.1136,string,4096
72,Sun Jun 18 2023 22:52:15,1194.7525,string,65536
213,Tue Jun 13 2023 22:56:02,1484.604,string,262144
241,Tue Jun 13 2023 23:00:14,945.6852,string,262144
283,Sun Jun 18 2023 23:52:51,939.573,string,262144
277,Tue Jun 13 2023 23:10:53,2595.8845,string,1048576
215,Tue Jun 13 2023 22:56:11,6226.995,string,4194304
313,Sun Jun 18 2023 23:55:58,6286.3724,string,4194304
