index,Date,Retrieval Time (ms),Type,Size (Bytes)
238,Tue Jun 13 2023 23:21:24,190.3408,string,4096
72,Sun Jun 18 2023 23:01:26,78.9822,string,65536
149,Tue Jun 13 2023 22:27:44,610.2766,string,65536
163,Tue Jun 13 2023 22:29:52,562.075,string,65536
177,Sun Jun 18 2023 23:01:26,77.1899,string,65536
240,Tue Jun 13 2023 23:21:25,857.3958,string,65536
261,Tue Jun 13 2023 23:29:52,1034.4646,string,65536
303,Mon Jun 19 2023 00:04:18,857.7859,string,65536
317,Tue Jun 13 2023 22:16:44,73.8924,string,65536
324,Tue Jun 13 2023 22:17:12,88.3231,string,65536
338,Tue Jun 13 2023 22:20:19,47.4581,string,65536
359,Tue Jun 13 2023 22:27:43,75.1339,string,65536
380,Tue Jun 13 2023 22:31:58,77.1119,string,65536
387,Sun Jun 18 2023 23:01:26,32.8838,string,65536
408,Sun Jun 18 2023 23:04:18,588.6349,string,65536
471,Tue Jun 13 2023 22:29:52,584.9792,string,65536
492,Sun Jun 18 2023 23:01:26,73.7198,string,65536
583,Tue Jun 13 2023 22:29:52,598.6175,string,65536
45,Tue Jun 13 2023 22:27:44,978.3732,string,262144
206,Sun Jun 18 2023 23:05:06,1021.5605,string,262144
213,Tue Jun 13 2023 23:17:14,1214.8057,string,262144
269,Tue Jun 13 2023 23:30:54,1134.2662,string,262144
297,Mon Jun 19 2023 00:03:35,1055.9642,string,262144
311,Mon Jun 19 2023 00:05:06,1234.4676,string,262144
619,Sun Jun 18 2023 23:03:36,1027.068,string,262144
242,Tue Jun 13 2023 23:21:29,2601.9482,string,1048576
291,Mon Jun 19 2023 00:02:51,2673.5356,string,1048576
215,Tue Jun 13 2023 23:17:22,6363.121,string,4194304
243,Tue Jun 13 2023 23:21:34,5583.2466,string,4194304
292,Mon Jun 19 2023 00:02:56,5632.7601,string,4194304
