index,Date,Retrieval Time (ms),Type,Size (Bytes)
35,Tue Jun 13 2023 21:13:05,420.303,string,4096
91,Tue Jun 13 2023 21:28:16,253.6849,string,4096
193,Tue Jun 13 2023 21:13:05,256.1896,string,4096
249,Tue Jun 13 2023 21:28:16,252.0293,string,4096
290,Sun Jun 18 2023 23:14:57,291.8595,string,4096
325,Tue Jun 13 2023 22:13:05,344.4337,string,4096
388,Tue Jun 13 2023 22:28:16,328.8928,string,4096
489,Tue Jun 13 2023 21:13:05,398.3232,string,4096
545,Tue Jun 13 2023 21:28:16,228.7956,string,4096
690,Tue Jun 13 2023 21:28:16,254.1751,string,4096
794,Tue Jun 13 2023 21:13:05,352.9518,string,4096
891,Sun Jun 18 2023 23:14:57,299.0391,string,4096
434,Mon Jun 19 2023 00:15:42,731.9264,string,16384
341,Tue Jun 13 2023 22:15:24,774.1933,string,65536
362,Tue Jun 13 2023 22:24:01,991.3763,string,65536
400,Sun Jun 18 2023 23:36:39,795.5343,string,65536
435,Mon Jun 19 2023 00:15:42,754.4954,string,65536
442,Mon Jun 19 2023 00:16:29,941.9439,string,65536
865,Sun Jun 18 2023 22:36:39,1068.3056,string,65536
307,Tue Jun 13 2023 21:29:03,1133.7142,string,262144
734,Sun Jun 18 2023 23:14:58,1124.159,string,262144
308,Tue Jun 13 2023 21:29:05,2420.485,string,1048576
416,Mon Jun 19 2023 00:13:36,2420.9931,string,1048576
444,Mon Jun 19 2023 00:16:33,2496.7904,string,1048576
12,Tue Jun 13 2023 20:31:06,57.6745,string,4194304
26,Tue Jun 13 2023 20:58:59,58.1608,string,4194304
163,Tue Jun 13 2023 20:31:07,111.9721,string,4194304
177,Tue Jun 13 2023 20:59:01,100.1343,string,4194304
184,Tue Jun 13 2023 21:00:20,116.8794,string,4194304
316,Tue Jun 13 2023 21:58:53,39.5417,string,4194304
396,Sun Jun 18 2023 23:36:03,7884.5766,string,4194304
459,Tue Jun 13 2023 20:31:09,34.0462,string,4194304
473,Tue Jun 13 2023 20:59:03,45.4088,string,4194304
480,Tue Jun 13 2023 21:00:06,37.1328,string,4194304
625,Tue Jun 13 2023 21:00:19,79.8601,string,4194304
764,Tue Jun 13 2023 20:31:12,42.5802,string,4194304
778,Tue Jun 13 2023 20:59:06,56.9743,string,4194304
785,Tue Jun 13 2023 21:00:53,52.1862,string,4194304
411,Sun Jun 18 2023 23:37:53,18851.8521,string,16777216
439,Mon Jun 19 2023 00:16:05,15630.0148,string,16777216
446,Mon Jun 19 2023 00:16:52,14261.9402,string,16777216
