index,Retrieval Time (ms),Size (Bytes)
0,52.2083,4096
7,52.4154,4096
14,52.4714,4096
28,53.3802,4096
49,53.812,4096
63,53.3086,4096
77,52.4242,4096
91,53.1249,4096
98,55.2444,4096
1,319.6969,16384
8,52.551,16384
15,103.2403,16384
22,551.2819,16384
29,186.7183,16384
36,151.9909,16384
43,101.3222,16384
50,306.7921,16384
57,252.9963,16384
64,101.1727,16384
71,103.2704,16384
78,340.3505,16384
85,335.6618,16384
92,100.5257,16384
99,294.7654,16384
2,526.2116,65536
9,297.6602,65536
16,306.3023,65536
23,572.288,65536
30,530.7355,65536
37,257.2222,65536
44,304.4723,65536
51,330.542,65536
58,258.5616,65536
65,490.6548,65536
72,333.3107,65536
79,382.7472,65536
86,280.8781,65536
93,358.4636,65536
100,591.7628,65536
3,292.1634,262144
10,412.2619,262144
17,598.1829,262144
24,570.322,262144
31,372.151,262144
38,519.4531,262144
45,304.375,262144
52,452.9112,262144
59,617.4018,262144
66,265.0617,262144
73,468.1668,262144
80,483.2647,262144
87,550.0097,262144
94,788.8915,262144
101,345.2572,262144
4,963.52,1048576
11,917.3386,1048576
18,1576.55,1048576
25,1402.876,1048576
32,1124.525,1048576
39,1009.9982,1048576
46,1136.3476,1048576
53,1156.6323,1048576
60,1029.9501,1048576
67,1499.7947,1048576
74,1027.0496,1048576
81,951.3154,1048576
88,1748.0071,1048576
95,1739.7594,1048576
102,1394.2635,1048576
5,3213.1085,4194304
12,2853.5681,4194304
19,5078.655,4194304
26,3781.7441,4194304
33,2741.4323,4194304
40,2816.3449,4194304
47,3364.1137,4194304
54,3202.4404,4194304
61,3408.3354,4194304
68,4257.0532,4194304
75,2848.8666,4194304
82,3280.3272,4194304
89,4273.8996,4194304
96,4335.9601,4194304
103,3498.0196,4194304
6,9545.774,16777216
13,8605.5759,16777216
20,9807.3169,16777216
27,10147.7101,16777216
34,9405.1807,16777216
41,9272.8446,16777216
48,10472.412,16777216
76,9636.8985,16777216
