index,Retrieval Time (ms),Size (Bytes)
0,53.2328,4096
7,52.454,4096
21,53.5995,4096
28,53.137,4096
35,3.4927,4096
42,3.067,4096
49,56.4082,4096
56,3.1387,4096
63,54.1432,4096
70,3.0463,4096
77,52.5372,4096
84,78.8444,4096
91,4.3952,4096
98,54.4513,4096
1,104.1397,16384
8,52.7246,16384
15,492.0456,16384
22,258.1626,16384
29,152.1147,16384
36,154.1858,16384
43,104.2042,16384
50,259.8632,16384
57,103.962,16384
64,104.2254,16384
71,104.4607,16384
78,338.5171,16384
92,104.9576,16384
99,276.478,16384
2,507.3697,65536
9,337.329,65536
16,623.763,65536
23,250.6401,65536
30,265.7347,65536
37,269.9845,65536
44,309.2738,65536
51,267.697,65536
58,612.7533,65536
65,579.1015,65536
72,339.0869,65536
79,357.0928,65536
86,276.4731,65536
93,287.5864,65536
100,554.1994,65536
3,264.331,262144
10,277.7846,262144
17,313.5816,262144
24,440.4984,262144
31,266.8456,262144
38,542.6248,262144
45,303.162,262144
52,530.6691,262144
59,394.1585,262144
66,267.7275,262144
73,824.6234,262144
80,485.0714,262144
87,617.0542,262144
94,467.4419,262144
101,338.5613,262144
4,962.4686,1048576
11,910.6954,1048576
18,944.9698,1048576
25,1021.3267,1048576
32,922.1944,1048576
39,1007.523,1048576
46,988.4675,1048576
53,1025.3889,1048576
60,1474.3386,1048576
67,922.6628,1048576
74,1443.081,1048576
81,942.5758,1048576
88,1400.3825,1048576
95,1511.9625,1048576
102,1357.4858,1048576
5,3580.4049,4194304
12,2688.1607,4194304
19,4160.8157,4194304
26,3757.8699,4194304
33,2510.0165,4194304
40,2840.6519,4194304
47,2782.7237,4194304
54,3615.6251,4194304
61,4229.903,4194304
68,3243.9852,4194304
75,3954.3017,4194304
82,2780.5221,4194304
89,3979.7073,4194304
96,3945.5111,4194304
103,3256.8975,4194304
6,8017.7847,16777216
13,8174.5094,16777216
20,10857.3012,16777216
27,7886.3597,16777216
34,7244.5923,16777216
41,8212.491,16777216
48,9355.7787,16777216
55,10139.7425,16777216
62,9777.1674,16777216
76,6457.4771,16777216
