index,Retrieval Time (ms),Size (Bytes)
0,65.6403,4096
7,62.8052,4096
14,2.5142,4096
28,62.2614,4096
35,64.469,4096
42,60.8632,4096
49,62.754,4096
63,62.9179,4096
70,65.5948,4096
77,2.5546,4096
84,2.134,4096
91,5.5512,4096
98,62.2648,4096
1,266.9853,16384
8,180.8455,16384
15,123.5444,16384
22,575.058,16384
29,321.9466,16384
36,62.0371,16384
43,120.1005,16384
50,326.8404,16384
57,340.3375,16384
64,124.7909,16384
71,178.4137,16384
78,372.5976,16384
85,291.4446,16384
92,119.9925,16384
99,60.9282,16384
2,529.5313,65536
9,335.0743,65536
16,555.4306,65536
23,630.5207,65536
30,327.6374,65536
37,328.4684,65536
44,320.716,65536
51,333.5359,65536
58,334.9178,65536
65,637.0667,65536
72,600.9419,65536
79,286.3678,65536
86,352.9107,65536
93,376.045,65536
100,350.3874,65536
3,476.8372,262144
10,466.7057,262144
17,621.8109,262144
24,524.1226,262144
31,446.2893,262144
38,668.414,262144
45,321.2589,262144
52,428.6815,262144
59,665.2829,262144
66,597.7326,262144
73,677.0353,262144
80,897.2101,262144
87,578.4061,262144
101,425.0505,262144
4,1244.2572,1048576
11,1104.357,1048576
18,1567.2334,1048576
25,1354.7734,1048576
32,1352.3554,1048576
39,1639.0817,1048576
46,1006.5495,1048576
53,1111.4534,1048576
60,994.0943,1048576
67,1606.5103,1048576
74,1692.7392,1048576
81,1784.7311,1048576
88,1345.1857,1048576
95,1842.2065,1048576
102,1271.1813,1048576
5,3408.2885,4194304
12,3516.1271,4194304
19,4940.9248,4194304
26,4451.6503,4194304
33,3016.0366,4194304
40,3669.1147,4194304
47,2939.2939,4194304
54,3115.0883,4194304
61,3429.6052,4194304
68,4074.9806,4194304
75,4693.6614,4194304
82,4494.6279,4194304
89,3536.8862,4194304
96,4710.7467,4194304
103,3892.5694,4194304
6,9939.7893,16777216
41,9764.1387,16777216
48,8911.8602,16777216
55,7841.3027,16777216
76,9225.6903,16777216
