index,Retrieval Time (ms),Size (Bytes)
0,31.6258,4096
7,61.3082,4096
14,8.7491,4096
21,35.9588,4096
28,32.0108,4096
35,3.6867,4096
42,31.9075,4096
49,3.177,4096
56,5.758,4096
70,31.7034,4096
77,2.9004,4096
84,4.5229,4096
91,2.7404,4096
98,32.0242,4096
1,59.739,16384
8,61.0036,16384
15,78.026,16384
22,479.2272,16384
29,76.4224,16384
36,61.9301,16384
43,119.1597,16384
50,75.7048,16384
57,228.0265,16384
64,268.4518,16384
71,32.8718,16384
78,294.0055,16384
85,483.3355,16384
92,30.2485,16384
99,59.5733,16384
2,257.8711,65536
16,237.0528,65536
30,266.1458,65536
37,239.5105,65536
44,268.9002,65536
51,235.6071,65536
58,226.6926,65536
65,278.6387,65536
86,270.0646,65536
93,266.797,65536
100,301.5843,65536
3,378.8853,262144
10,594.6445,262144
17,391.1742,262144
24,273.9293,262144
31,385.7013,262144
38,476.0003,262144
45,270.906,262144
52,364.0082,262144
59,264.2753,262144
66,365.3093,262144
73,390.5754,262144
80,552.865,262144
87,299.7995,262144
94,581.6683,262144
101,272.7579,262144
4,769.2853,1048576
11,1033.6908,1048576
18,894.9394,1048576
25,961.7985,1048576
32,718.3146,1048576
39,918.7518,1048576
46,785.1006,1048576
53,767.4119,1048576
60,1077.1276,1048576
67,1035.9266,1048576
74,1379.6243,1048576
81,1155.4477,1048576
88,1428.4946,1048576
95,1087.7016,1048576
102,863.0227,1048576
5,2686.9642,4194304
12,2655.6803,4194304
19,2722.2775,4194304
26,2385.0049,4194304
33,2628.5321,4194304
40,2935.5304,4194304
47,2464.7412,4194304
54,2540.2883,4194304
61,2462.1835,4194304
68,2812.498,4194304
75,3687.2889,4194304
82,3242.7548,4194304
89,3857.1365,4194304
96,4002.0667,4194304
103,3374.5349,4194304
6,8035.5122,16777216
27,7831.4939,16777216
41,8063.6517,16777216
