index,Retrieval Time (ms),Size (Bytes)
0,50.1519,4096
7,5.71,4096
14,2.4935,4096
21,50.1639,4096
28,49.395,4096
35,3.0701,4096
42,5.4815,4096
49,56.2208,4096
56,2.823,4096
63,261.0413,4096
70,50.2158,4096
77,288.4896,4096
84,50.4083,4096
91,2.4711,4096
98,49.2825,4096
1,98.2075,16384
8,146.6035,16384
15,306.144,16384
22,499.5144,16384
29,121.2106,16384
36,98.8034,16384
43,121.6222,16384
50,98.4265,16384
57,246.3814,16384
64,308.036,16384
71,57.3273,16384
78,98.4877,16384
85,329.7481,16384
92,122.2451,16384
99,96.4538,16384
2,512.4398,65536
9,254.6206,65536
16,264.1335,65536
23,295.6103,65536
30,302.1384,65536
37,264.4065,65536
44,256.8257,65536
51,305.7113,65536
58,252.5782,65536
65,312.6294,65536
72,572.3953,65536
79,568.8652,65536
86,464.5291,65536
93,289.2259,65536
100,335.4958,65536
3,434.1962,262144
10,418.1142,262144
17,318.1132,262144
24,303.9868,262144
31,435.2584,262144
38,647.6715,262144
45,413.1033,262144
52,265.4647,262144
59,302.9238,262144
66,391.4185,262144
73,432.1067,262144
80,464.2571,262144
87,405.063,262144
94,340.6385,262144
101,293.7379,262144
4,898.84,1048576
11,856.0712,1048576
18,959.6511,1048576
25,966.7984,1048576
32,919.3655,1048576
39,1264.3193,1048576
46,1008.1603,1048576
53,985.3615,1048576
60,1525.3534,1048576
67,969.1781,1048576
74,1247.9317,1048576
81,1591.2728,1048576
88,1389.6201,1048576
95,1140.1799,1048576
102,1034.1723,1048576
5,2986.7008,4194304
12,2508.7656,4194304
19,2698.1726,4194304
26,2839.2997,4194304
33,3102.8683,4194304
40,4375.4655,4194304
47,2862.6542,4194304
54,2774.6582,4194304
61,3041.1337,4194304
68,2733.0219,4194304
75,3201.3505,4194304
82,3483.4981,4194304
89,4036.1291,4194304
96,3842.7105,4194304
103,3666.1976,4194304
6,5930.7686,16777216
20,9214.4425,16777216
27,8691.7517,16777216
41,7543.4186,16777216
76,6857.0435,16777216
