index,Retrieval Time (ms),Size (Bytes)
0,3.2572,4096
7,2.7067,4096
14,3.1985,4096
21,5.8863,4096
28,47.8359,4096
35,47.6775,4096
42,32.4952,4096
49,32.0618,4096
56,33.8507,4096
63,32.1499,4096
70,2.4147,4096
77,3.2072,4096
84,33.7995,4096
91,3.1498,4096
98,32.1488,4096
1,62.5193,16384
8,60.773,16384
15,255.6534,16384
22,264.3174,16384
29,31.9578,16384
36,76.0169,16384
43,75.698,16384
50,292.3595,16384
57,262.1848,16384
64,75.7023,16384
71,31.697,16384
78,295.8284,16384
85,61.7875,16384
92,32.1805,16384
99,60.0696,16384
2,73.8924,65536
9,88.3231,65536
16,254.0091,65536
23,47.4581,65536
30,299.7608,65536
37,460.7331,65536
44,75.1339,65536
51,270.951,65536
58,271.104,65536
65,77.1119,65536
72,32.8838,65536
79,289.3878,65536
86,288.7028,65536
93,588.6349,65536
100,267.9562,65536
3,394.585,262144
10,348.4473,262144
17,249.1235,262144
24,345.3852,262144
31,377.34,262144
38,368.3118,262144
45,510.4163,262144
52,412.3151,262144
59,373.7509,262144
66,524.8424,262144
73,408.0497,262144
80,295.8613,262144
87,524.9488,262144
94,301.8246,262144
101,567.2939,262144
4,793.2071,1048576
11,759.0274,1048576
18,841.3838,1048576
25,880.4357,1048576
32,1202.1746,1048576
39,1055.5957,1048576
46,896.4881,1048576
53,831.1508,1048576
60,798.5103,1048576
67,1209.5343,1048576
74,1160.9511,1048576
81,859.5478,1048576
88,1327.5097,1048576
95,1170.1501,1048576
102,1317.8892,1048576
5,2389.6368,4194304
12,2439.6576,4194304
19,2686.8193,4194304
26,2826.5897,4194304
33,3012.2717,4194304
40,3418.1781,4194304
47,2679.8133,4194304
54,2497.5165,4194304
61,2498.9146,4194304
68,2803.1656,4194304
75,2883.4933,4194304
82,2677.992,4194304
89,3096.315,4194304
103,2924.0272,4194304
6,6134.0792,16777216
20,6160.2747,16777216
76,5822.6906,16777216
83,5960.0825,16777216
