index,Retrieval Time (ms),Size (Bytes)
0,3.0423,4096
7,6.7028,4096
14,51.5116,4096
21,3.1202,4096
28,73.5869,4096
35,74.1597,4096
42,53.5818,4096
49,50.5242,4096
56,49.9338,4096
63,50.4857,4096
70,2.5296,4096
77,4.5046,4096
84,49.4113,4096
91,2.9912,4096
98,49.4831,4096
1,98.3056,16384
8,301.3452,16384
15,50.5198,16384
22,298.4386,16384
29,50.4255,16384
36,325.2933,16384
43,316.5448,16384
50,98.6085,16384
57,495.9036,16384
64,121.6109,16384
71,74.9807,16384
78,286.2154,16384
85,97.6368,16384
92,122.9379,16384
99,121.292,16384
2,120.4061,65536
9,302.0842,65536
16,122.5347,65536
23,266.3949,65536
30,332.2292,65536
37,306.7046,65536
44,319.8751,65536
58,320.0099,65536
65,121.8882,65536
72,73.7198,65536
79,326.1196,65536
86,330.015,65536
93,333.7093,65536
100,293.7979,65536
3,654.4368,262144
10,540.841,262144
17,305.0773,262144
24,399.3024,262144
31,616.1362,262144
38,370.1649,262144
45,578.3327,262144
52,372.755,262144
59,422.9373,262144
66,581.4657,262144
73,652.9915,262144
80,419.224,262144
87,757.6886,262144
94,353.5443,262144
101,681.6262,262144
4,1387.7591,1048576
11,1214.9004,1048576
18,982.2899,1048576
25,1025.9233,1048576
32,1464.8199,1048576
39,876.4689,1048576
46,1767.2834,1048576
53,1373.0344,1048576
60,1154.0666,1048576
67,1050.7835,1048576
74,1979.029,1048576
81,1474.8185,1048576
88,1375.1582,1048576
95,1023.992,1048576
102,1707.975,1048576
5,3913.788,4194304
12,2620.7146,4194304
19,2589.6742,4194304
26,3077.0478,4194304
33,3357.0779,4194304
40,2913.8774,4194304
47,3695.2738,4194304
54,3423.6059,4194304
61,3099.6775,4194304
68,2611.3555,4194304
75,4895.9184,4194304
82,4030.2621,4194304
89,3590.0572,4194304
96,3625.3176,4194304
103,4257.963,4194304
6,7070.9301,16777216
13,8391.3217,16777216
41,6952.4408,16777216
76,8914.5451,16777216
