index,Retrieval Time (ms),Size (Bytes)
0,3.0936,4096
7,2.8498,4096
14,56.7317,4096
21,3.0781,4096
28,79.0474,4096
35,78.557,4096
42,52.2825,4096
49,54.7268,4096
56,53.8936,4096
63,52.4218,4096
70,2.8914,4096
77,57.5981,4096
84,1.982,4096
91,4.2576,4096
98,52.9451,4096
1,104.7411,16384
8,301.7495,16384
15,54.438,16384
22,313.4432,16384
29,52.388,16384
36,335.1209,16384
43,128.2156,16384
50,104.3841,16384
57,511.4074,16384
64,128.2074,16384
71,78.7853,16384
78,332.4315,16384
85,289.0584,16384
92,129.5555,16384
99,128.5804,16384
2,129.2115,65536
9,153.6435,65536
16,155.0947,65536
23,251.9544,65536
30,320.8878,65536
37,321.3493,65536
44,128.3753,65536
51,266.3643,65536
58,322.9231,65536
65,129.3596,65536
72,78.9822,65536
79,333.6873,65536
86,352.9982,65536
93,338.8725,65536
100,286.6984,65536
3,641.6093,262144
10,377.919,262144
17,312.4781,262144
24,405.9644,262144
31,582.1387,262144
38,354.7773,262144
52,562.8428,262144
59,426.9709,262144
66,438.1531,262144
73,777.138,262144
80,463.0734,262144
87,446.6983,262144
94,336.1651,262144
101,349.8913,262144
4,1160.1843,1048576
11,856.882,1048576
18,931.979,1048576
25,1031.9033,1048576
32,1483.8793,1048576
39,1034.7187,1048576
53,1306.0251,1048576
60,1147.8767,1048576
67,1056.8086,1048576
74,1693.2372,1048576
81,1034.3218,1048576
88,1609.9624,1048576
95,995.831,1048576
102,1340.2924,1048576
5,3647.5724,4194304
12,3214.3035,4194304
19,2604.295,4194304
26,3153.1716,4194304
33,3800.4762,4194304
40,3717.1264,4194304
47,4009.7237,4194304
54,3127.4295,4194304
61,3220.9009,4194304
68,2681.0553,4194304
75,4274.4654,4194304
82,3393.442,4194304
89,3412.3575,4194304
96,3474.2302,4194304
103,3322.1402,4194304
6,7197.9539,16777216
41,6857.5275,16777216
76,8504.2456,16777216
