index,Retrieval Time (ms),Size (Bytes)
0,6.3086,4096
7,7.4505,4096
14,6.1552,4096
21,5.4395,4096
28,5.408,4096
35,35.9139,4096
49,33.3532,4096
56,34.5087,4096
63,3.1127,4096
70,3.6319,4096
77,4.3929,4096
84,47.5832,4096
91,6.3343,4096
110,2.8578,4096
117,2.4634,4096
124,36.2296,4096
131,32.4678,4096
138,40.9833,4096
145,32.1596,4096
152,3.2827,4096
1,239.0163,16384
8,6.0654,16384
15,61.0559,16384
22,3.5999,16384
29,3.3751,16384
36,75.0362,16384
43,32.23,16384
50,74.3464,16384
57,257.6732,16384
64,60.5516,16384
71,76.8028,16384
78,61.5001,16384
85,90.1787,16384
92,61.6854,16384
99,257.5557,16384
111,59.3931,16384
118,36.54,16384
125,263.1026,16384
139,60.3188,16384
146,287.4423,16384
153,32.0405,16384
2,77.1813,65536
9,6.4352,65536
16,47.3157,65536
23,3.7247,65536
30,3.7302,65536
37,238.8979,65536
44,269.4957,65536
51,361.5409,65536
58,261.3833,65536
65,482.4475,65536
72,345.0247,65536
79,539.9801,65536
86,267.2251,65536
93,267.3845,65536
100,265.4271,65536
112,512.715,65536
119,44.8769,65536
126,302.6367,65536
133,264.4056,65536
140,32.4776,65536
147,299.3348,65536
154,291.7807,65536
3,276.7884,262144
10,7.0676,262144
17,361.7032,262144
24,5.0134,262144
31,7.9936,262144
38,577.748,262144
45,733.957,262144
52,280.2775,262144
59,261.4446,262144
66,390.7191,262144
73,281.1593,262144
80,365.1212,262144
87,371.8098,262144
94,274.5219,262144
101,230.8232,262144
113,419.3393,262144
120,776.6824,262144
127,716.0547,262144
134,266.8163,262144
141,539.0667,262144
148,418.2437,262144
155,544.2936,262144
4,763.9871,1048576
18,1069.1053,1048576
39,991.1655,1048576
46,1520.3753,1048576
53,675.3184,1048576
60,760.5957,1048576
67,803.4769,1048576
74,778.6642,1048576
81,932.4988,1048576
88,819.5934,1048576
95,768.0905,1048576
102,748.8485,1048576
114,1356.9915,1048576
121,1069.5229,1048576
128,949.6362,1048576
135,991.099,1048576
142,1517.9931,1048576
149,1230.747,1048576
156,818.3056,1048576
5,2685.51,4194304
19,4002.7281,4194304
40,2513.1185,4194304
47,3264.6521,4194304
54,2758.6055,4194304
61,2585.3338,4194304
68,2431.0923,4194304
75,2593.5321,4194304
82,2952.5556,4194304
89,3093.7211,4194304
96,2944.2973,4194304
103,2392.8287,4194304
106,3969.3921,4194304
108,4112.9412,4194304
115,3683.1571,4194304
122,4680.0254,4194304
129,3368.7424,4194304
136,2598.1702,4194304
143,3155.3053,4194304
150,3774.0289,4194304
157,3753.5764,4194304
6,10991.225,16777216
13,9803.9386,16777216
20,9752.9082,16777216
27,10895.2057,16777216
34,8849.3804,16777216
41,9497.25,16777216
48,10387.852,16777216
69,10436.153,16777216
76,9973.7956,16777216
107,9047.4931,16777216
