index,Retrieval Time (ms),Size (Bytes)
0,7.6158,4096
7,5.3682,4096
14,3.7504,4096
21,3.6674,4096
28,3.5343,4096
35,55.6523,4096
42,256.1896,4096
49,53.8427,4096
56,77.1335,4096
63,4.7023,4096
70,3.0637,4096
77,3.6373,4096
84,77.8223,4096
91,52.5277,4096
98,252.0293,4096
111,4.6804,4096
118,55.9837,4096
125,133.0277,4096
132,77.1283,4096
139,291.8595,4096
146,54.9771,4096
1,257.3696,16384
8,4.3644,16384
15,101.5888,16384
22,2.6593,16384
29,3.2006,16384
36,126.9009,16384
43,53.1024,16384
50,299.7659,16384
57,332.4572,16384
64,180.7045,16384
71,523.9034,16384
78,101.6927,16384
85,150.9375,16384
92,332.665,16384
99,295.8167,16384
112,77.7846,16384
119,288.6804,16384
126,563.9807,16384
133,337.3004,16384
140,421.3993,16384
147,127.5639,16384
2,129.6083,65536
9,3.9629,65536
16,75.9332,65536
23,3.7922,65536
30,3.321,65536
37,252.3899,65536
44,320.0556,65536
51,257.4941,65536
58,300.0977,65536
65,506.808,65536
72,562.6121,65536
79,509.597,65536
86,321.98,65536
93,263.3136,65536
100,313.3002,65536
113,282.4349,65536
120,432.1229,65536
127,282.0379,65536
134,596.521,65536
141,206.9279,65536
148,334.5817,65536
3,806.4304,262144
10,6.5839,262144
17,400.638,262144
24,4.8999,262144
31,4.6931,262144
38,635.4458,262144
45,826.6166,262144
52,637.4,262144
59,309.1037,262144
66,626.4836,262144
73,583.6381,262144
80,513.729,262144
87,440.449,262144
94,422.6391,262144
101,373.1962,262144
114,557.7553,262144
121,481.1265,262144
128,335.6264,262144
135,471.2391,262144
142,806.3493,262144
149,917.3436,262144
4,1191.2879,1048576
11,13.4828,1048576
18,1053.9291,1048576
25,12.0057,1048576
32,10.5623,1048576
39,1357.2077,1048576
46,1875.5519,1048576
53,921.0588,1048576
60,949.6891,1048576
67,901.5803,1048576
74,1220.7326,1048576
81,1126.4165,1048576
88,1009.2912,1048576
95,893.9015,1048576
102,894.3393,1048576
105,1596.1049,1048576
115,1041.6459,1048576
122,1631.303,1048576
129,1213.9404,1048576
136,1019.5988,1048576
143,1500.6129,1048576
150,1655.5489,1048576
5,3828.7535,4194304
12,111.9721,4194304
19,3882.3841,4194304
26,100.1343,4194304
33,116.8794,4194304
40,3256.3427,4194304
47,4476.1283,4194304
54,3115.7528,4194304
61,3178.7258,4194304
68,2806.7919,4194304
75,4089.9381,4194304
82,4362.0445,4194304
89,3020.3419,4194304
96,3155.384,4194304
103,2780.314,4194304
106,4181.2676,4194304
109,4623.1926,4194304
116,4582.7396,4194304
123,3880.6175,4194304
130,2878.6187,4194304
137,2858.6346,4194304
144,4182.2524,4194304
151,4544.0289,4194304
6,8979.531,16777216
13,10843.2782,16777216
20,9034.7063,16777216
27,9088.6436,16777216
34,11170.5436,16777216
41,9389.5859,16777216
48,10383.5494,16777216
69,9220.0829,16777216
76,10180.9802,16777216
107,8655.9256,16777216
124,7121.8476,16777216
