index,Retrieval Time (ms),Size (Bytes)
0,113.6172,4096
7,8.9455,4096
14,105.617,4096
21,344.4337,4096
28,104.3929,4096
35,159.8195,4096
42,2.9188,4096
49,106.3496,4096
56,109.8874,4096
63,154.4832,4096
70,99.5031,4096
77,104.8129,4096
84,328.8928,4096
94,191.8223,4096
101,154.3271,4096
108,4.7839,4096
115,190.2564,4096
122,3.2555,4096
129,1.4694,4096
136,102.9368,4096
1,263.4431,16384
8,6.2122,16384
15,434.7506,16384
22,212.4282,16384
29,521.3725,16384
36,315.4342,16384
43,432.5134,16384
50,254.646,16384
57,217.9869,16384
64,311.0845,16384
71,674.2568,16384
78,157.2743,16384
85,444.3533,16384
95,202.777,16384
102,508.4013,16384
109,364.8066,16384
116,500.0149,16384
123,373.9963,16384
130,731.9264,16384
137,291.1173,16384
2,438.5867,65536
9,6.1449,65536
16,333.9768,65536
23,424.0149,65536
30,677.0703,65536
37,774.1933,65536
44,336.8485,65536
51,648.3769,65536
58,991.3763,65536
65,463.579,65536
72,665.0151,65536
79,441.7543,65536
86,432.2929,65536
96,795.5343,65536
103,288.4453,65536
110,563.7743,65536
117,368.9876,65536
124,271.709,65536
131,754.4954,65536
138,941.9439,65536
3,1133.7142,262144
10,10.0538,262144
17,339.4435,262144
24,816.5724,262144
31,676.9053,262144
38,485.9215,262144
45,452.5366,262144
52,1023.4569,262144
59,755.3716,262144
66,621.0193,262144
73,521.2444,262144
80,922.2809,262144
87,838.3221,262144
97,665.5083,262144
104,667.7875,262144
111,650.7289,262144
118,751.5614,262144
125,1024.567,262144
132,859.5181,262144
139,743.1403,262144
4,2420.485,1048576
11,16.359,1048576
18,1027.2262,1048576
25,1383.4942,1048576
32,2327.1285,1048576
39,2057.962,1048576
46,1854.6772,1048576
53,2067.685,1048576
60,1883.9163,1048576
67,2077.7051,1048576
74,1809.769,1048576
81,1439.432,1048576
88,1463.8287,1048576
98,1929.7652,1048576
105,1365.1753,1048576
112,2420.9931,1048576
119,1288.9728,1048576
126,1862.8297,1048576
133,1718.433,1048576
140,2496.7904,1048576
5,5490.4973,4194304
12,39.5417,4194304
19,3682.207,4194304
26,3878.9434,4194304
33,5684.0719,4194304
40,4993.1743,4194304
47,4290.8921,4194304
54,5145.638,4194304
61,5169.4582,4194304
68,5231.3304,4194304
75,4995.3655,4194304
82,4532.3151,4194304
89,3973.426,4194304
92,7884.5766,4194304
99,4533.0236,4194304
106,4596.9809,4194304
113,5346.923,4194304
120,4470.6742,4194304
127,4862.7615,4194304
134,4763.0109,4194304
141,5411.7041,4194304
6,12316.6757,16777216
13,9826.2776,16777216
34,11671.565,16777216
41,11626.0081,16777216
48,11824.5381,16777216
69,13491.1477,16777216
83,9537.5511,16777216
107,18851.8521,16777216
114,11078.351,16777216
135,15630.0148,16777216
142,14261.9402,16777216
