index,Retrieval Time (ms),Size (Bytes)
0,7.8297,4096
7,6.41,4096
14,5.7648,4096
21,55.0003,4096
28,54.0177,4096
35,74.5738,4096
42,50.5716,4096
49,2.5578,4096
56,3.4718,4096
63,77.5213,4096
70,51.3557,4096
77,2.7008,4096
84,254.1751,4096
97,74.8751,4096
104,2.6881,4096
111,55.3325,4096
118,75.7904,4096
125,58.5152,4096
132,50.494,4096
139,51.2175,4096
1,264.6774,16384
8,98.8108,16384
15,3.3164,16384
22,98.5039,16384
29,294.3316,16384
36,328.3217,16384
43,305.7549,16384
50,97.2225,16384
57,123.1346,16384
64,145.7055,16384
71,334.218,16384
78,97.7852,16384
85,294.9209,16384
98,97.4537,16384
105,73.9602,16384
112,287.1924,16384
119,335.1246,16384
126,98.2264,16384
133,329.9748,16384
140,121.3744,16384
2,123.6398,65536
9,74.9114,65536
16,3.6661,65536
23,255.0995,65536
30,246.5587,65536
37,307.7142,65536
44,307.0039,65536
51,516.3597,65536
58,257.5949,65536
65,320.384,65536
72,250.7656,65536
79,295.192,65536
86,302.5644,65536
99,553.73,65536
106,74.4133,65536
113,379.6702,65536
120,374.064,65536
127,125.2908,65536
134,351.0906,65536
141,338.6298,65536
3,544.5972,262144
10,393.8074,262144
17,5.7909,262144
24,679.361,262144
31,421.1687,262144
38,308.2105,262144
45,417.1973,262144
52,637.7309,262144
59,343.9,262144
66,467.7965,262144
73,420.6322,262144
80,594.4629,262144
87,372.6977,262144
100,328.627,262144
107,710.3514,262144
114,1100.0763,262144
121,482.6384,262144
128,1124.159,262144
135,611.9769,262144
142,368.4186,262144
4,1223.2051,1048576
11,1010.774,1048576
18,13.3133,1048576
25,1347.4428,1048576
32,902.4433,1048576
39,1101.0731,1048576
46,835.1284,1048576
53,886.1655,1048576
60,881.3232,1048576
67,1008.4585,1048576
74,849.1641,1048576
81,1321.6403,1048576
88,825.0218,1048576
91,1184.0805,1048576
101,1238.1829,1048576
108,1709.2147,1048576
115,1143.128,1048576
122,1280.3961,1048576
129,1879.5675,1048576
136,1406.3508,1048576
143,926.2203,1048576
5,3248.6665,4194304
12,4145.2184,4194304
19,79.8601,4194304
26,3448.7233,4194304
33,2876.3696,4194304
40,3258.9504,4194304
47,2945.754,4194304
54,2700.6918,4194304
61,2917.2632,4194304
68,3203.5764,4194304
75,2759.7868,4194304
82,3220.7746,4194304
89,2677.8715,4194304
92,3279.2778,4194304
95,4092.4868,4194304
102,4100.8036,4194304
109,4244.9574,4194304
116,3563.8129,4194304
123,2850.935,4194304
130,4028.3344,4194304
137,3497.6204,4194304
144,3708.3071,4194304
6,10097.6066,16777216
13,8360.1213,16777216
20,9936.537,16777216
27,7721.0274,16777216
55,7254.912,16777216
62,6717.2024,16777216
93,7054.702,16777216
117,7152.3871,16777216
