index,Retrieval Time (ms),Size (Bytes)
0,67.3607,4096
7,7.2664,4096
14,66.6088,4096
21,5.6771,4096
28,4.5754,4096
35,6.2952,4096
42,352.9518,4096
49,2.5121,4096
56,2.3806,4096
63,62.7585,4096
70,65.6213,4096
77,62.4939,4096
84,2.8518,4096
91,2.399,4096
98,62.2785,4096
111,2.5559,4096
118,65.4603,4096
125,142.0668,4096
132,2.6092,4096
139,299.0391,4096
146,139.6413,4096
1,321.8817,16384
8,5.5594,16384
15,152.7927,16384
22,3.8614,16384
29,2.9578,16384
36,63.3547,16384
43,122.3534,16384
50,320.0218,16384
57,429.2297,16384
64,326.6372,16384
71,325.3295,16384
78,62.2925,16384
85,92.197,16384
92,329.5654,16384
99,232.9954,16384
112,120.2928,16384
119,365.9847,16384
126,583.004,16384
133,291.6653,16384
140,446.0917,16384
147,353.8574,16384
2,66.806,65536
9,4.7857,65536
16,152.385,65536
23,3.7134,65536
30,3.5669,65536
37,324.8902,65536
44,271.6445,65536
51,331.2453,65536
58,322.5468,65536
65,466.6949,65536
72,345.8346,65536
79,265.1773,65536
86,345.5282,65536
93,332.4243,65536
100,279.2684,65536
113,1068.3056,65536
120,436.8168,65536
127,348.2127,65536
134,600.2084,65536
141,140.5522,65536
148,389.8661,65536
3,600.4077,262144
10,7.4126,262144
17,889.0109,262144
24,6.6383,262144
31,5.2786,262144
38,660.2718,262144
45,827.4348,262144
52,666.0254,262144
59,446.3099,262144
66,419.9749,262144
73,285.7366,262144
80,452.485,262144
87,409.481,262144
94,464.492,262144
101,410.7413,262144
114,492.0472,262144
121,664.5212,262144
128,460.122,262144
135,715.2368,262144
142,621.0386,262144
149,654.2924,262144
4,1063.623,1048576
11,13.5473,1048576
18,1704.77,1048576
25,12.4198,1048576
32,11.7037,1048576
39,1156.4468,1048576
46,1495.612,1048576
53,974.0147,1048576
60,1192.7433,1048576
67,1325.0284,1048576
74,1064.841,1048576
81,905.2885,1048576
88,1128.5151,1048576
95,963.3963,1048576
102,1430.9309,1048576
105,2302.893,1048576
115,1645.9981,1048576
122,1590.5576,1048576
129,1441.7048,1048576
136,1005.6299,1048576
143,1634.3138,1048576
150,1621.2086,1048576
5,3584.2439,4194304
12,42.5802,4194304
19,4988.2487,4194304
26,56.9743,4194304
33,52.1862,4194304
40,2849.9427,4194304
47,3456.1819,4194304
54,3079.209,4194304
61,4524.8722,4194304
68,4139.8353,4194304
75,3751.2062,4194304
82,3683.0726,4194304
89,2852.2442,4194304
96,3241.1287,4194304
103,3398.44,4194304
106,4594.322,4194304
109,4242.3319,4194304
116,4233.009,4194304
123,3798.7352,4194304
130,3004.3918,4194304
137,2984.0443,4194304
144,4856.8223,4194304
151,4523.7295,4194304
6,11888.8197,16777216
13,13191.3337,16777216
20,10572.2106,16777216
27,10301.7581,16777216
34,12047.4404,16777216
41,10602.3058,16777216
76,10439.4008,16777216
97,11095.7283,16777216
107,8224.6197,16777216
124,6956.0198,16777216
