Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
Mon Jun 19 2023 18:29:36,502.4767,4107,string,4096
-,-,-
Mon Jun 19 2023 18:30:57,287.7785,65550,string,65536
Mon Jun 19 2023 18:31:38,377.3345,262158,string,262144
-,-,-
Mon Jun 19 2023 18:32:08,477.8754,4195305,string,4194304
Mon Jun 19 2023 18:32:10,1851.2344,16781194,string,16777216
Mon Jun 19 2023 18:32:23,95.9562,4107,string,4096
Mon Jun 19 2023 18:32:24,1298.3006,16398,string,16384
Mon Jun 19 2023 18:32:24,156.0629,65550,string,65536
Mon Jun 19 2023 18:32:26,1490.9057,262158,string,262144
Mon Jun 19 2023 18:32:27,1563.0616,1048832,string,1048576
Mon Jun 19 2023 18:32:28,595.7956,4195305,string,4194304
Mon Jun 19 2023 18:32:31,3422.1172,16781194,string,16777216
Mon Jun 19 2023 18:34:36,175.7415,4107,string,4096
Mon Jun 19 2023 18:34:36,152.6255,16398,string,16384
Mon Jun 19 2023 18:35:16,260.9426,65550,string,65536
Mon Jun 19 2023 18:35:17,295.8386,262158,string,262144
Mon Jun 19 2023 18:35:20,3596.9537,1048832,string,1048576
Mon Jun 19 2023 18:35:21,756.3047,4195305,string,4194304
Mon Jun 19 2023 18:36:03,1663.7086,16781194,string,16777216
Mon Jun 19 2023 18:38:28,291.7453,4107,string,4096
Mon Jun 19 2023 18:39:09,1394.6100,16398,string,16384
Mon Jun 19 2023 18:39:11,1697.5876,65550,string,65536
Mon Jun 19 2023 18:39:12,1202.4456,262158,string,262144
Mon Jun 19 2023 18:39:13,1445.7341,1048832,string,1048576
Mon Jun 19 2023 18:39:14,673.0466,4195305,string,4194304
Mon Jun 19 2023 18:39:18,3311.7948,16781194,string,16777216
Mon Jun 19 2023 18:41:20,149.6672,4107,string,4096
Mon Jun 19 2023 18:41:20,149.5019,16398,string,16384
Mon Jun 19 2023 18:42:01,269.6958,65550,string,65536
Mon Jun 19 2023 18:42:01,284.0764,262158,string,262144
Mon Jun 19 2023 18:42:04,2523.1574,1048832,string,1048576
Mon Jun 19 2023 18:42:04,459.2275,4195305,string,4194304
Mon Jun 19 2023 18:42:46,1629.4648,16781194,string,16777216
Mon Jun 19 2023 18:46:31,1205.7280,4107,string,4096
Mon Jun 19 2023 18:46:33,1565.5741,16398,string,16384
Mon Jun 19 2023 18:46:34,1233.6672,65550,string,65536
Mon Jun 19 2023 18:46:35,1361.0937,262158,string,262144
Mon Jun 19 2023 18:46:36,287.2794,1048832,string,1048576
Mon Jun 19 2023 18:46:37,1635.0263,4195305,string,4194304
Mon Jun 19 2023 18:46:41,3359.2139,16781194,string,16777216
Mon Jun 19 2023 18:48:15,7029.7075,4107,string,4096
Mon Jun 19 2023 18:48:55,102.3104,16398,string,16384
-,-,-
Mon Jun 19 2023 18:50:55,118.4604,262158,string,262144
Mon Jun 19 2023 18:50:55,185.3680,1048832,string,1048576
Mon Jun 19 2023 18:50:56,511.6373,4195305,string,4194304
Mon Jun 19 2023 18:51:38,1637.5036,16781194,string,16777216
Mon Jun 19 2023 18:51:51,1268.4221,4107,string,4096
Mon Jun 19 2023 18:52:33,1266.3509,16398,string,16384
Mon Jun 19 2023 18:52:34,1304.8069,65550,string,65536
Mon Jun 19 2023 18:52:34,64.2889,262158,string,262144
-,-,-
Mon Jun 19 2023 18:53:56,1879.0119,4195305,string,4194304
Mon Jun 19 2023 18:54:00,3651.1156,16781194,string,16777216
Wed Jun 21 2023 00:02:44,211.0229,4107,string,4096
Wed Jun 21 2023 00:03:24,185.6504,16398,string,16384
Wed Jun 21 2023 00:03:24,230.6317,65550,string,65536
Wed Jun 21 2023 00:04:05,359.6463,262158,string,262144
Wed Jun 21 2023 00:04:08,3125.5981,1048832,string,1048576
Wed Jun 21 2023 00:04:09,703.4983,4195305,string,4194304
-,-,-
Wed Jun 21 2023 00:05:40,93.6892,4107,string,4096
Wed Jun 21 2023 00:05:41,133.2722,16398,string,16384
Wed Jun 21 2023 00:06:00,19817.7669,65550,string,65536
Wed Jun 21 2023 00:06:02,1398.1322,262158,string,262144
Wed Jun 21 2023 00:06:04,1831.0028,1048832,string,1048576
Wed Jun 21 2023 00:06:04,571.7713,4195305,string,4194304
Wed Jun 21 2023 00:06:06,1887.4778,16781194,string,16777216
Wed Jun 21 2023 00:18:10,236.9024,4107,string,4096
Wed Jun 21 2023 00:18:10,151.0113,16398,string,16384
-,-,-
Wed Jun 21 2023 00:20:10,382.5777,262158,string,262144
Wed Jun 21 2023 00:20:13,2545.7614,1048832,string,1048576
Wed Jun 21 2023 00:20:14,879.3933,4195305,string,4194304
Wed Jun 21 2023 00:20:56,1593.0934,16781194,string,16777216
Wed Jun 21 2023 00:21:06,77.3406,4107,string,4096
Wed Jun 21 2023 00:21:07,1102.3426,16398,string,16384
Wed Jun 21 2023 00:21:07,32.0511,65550,string,65536
Wed Jun 21 2023 00:21:09,1918.6026,262158,string,262144
Wed Jun 21 2023 00:21:10,1185.6851,1048832,string,1048576
Wed Jun 21 2023 00:21:10,473.1150,4195305,string,4194304
Wed Jun 21 2023 00:21:25,14322.3175,16781194,string,16777216
Wed Jun 21 2023 00:25:40,254.4379,4107,string,4096
Wed Jun 21 2023 00:25:40,165.3050,16398,string,16384
-,-,-
Wed Jun 21 2023 00:27:40,424.2777,262158,string,262144
Wed Jun 21 2023 00:27:41,345.1149,1048832,string,1048576
Wed Jun 21 2023 00:27:44,3252.6303,4195305,string,4194304
Wed Jun 21 2023 00:27:46,1366.7404,16781194,string,16777216
Wed Jun 21 2023 00:28:34,142.1693,4107,string,4096
Wed Jun 21 2023 00:28:34,169.8376,16398,string,16384
Wed Jun 21 2023 00:28:36,1451.4760,65550,string,65536
Wed Jun 21 2023 00:28:36,178.3998,262158,string,262144
Wed Jun 21 2023 00:28:39,2493.7848,1048832,string,1048576
Wed Jun 21 2023 00:28:41,2050.3043,4195305,string,4194304
Wed Jun 21 2023 00:28:43,2046.8762,16781194,string,16777216
Wed Jun 21 2023 00:36:32,316.0871,4107,string,4096
Wed Jun 21 2023 00:36:32,158.9664,16398,string,16384
-,-,-
Wed Jun 21 2023 00:37:53,423.6875,262158,string,262144
Wed Jun 21 2023 00:37:55,2467.1192,1048832,string,1048576
Wed Jun 21 2023 00:37:56,477.7357,4195305,string,4194304
Wed Jun 21 2023 00:38:22,25448.0292,16781194,string,16777216
Wed Jun 21 2023 00:39:26,131.6715,4107,string,4096
Wed Jun 21 2023 00:39:26,147.1516,16398,string,16384
Wed Jun 21 2023 00:40:08,1758.1348,65550,string,65536
Wed Jun 21 2023 00:40:09,1371.0684,262158,string,262144
Wed Jun 21 2023 00:40:10,179.1000,1048832,string,1048576
Wed Jun 21 2023 00:40:12,1909.2701,4195305,string,4194304
Wed Jun 21 2023 00:40:28,16516.2836,16781194,string,16777216
