Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
Mon Jun 19 2023 17:29:08,149.4983,4107,string,4096
Mon Jun 19 2023 17:29:09,375.5145,16398,string,16384
Mon Jun 19 2023 17:29:11,2113.2861,65550,string,65536
Mon Jun 19 2023 17:29:12,1615.7677,262158,string,262144
Mon Jun 19 2023 17:29:14,1935.3223,1048832,string,1048576
Mon Jun 19 2023 17:29:16,1168.1024,4195305,string,4194304
Mon Jun 19 2023 17:29:28,12044.0351,16781194,string,16777216
Mon Jun 19 2023 17:32:23,139.0921,4107,string,4096
Mon Jun 19 2023 17:32:24,1440.6744,16398,string,16384
Mon Jun 19 2023 17:32:27,2454.3613,65550,string,65536
Mon Jun 19 2023 17:32:28,1637.6013,262158,string,262144
Mon Jun 19 2023 17:32:30,1966.2558,1048832,string,1048576
Mon Jun 19 2023 17:32:33,2260.2098,4195305,string,4194304
Mon Jun 19 2023 17:32:37,3810.5528,16781194,string,16777216
Mon Jun 19 2023 17:32:49,143.6758,4107,string,4096
Mon Jun 19 2023 17:32:50,142.1156,16398,string,16384
Mon Jun 19 2023 17:32:51,1661.0762,65550,string,65536
Mon Jun 19 2023 17:33:33,1551.1376,262158,string,262144
Mon Jun 19 2023 17:33:35,1724.3394,1048832,string,1048576
Mon Jun 19 2023 17:33:35,435.1782,4195305,string,4194304
Mon Jun 19 2023 17:33:37,2213.5362,16781194,string,16777216
Mon Jun 19 2023 17:38:27,141.4790,4107,string,4096
Mon Jun 19 2023 17:39:09,1355.9162,16398,string,16384
Mon Jun 19 2023 17:39:11,1679.3757,65550,string,65536
Mon Jun 19 2023 17:39:12,1466.3147,262158,string,262144
Mon Jun 19 2023 17:39:14,1519.2464,1048832,string,1048576
Mon Jun 19 2023 17:39:14,475.6427,4195305,string,4194304
Mon Jun 19 2023 17:39:18,3167.5329,16781194,string,16777216
Mon Jun 19 2023 17:39:29,146.7196,4107,string,4096
Mon Jun 19 2023 17:40:11,1253.1112,16398,string,16384
