Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
Mon Jun 19 2023 18:29:08,248.8899,4107,string,4096
Mon Jun 19 2023 18:29:09,205.9735,16398,string,16384
Mon Jun 19 2023 18:29:11,2420.1772,65550,string,65536
Mon Jun 19 2023 18:29:13,1983.1148,262158,string,262144
Mon Jun 19 2023 18:29:16,2583.1279,1048832,string,1048576
Mon Jun 19 2023 18:29:19,2963.1312,4195305,string,4194304
Mon Jun 19 2023 18:29:28,8904.7170,16781194,string,16777216
Mon Jun 19 2023 18:29:37,443.1998,4107,string,4096
Mon Jun 19 2023 18:30:24,6995.7104,16398,string,16384
Mon Jun 19 2023 18:30:26,2753.4534,65550,string,65536
Mon Jun 19 2023 18:30:35,8417.1937,262158,string,262144
Mon Jun 19 2023 18:31:19,3621.7891,1048832,string,1048576
Mon Jun 19 2023 18:31:20,1577.3800,4195305,string,4194304
Mon Jun 19 2023 18:32:09,8690.1546,16781194,string,16777216
Mon Jun 19 2023 18:32:50,438.1742,4107,string,4096
Mon Jun 19 2023 18:33:03,13551.6121,16398,string,16384
Mon Jun 19 2023 18:33:04,358.9699,65550,string,65536
Mon Jun 19 2023 18:33:33,29660.1470,262158,string,262144
Mon Jun 19 2023 18:33:35,1808.2102,1048832,string,1048576
Mon Jun 19 2023 18:33:38,2524.3403,4195305,string,4194304
Mon Jun 19 2023 18:33:47,9429.2109,16781194,string,16777216
Mon Jun 19 2023 18:33:56,334.0332,4107,string,4096
-,-,-
Mon Jun 19 2023 18:35:56,360.5228,65550,string,65536
-,-,-
Mon Jun 19 2023 18:37:21,4078.8412,1048832,string,1048576
Mon Jun 19 2023 18:37:23,2301.3977,4195305,string,4194304
Mon Jun 19 2023 18:38:12,9322.2203,16781194,string,16777216
Mon Jun 19 2023 18:39:30,234.0992,4107,string,4096
Mon Jun 19 2023 18:40:11,1349.7341,16398,string,16384
Mon Jun 19 2023 18:40:12,1210.2587,65550,string,65536
Mon Jun 19 2023 18:40:14,1687.5562,262158,string,262144
Mon Jun 19 2023 18:40:16,1992.6625,1048832,string,1048576
Mon Jun 19 2023 18:40:19,3333.3764,4195305,string,4194304
Mon Jun 19 2023 18:40:32,12541.9603,16781194,string,16777216
Mon Jun 19 2023 18:40:41,416.1481,4107,string,4096
-,-,-
-,-,-
-,-,-
Mon Jun 19 2023 18:44:44,3631.7127,1048832,string,1048576
Mon Jun 19 2023 18:45:29,4678.8543,4195305,string,4194304
Mon Jun 19 2023 18:45:37,7839.9206,16781194,string,16777216
Mon Jun 19 2023 18:46:53,189.4668,4107,string,4096
Mon Jun 19 2023 18:46:53,238.1080,16398,string,16384
Mon Jun 19 2023 18:46:56,2312.6108,65550,string,65536
Mon Jun 19 2023 18:47:37,1649.6515,262158,string,262144
Mon Jun 19 2023 18:47:39,2049.3870,1048832,string,1048576
Mon Jun 19 2023 18:47:51,11837.4214,4195305,string,4194304
Mon Jun 19 2023 18:47:59,7112.1529,16781194,string,16777216
Mon Jun 19 2023 18:48:08,402.6774,4107,string,4096
Mon Jun 19 2023 18:48:48,306.2318,16398,string,16384
Mon Jun 19 2023 18:49:29,395.6701,65550,string,65536
Mon Jun 19 2023 18:49:29,426.1251,262158,string,262144
Mon Jun 19 2023 18:49:33,3726.8375,1048832,string,1048576
Mon Jun 19 2023 18:49:35,1700.4620,4195305,string,4194304
-,-,-
Wed Jun 21 2023 00:02:44,414.1067,4107,string,4096
Wed Jun 21 2023 00:03:24,125.3548,16398,string,16384
Wed Jun 21 2023 00:03:24,124.8222,65550,string,65536
Wed Jun 21 2023 00:04:05,329.3573,262158,string,262144
Wed Jun 21 2023 00:04:08,2923.0356,1048832,string,1048576
Wed Jun 21 2023 00:04:10,2354.0409,4195305,string,4194304
-,-,-
Wed Jun 21 2023 00:15:49,1496.5802,4107,string,4096
Wed Jun 21 2023 00:15:51,1353.4931,16398,string,16384
Wed Jun 21 2023 00:15:52,1272.3834,65550,string,65536
Wed Jun 21 2023 00:15:53,1401.8765,262158,string,262144
Wed Jun 21 2023 00:15:54,637.0086,1048832,string,1048576
Wed Jun 21 2023 00:15:57,2530.9537,4195305,string,4194304
Wed Jun 21 2023 00:16:03,6160.3651,16781194,string,16777216
Wed Jun 21 2023 00:18:10,333.6117,4107,string,4096
Wed Jun 21 2023 00:18:10,242.3332,16398,string,16384
-,-,-
Wed Jun 21 2023 00:20:11,261.8427,262158,string,262144
Wed Jun 21 2023 00:20:13,2733.9790,1048832,string,1048576
Wed Jun 21 2023 00:20:14,736.8078,4195305,string,4194304
Wed Jun 21 2023 00:20:58,3772.1333,16781194,string,16777216
Wed Jun 21 2023 00:21:32,361.4392,4107,string,4096
Wed Jun 21 2023 00:21:32,86.3517,16398,string,16384
Wed Jun 21 2023 00:22:12,120.1838,65550,string,65536
Wed Jun 21 2023 00:22:12,189.1895,262158,string,262144
Wed Jun 21 2023 00:22:53,256.8347,1048832,string,1048576
Wed Jun 21 2023 00:22:53,675.8854,4195305,string,4194304
Wed Jun 21 2023 00:22:57,3830.1710,16781194,string,16777216
Wed Jun 21 2023 00:25:40,192.6878,4107,string,4096
Wed Jun 21 2023 00:25:40,356.2202,16398,string,16384
-,-,-
-,-,-
Wed Jun 21 2023 00:28:20,395.6234,1048832,string,1048576
Wed Jun 21 2023 00:28:22,1398.4838,4195305,string,4194304
