index,Retrieval Time (ms),Size (Bytes)
0,140.2876,4096
7,1592.2367,4096
14,161.1207,4096
21,1381.6097,4096
28,143.1728,4096
35,163.5461,4096
42,144.6441,4096
49,3180.6662,4096
56,14002.9318,4096
63,146.2227,4096
98,142.4807,4096
105,140.4369,4096
1,147.0571,16384
8,1629.5766,16384
15,1571.1793,16384
22,1387.8363,16384
29,140.9141,16384
36,1344.8854,16384
43,142.6451,16384
50,170.1785,16384
99,1409.5255,16384
2,1516.9958,65536
9,1356.2178,65536
16,1460.1722,65536
23,218.51,65536
30,1418.4251,65536
37,219.7588,65536
44,1794.3835,65536
51,1230.7361,65536
100,1177.0311,65536
3,274.3692,262144
10,1657.6437,262144
17,1561.5963,262144
31,1644.6951,262144
38,1678.2063,262144
45,1839.6396,262144
52,335.6786,262144
101,339.0536,262144
4,1729.4428,1048576
11,570.1841,1048576
18,1814.3575,1048576
25,1963.7499,1048576
32,717.1276,1048576
39,1729.2015,1048576
46,1876.9148,1048576
53,1960.2661,1048576
102,1330.9677,1048576
5,2168.3329,4194304
12,15665.6223,4194304
19,1994.782,4194304
26,2072.6796,4194304
33,1930.4914,4194304
40,2241.5625,4194304
47,2028.9286,4194304
6,981.5738,16777216
13,3565.9615,16777216
20,2757.9959,16777216
27,3708.1485,16777216
34,2943.7934,16777216
41,3681.3961,16777216
48,2494.2997,16777216
55,3643.5501,16777216
