Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
Mon Jun 19 2023 18:55:17,222.0847,4107,string,4096
-,-,-
-,-,-
Mon Jun 19 2023 18:58:38,373.0168,262158,string,262144
-,-,-
Mon Jun 19 2023 18:59:52,3177.8656,4195305,string,4194304
-,-,-
Mon Jun 19 2023 19:01:27,1103.6681,4107,string,4096
Mon Jun 19 2023 19:01:27,126.8215,16398,string,16384
Mon Jun 19 2023 19:01:29,1063.0215,65550,string,65536
Mon Jun 19 2023 19:01:29,158.8298,262158,string,262144
Mon Jun 19 2023 19:01:44,14347.5159,1048832,string,1048576
Mon Jun 19 2023 19:01:44,697.1784,4195305,string,4194304
Mon Jun 19 2023 19:01:47,3042.4262,16781194,string,16777216
-,-,-
-,-,-
Mon Jun 19 2023 19:06:29,254.0203,65550,string,65536
-,-,-
Mon Jun 19 2023 19:07:53,2881.9337,1048832,string,1048576
-,-,-
Mon Jun 19 2023 19:09:06,2356.5156,16781194,string,16777216
Mon Jun 19 2023 19:09:35,103.8556,4107,string,4096
Mon Jun 19 2023 19:09:37,1439.8435,16398,string,16384
Mon Jun 19 2023 19:09:37,139.2065,65550,string,65536
-,-,-
Mon Jun 19 2023 19:10:59,1361.9060,1048832,string,1048576
Mon Jun 19 2023 19:11:01,1779.7372,4195305,string,4194304
Mon Jun 19 2023 19:11:03,1949.1337,16781194,string,16777216
-,-,-
Mon Jun 19 2023 19:13:41,170.0018,16398,string,16384
Mon Jun 19 2023 19:14:21,250.8164,65550,string,65536
Mon Jun 19 2023 19:14:22,297.7738,262158,string,262144
Mon Jun 19 2023 19:14:24,2377.3268,1048832,string,1048576
Mon Jun 19 2023 19:14:25,522.4545,4195305,string,4194304
Mon Jun 19 2023 19:15:07,1895.4959,16781194,string,16777216
Mon Jun 19 2023 19:17:59,1069.0263,4107,string,4096
Mon Jun 19 2023 19:17:59,26.4428,16398,string,16384
Mon Jun 19 2023 19:18:41,1314.8006,65550,string,65536
Mon Jun 19 2023 19:18:41,150.0810,262158,string,262144
Mon Jun 19 2023 19:18:43,1776.9044,1048832,string,1048576
Mon Jun 19 2023 19:18:43,588.2544,4195305,string,4194304
Mon Jun 19 2023 19:18:47,3298.5115,16781194,string,16777216
Mon Jun 19 2023 19:20:05,204.1995,4107,string,4096
-,-,-
-,-,-
Mon Jun 19 2023 19:23:26,372.8193,262158,string,262144
-,-,-
Mon Jun 19 2023 19:24:49,3024.6225,4195305,string,4194304
Mon Jun 19 2023 19:24:51,1475.8837,16781194,string,16777216
Mon Jun 19 2023 19:27:00,3102.0230,4107,string,4096
Mon Jun 19 2023 19:27:00,128.3719,16398,string,16384
Mon Jun 19 2023 19:27:42,1321.9894,65550,string,65536
Mon Jun 19 2023 19:27:43,193.9145,262158,string,262144
Mon Jun 19 2023 19:27:45,1986.9663,1048832,string,1048576
Mon Jun 19 2023 19:27:46,575.4474,4195305,string,4194304
Mon Jun 19 2023 19:27:49,3282.6285,16781194,string,16777216
Wed Jun 21 2023 00:47:30,297.4326,4107,string,4096
Wed Jun 21 2023 00:48:10,201.6985,16398,string,16384
Wed Jun 21 2023 00:48:51,255.0683,65550,string,65536
Wed Jun 21 2023 00:48:51,300.6619,262158,string,262144
