Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
Mon Jun 19 2023 18:54:13,148.4207,4107,string,4096
Mon Jun 19 2023 18:54:13,163.4718,16398,string,16384
Mon Jun 19 2023 18:54:55,1601.9323,65550,string,65536
Mon Jun 19 2023 18:54:58,2062.9522,262158,string,262144
Mon Jun 19 2023 18:54:58,423.9785,1048832,string,1048576
Mon Jun 19 2023 18:55:01,2876.9679,4195305,string,4194304
Mon Jun 19 2023 18:55:09,7884.6514,16781194,string,16777216
Mon Jun 19 2023 18:55:18,1072.5496,4107,string,4096
-,-,-
-,-,-
-,-,-
Mon Jun 19 2023 18:59:24,4179.5559,1048832,string,1048576
-,-,-
-,-,-
Mon Jun 19 2023 19:02:07,377.2374,4107,string,4096
Mon Jun 19 2023 19:02:10,1832.5412,16398,string,16384
Mon Jun 19 2023 19:02:11,1450.0449,65550,string,65536
Mon Jun 19 2023 19:02:13,1428.7713,262158,string,262144
Mon Jun 19 2023 19:02:16,2178.5722,1048832,string,1048576
Mon Jun 19 2023 19:02:19,2989.2744,4195305,string,4194304
Mon Jun 19 2023 19:02:27,7824.9505,16781194,string,16777216
-,-,-
-,-,-
Mon Jun 19 2023 19:06:30,205.9970,65550,string,65536
-,-,-
Mon Jun 19 2023 19:07:53,2941.2910,1048832,string,1048576
Mon Jun 19 2023 19:08:06,12819.9985,4195305,string,4194304
-,-,-
Mon Jun 19 2023 19:11:21,180.3453,4107,string,4096
Mon Jun 19 2023 19:11:22,200.6281,16398,string,16384
Mon Jun 19 2023 19:11:38,15720.9223,65550,string,65536
Mon Jun 19 2023 19:11:39,258.6074,262158,string,262144
Mon Jun 19 2023 19:11:41,1963.1259,1048832,string,1048576
Mon Jun 19 2023 19:11:44,2454.2479,4195305,string,4194304
Mon Jun 19 2023 19:11:50,5959.8196,16781194,string,16777216
-,-,-
Mon Jun 19 2023 19:13:41,149.5650,16398,string,16384
Mon Jun 19 2023 19:14:22,195.7380,65550,string,65536
-,-,-
Mon Jun 19 2023 19:15:45,2982.1384,1048832,string,1048576
Mon Jun 19 2023 19:16:30,4636.9814,4195305,string,4194304
-,-,-
Mon Jun 19 2023 19:19:04,102.3204,4107,string,4096
Mon Jun 19 2023 19:19:16,11669.7523,16398,string,16384
Mon Jun 19 2023 19:19:16,80.4210,65550,string,65536
Mon Jun 19 2023 19:19:18,1620.3236,262158,string,262144
Mon Jun 19 2023 19:19:19,494.9715,1048832,string,1048576
Mon Jun 19 2023 19:19:22,2468.4072,4195305,string,4194304
Mon Jun 19 2023 19:19:26,3747.6879,16781194,string,16777216
-,-,-
-,-,-
-,-,-
-,-,-
Mon Jun 19 2023 19:25:29,2971.4569,1048832,string,1048576
Mon Jun 19 2023 19:25:30,861.1430,4195305,string,4194304
-,-,-
Wed Jun 21 2023 00:47:30,274.1967,4107,string,4096
-,-,-
Wed Jun 21 2023 00:49:19,28581.1350,65550,string,65536
-,-,-
Wed Jun 21 2023 00:50:43,2951.9760,1048832,string,1048576
Wed Jun 21 2023 00:51:28,4050.3327,4195305,string,4194304
Wed Jun 21 2023 00:51:33,4644.2087,16781194,string,16777216
Wed Jun 21 2023 01:00:05,114.4157,4107,string,4096
Wed Jun 21 2023 01:00:06,178.4717,16398,string,16384
Wed Jun 21 2023 01:00:15,8358.8249,65550,string,65536
Wed Jun 21 2023 01:00:57,1625.0633,262158,string,262144
Wed Jun 21 2023 01:00:59,1710.0783,1048832,string,1048576
