index,Retrieval Time (ms),Size (Bytes)
0,54.3888,4096
7,321.666,4096
14,97.6266,4096
21,165.564,4096
28,128.1178,4096
35,181.9507,4096
42,94.8766,4096
49,196.4317,4096
56,252.5116,4096
63,60.5937,4096
70,254.5699,4096
77,124.8917,4096
84,193.0274,4096
91,298.4906,4096
98,230.2773,4096
105,129.9841,4096
1,34.4732,16384
8,307.8645,16384
15,141.5971,16384
22,183.6511,16384
29,151.9096,16384
36,133.9107,16384
43,46.8389,16384
50,217.6578,16384
64,69.3898,16384
71,53.8266,16384
78,103.4619,16384
85,229.6002,16384
92,102.9964,16384
99,73.9096,16384
106,101.1715,16384
2,108.8891,65536
9,48.5332,65536
16,68.312,65536
23,61.221,65536
30,80.19,65536
44,179.8294,65536
51,75.8896,65536
58,55.8252,65536
65,54.9154,65536
72,107.9432,65536
79,96.8683,65536
86,175.6544,65536
93,121.7597,65536
100,107.4626,65536
107,93.0324,65536
3,64.8331,262144
10,214.7987,262144
17,86.4767,262144
31,136.1987,262144
38,271.9214,262144
45,92.0004,262144
52,79.1745,262144
59,129.4241,262144
66,70.8179,262144
73,227.4613,262144
80,152.7758,262144
87,249.9434,262144
94,121.6417,262144
101,79.3523,262144
108,84.0518,262144
4,190.2295,1048576
11,364.0859,1048576
18,261.6161,1048576
32,337.8253,1048576
39,405.8678,1048576
46,395.5121,1048576
53,775.4128,1048576
60,454.8167,1048576
67,358.3134,1048576
74,708.2363,1048576
81,202.2623,1048576
88,752.316,1048576
95,515.028,1048576
102,187.4977,1048576
109,220.4301,1048576
5,570.6759,4194304
19,975.063,4194304
26,2811.8016,4194304
33,915.7512,4194304
40,1535.9785,4194304
47,853.3043,4194304
54,1995.7708,4194304
68,580.115,4194304
75,1926.0509,4194304
82,656.5273,4194304
89,1876.3087,4194304
96,809.8374,4194304
103,1616.1608,4194304
110,645.2377,4194304
6,1890.662,16777216
20,2308.6833,16777216
27,6313.6059,16777216
34,2162.2545,16777216
41,4604.7312,16777216
48,1846.2439,16777216
55,5342.6175,16777216
62,3562.7995,16777216
69,2182.7817,16777216
76,6796.9095,16777216
83,2080.2689,16777216
90,5318.4432,16777216
97,2203.5791,16777216
104,4791.4514,16777216
111,1975.3987,16777216
