Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
Mon Jun 19 2023 19:28:44,298.5863,4107,string,4096
Mon Jun 19 2023 19:28:44,192.2789,16398,string,16384
Mon Jun 19 2023 19:28:45,256.7159,65550,string,65536
Mon Jun 19 2023 19:28:45,287.1332,262158,string,262144
Mon Jun 19 2023 19:28:46,497.1962,1048832,string,1048576
Mon Jun 19 2023 19:28:47,552.2216,4195305,string,4194304
Mon Jun 19 2023 19:28:48,1301.3381,16781194,string,16777216
Mon Jun 19 2023 19:30:43,95.8257,4107,string,4096
Mon Jun 19 2023 19:30:44,24.9224,16398,string,16384
Mon Jun 19 2023 19:30:44,30.7919,65550,string,65536
Mon Jun 19 2023 19:30:44,76.8902,262158,string,262144
Mon Jun 19 2023 19:30:44,154.7560,1048832,string,1048576
Mon Jun 19 2023 19:30:45,527.5239,4195305,string,4194304
Mon Jun 19 2023 19:30:47,1919.6380,16781194,string,16777216
Mon Jun 19 2023 19:31:56,266.1003,4107,string,4096
Mon Jun 19 2023 19:31:56,153.7124,16398,string,16384
Mon Jun 19 2023 19:31:57,151.7984,65550,string,65536
Mon Jun 19 2023 19:31:57,192.2391,262158,string,262144
Mon Jun 19 2023 19:31:57,218.2277,1048832,string,1048576
Mon Jun 19 2023 19:31:58,347.3894,4195305,string,4194304
Mon Jun 19 2023 19:32:00,1403.5802,16781194,string,16777216
Mon Jun 19 2023 19:32:16,84.6681,4107,string,4096
Mon Jun 19 2023 19:32:16,31.4318,16398,string,16384
Mon Jun 19 2023 19:32:17,79.7068,65550,string,65536
Mon Jun 19 2023 19:32:17,48.2070,262158,string,262144
Mon Jun 19 2023 19:32:17,144.5916,1048832,string,1048576
Mon Jun 19 2023 19:32:18,520.5466,4195305,string,4194304
Mon Jun 19 2023 19:32:20,2449.2080,16781194,string,16777216
Mon Jun 19 2023 19:32:49,222.6145,4107,string,4096
Mon Jun 19 2023 19:32:49,160.0464,16398,string,16384
Mon Jun 19 2023 19:32:50,167.4071,65550,string,65536
Mon Jun 19 2023 19:32:50,259.2944,262158,string,262144
Mon Jun 19 2023 19:32:51,191.7223,1048832,string,1048576
Mon Jun 19 2023 19:32:51,483.2624,4195305,string,4194304
Mon Jun 19 2023 19:32:53,1780.4773,16781194,string,16777216
Mon Jun 19 2023 19:33:05,78.0300,4107,string,4096
Mon Jun 19 2023 19:33:05,25.7508,16398,string,16384
Mon Jun 19 2023 19:33:05,34.3403,65550,string,65536
Mon Jun 19 2023 19:33:05,103.1031,262158,string,262144
Mon Jun 19 2023 19:33:05,138.5696,1048832,string,1048576
Mon Jun 19 2023 19:33:06,469.7084,4195305,string,4194304
Mon Jun 19 2023 19:33:08,2168.4089,16781194,string,16777216
Mon Jun 19 2023 19:33:36,184.6922,4107,string,4096
Mon Jun 19 2023 19:33:36,177.9420,16398,string,16384
Mon Jun 19 2023 19:33:37,182.0302,65550,string,65536
Mon Jun 19 2023 19:33:37,187.8392,262158,string,262144
Mon Jun 19 2023 19:33:38,316.1115,1048832,string,1048576
Mon Jun 19 2023 19:33:38,514.8400,4195305,string,4194304
Mon Jun 19 2023 19:33:41,1766.9738,16781194,string,16777216
Mon Jun 19 2023 19:33:54,93.0785,4107,string,4096
Mon Jun 19 2023 19:33:54,105.2202,16398,string,16384
Mon Jun 19 2023 19:33:54,43.8207,65550,string,65536
Mon Jun 19 2023 19:33:55,52.5470,262158,string,262144
Mon Jun 19 2023 19:33:55,158.7765,1048832,string,1048576
Mon Jun 19 2023 19:33:56,507.4495,4195305,string,4194304
Mon Jun 19 2023 19:33:58,2565.8907,16781194,string,16777216
Wed Jun 21 2023 02:10:58,215.8514,4107,string,4096
Wed Jun 21 2023 02:10:59,155.3855,16398,string,16384
Wed Jun 21 2023 02:10:59,242.2633,65550,string,65536
Wed Jun 21 2023 02:11:00,314.4118,262158,string,262144
Wed Jun 21 2023 02:11:01,373.7027,1048832,string,1048576
Wed Jun 21 2023 02:11:01,483.0313,4195305,string,4194304
Wed Jun 21 2023 02:11:03,1284.7228,16781194,string,16777216
Wed Jun 21 2023 02:12:23,95.1543,4107,string,4096
Wed Jun 21 2023 02:12:23,23.5464,16398,string,16384
Wed Jun 21 2023 02:12:23,31.5518,65550,string,65536
Wed Jun 21 2023 02:12:23,49.7416,262158,string,262144
Wed Jun 21 2023 02:12:23,171.1917,1048832,string,1048576
Wed Jun 21 2023 02:12:24,488.6641,4195305,string,4194304
Wed Jun 21 2023 02:12:26,1817.4565,16781194,string,16777216
Wed Jun 21 2023 02:22:10,250.8660,4107,string,4096
Wed Jun 21 2023 02:22:10,151.2458,16398,string,16384
Wed Jun 21 2023 02:22:10,148.9315,65550,string,65536
Wed Jun 21 2023 02:22:11,171.4457,262158,string,262144
Wed Jun 21 2023 02:22:11,243.7096,1048832,string,1048576
Wed Jun 21 2023 02:22:12,457.1363,4195305,string,4194304
Wed Jun 21 2023 02:22:14,2262.4297,16781194,string,16777216
Wed Jun 21 2023 02:22:29,79.5450,4107,string,4096
Wed Jun 21 2023 02:22:29,30.1105,16398,string,16384
Wed Jun 21 2023 02:22:29,81.7668,65550,string,65536
Wed Jun 21 2023 02:22:29,56.4295,262158,string,262144
Wed Jun 21 2023 02:22:29,145.2781,1048832,string,1048576
Wed Jun 21 2023 02:22:30,494.6024,4195305,string,4194304
Wed Jun 21 2023 02:22:32,2193.7844,16781194,string,16777216
Wed Jun 21 2023 02:23:05,184.6810,4107,string,4096
Wed Jun 21 2023 02:23:05,158.6467,16398,string,16384
Wed Jun 21 2023 02:23:05,165.6866,65550,string,65536
Wed Jun 21 2023 02:23:06,185.0820,262158,string,262144
Wed Jun 21 2023 02:23:06,341.9981,1048832,string,1048576
Wed Jun 21 2023 02:23:07,751.0724,4195305,string,4194304
Wed Jun 21 2023 02:23:10,2672.3169,16781194,string,16777216
Wed Jun 21 2023 02:23:22,80.0382,4107,string,4096
Wed Jun 21 2023 02:23:22,26.4840,16398,string,16384
Wed Jun 21 2023 02:23:23,57.1660,65550,string,65536
Wed Jun 21 2023 02:23:23,61.9068,262158,string,262144
Wed Jun 21 2023 02:23:23,148.0654,1048832,string,1048576
Wed Jun 21 2023 02:23:24,502.5248,4195305,string,4194304
Wed Jun 21 2023 02:23:26,2067.3044,16781194,string,16777216
Wed Jun 21 2023 02:23:57,228.8328,4107,string,4096
Wed Jun 21 2023 02:23:57,160.3683,16398,string,16384
Wed Jun 21 2023 02:23:58,160.6347,65550,string,65536
Wed Jun 21 2023 02:23:58,191.7301,262158,string,262144
Wed Jun 21 2023 02:23:59,270.5204,1048832,string,1048576
Wed Jun 21 2023 02:23:59,792.3626,4195305,string,4194304
Wed Jun 21 2023 02:24:02,2502.0972,16781194,string,16777216
Wed Jun 21 2023 02:24:13,72.8511,4107,string,4096
Wed Jun 21 2023 02:24:14,27.9952,16398,string,16384
Wed Jun 21 2023 02:24:14,30.5194,65550,string,65536
Wed Jun 21 2023 02:24:14,47.4659,262158,string,262144
Wed Jun 21 2023 02:24:14,192.0565,1048832,string,1048576
Wed Jun 21 2023 02:24:15,459.9694,4195305,string,4194304
Wed Jun 21 2023 02:24:17,1972.9981,16781194,string,16777216
