Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
Mon Jun 19 2023 18:28:31,142.8889,4107,string,4096
Mon Jun 19 2023 18:28:32,158.1336,16398,string,16384
Mon Jun 19 2023 18:28:32,142.8453,65550,string,65536
Mon Jun 19 2023 18:28:33,151.5903,262158,string,262144
Mon Jun 19 2023 18:28:33,185.2990,1048832,string,1048576
Mon Jun 19 2023 18:28:34,335.7290,4195305,string,4194304
Mon Jun 19 2023 18:28:35,953.5546,16781194,string,16777216
Mon Jun 19 2023 18:31:25,1601.6657,4107,string,4096
Mon Jun 19 2023 18:31:25,149.3224,16398,string,16384
Mon Jun 19 2023 18:31:26,211.8045,65550,string,65536
Mon Jun 19 2023 18:31:27,352.0569,262158,string,262144
Mon Jun 19 2023 18:31:27,357.6606,1048832,string,1048576
Mon Jun 19 2023 18:31:28,609.8768,4195305,string,4194304
Mon Jun 19 2023 18:31:31,2203.1420,16781194,string,16777216
Mon Jun 19 2023 18:31:42,144.3355,4107,string,4096
Mon Jun 19 2023 18:31:43,151.7022,16398,string,16384
Mon Jun 19 2023 18:31:43,143.9304,65550,string,65536
Mon Jun 19 2023 18:31:44,149.0992,262158,string,262144
Mon Jun 19 2023 18:31:44,280.5837,1048832,string,1048576
Mon Jun 19 2023 18:31:45,355.1259,4195305,string,4194304
Mon Jun 19 2023 18:31:46,967.2457,16781194,string,16777216
Mon Jun 19 2023 18:32:16,141.6756,4107,string,4096
Mon Jun 19 2023 18:32:17,137.5410,16398,string,16384
Mon Jun 19 2023 18:32:17,156.2747,65550,string,65536
Mon Jun 19 2023 18:32:17,177.2946,262158,string,262144
Mon Jun 19 2023 18:32:18,279.3692,1048832,string,1048576
Mon Jun 19 2023 18:32:19,753.1426,4195305,string,4194304
Mon Jun 19 2023 18:32:21,1798.3049,16781194,string,16777216
Mon Jun 19 2023 18:32:33,154.2934,4107,string,4096
Mon Jun 19 2023 18:32:34,156.2640,16398,string,16384
Mon Jun 19 2023 18:32:34,155.5215,65550,string,65536
Mon Jun 19 2023 18:32:35,158.2734,262158,string,262144
Mon Jun 19 2023 18:32:35,176.0082,1048832,string,1048576
Mon Jun 19 2023 18:32:36,317.9963,4195305,string,4194304
Mon Jun 19 2023 18:32:37,906.6710,16781194,string,16777216
Mon Jun 19 2023 18:33:05,139.4898,4107,string,4096
Mon Jun 19 2023 18:33:05,145.5906,16398,string,16384
Mon Jun 19 2023 18:33:06,164.8292,65550,string,65536
Mon Jun 19 2023 18:33:06,208.5597,262158,string,262144
Mon Jun 19 2023 18:33:07,292.8670,1048832,string,1048576
Mon Jun 19 2023 18:33:08,799.4606,4195305,string,4194304
Mon Jun 19 2023 18:33:10,1937.9295,16781194,string,16777216
Mon Jun 19 2023 18:33:22,146.4600,4107,string,4096
Mon Jun 19 2023 18:33:23,150.7070,16398,string,16384
Mon Jun 19 2023 18:33:23,156.3352,65550,string,65536
Mon Jun 19 2023 18:33:24,152.5752,262158,string,262144
Mon Jun 19 2023 18:33:24,178.7022,1048832,string,1048576
Mon Jun 19 2023 18:33:25,557.3207,4195305,string,4194304
Mon Jun 19 2023 18:33:27,1133.7013,16781194,string,16777216
Mon Jun 19 2023 18:33:54,141.5327,4107,string,4096
Mon Jun 19 2023 18:33:54,140.4600,16398,string,16384
Mon Jun 19 2023 18:33:55,143.4966,65550,string,65536
Mon Jun 19 2023 18:33:55,194.1578,262158,string,262144
Mon Jun 19 2023 18:33:56,338.0147,1048832,string,1048576
Mon Jun 19 2023 18:33:57,811.8564,4195305,string,4194304
Mon Jun 19 2023 18:34:00,2177.3718,16781194,string,16777216
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
Wed Jun 21 2023 01:21:51,135.2046,4107,string,4096
Wed Jun 21 2023 01:21:51,139.6109,16398,string,16384
Wed Jun 21 2023 01:21:52,211.4222,65550,string,65536
Wed Jun 21 2023 01:21:52,275.2121,262158,string,262144
Wed Jun 21 2023 01:21:53,313.4124,1048832,string,1048576
Wed Jun 21 2023 01:21:54,502.7047,4195305,string,4194304
Wed Jun 21 2023 01:21:55,1267.4993,16781194,string,16777216
Wed Jun 21 2023 01:22:29,162.5761,4107,string,4096
Wed Jun 21 2023 01:22:29,150.3978,16398,string,16384
Wed Jun 21 2023 01:22:30,207.3427,65550,string,65536
Wed Jun 21 2023 01:22:30,220.3594,262158,string,262144
Wed Jun 21 2023 01:22:31,523.7421,1048832,string,1048576
Wed Jun 21 2023 01:22:33,1568.8111,4195305,string,4194304
Wed Jun 21 2023 01:22:38,4472.1377,16781194,string,16777216
Wed Jun 21 2023 01:22:45,146.7464,4107,string,4096
Wed Jun 21 2023 01:22:45,141.9420,16398,string,16384
Wed Jun 21 2023 01:22:46,145.2865,65550,string,65536
Wed Jun 21 2023 01:22:46,152.1036,262158,string,262144
Wed Jun 21 2023 01:22:47,161.3474,1048832,string,1048576
Wed Jun 21 2023 01:22:47,296.1063,4195305,string,4194304
Wed Jun 21 2023 01:22:49,1028.5842,16781194,string,16777216
Wed Jun 21 2023 01:23:22,144.1815,4107,string,4096
Wed Jun 21 2023 01:23:23,155.6317,16398,string,16384
Wed Jun 21 2023 01:23:23,162.4136,65550,string,65536
Wed Jun 21 2023 01:23:24,209.0978,262158,string,262144
Wed Jun 21 2023 01:23:25,441.8824,1048832,string,1048576
Wed Jun 21 2023 01:23:26,1380.0407,4195305,string,4194304
Wed Jun 21 2023 01:23:30,3839.0832,16781194,string,16777216
Wed Jun 21 2023 01:23:37,158.7337,4107,string,4096
Wed Jun 21 2023 01:23:38,141.9882,16398,string,16384
Wed Jun 21 2023 01:23:38,146.4851,65550,string,65536
Wed Jun 21 2023 01:23:38,154.9779,262158,string,262144
Wed Jun 21 2023 01:23:39,176.8837,1048832,string,1048576
Wed Jun 21 2023 01:23:39,307.7605,4195305,string,4194304
Wed Jun 21 2023 01:23:41,1066.9605,16781194,string,16777216
Wed Jun 21 2023 01:24:14,156.3456,4107,string,4096
Wed Jun 21 2023 01:24:14,222.4093,16398,string,16384
Wed Jun 21 2023 01:24:15,166.2072,65550,string,65536
Wed Jun 21 2023 01:24:15,220.5220,262158,string,262144
Wed Jun 21 2023 01:24:16,442.8031,1048832,string,1048576
Wed Jun 21 2023 01:24:17,1285.9347,4195305,string,4194304
Wed Jun 21 2023 01:24:21,3560.4860,16781194,string,16777216
Wed Jun 21 2023 01:24:29,145.6679,4107,string,4096
Wed Jun 21 2023 01:24:29,142.8145,16398,string,16384
Wed Jun 21 2023 01:24:30,144.0025,65550,string,65536
Wed Jun 21 2023 01:24:30,148.4765,262158,string,262144
Wed Jun 21 2023 01:24:30,169.9572,1048832,string,1048576
Wed Jun 21 2023 01:24:31,290.6064,4195305,string,4194304
Wed Jun 21 2023 01:24:32,905.3570,16781194,string,16777216
