Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
Mon Jun 19 2023 19:28:31,54.3888,4107,string,4096
Mon Jun 19 2023 19:28:32,34.4732,16398,string,16384
Mon Jun 19 2023 19:28:32,108.8891,65550,string,65536
Mon Jun 19 2023 19:28:32,64.8331,262158,string,262144
Mon Jun 19 2023 19:28:33,190.2295,1048832,string,1048576
Mon Jun 19 2023 19:28:33,570.6759,4195305,string,4194304
Mon Jun 19 2023 19:28:35,1890.6620,16781194,string,16777216
Mon Jun 19 2023 19:28:44,321.6660,4107,string,4096
Mon Jun 19 2023 19:28:45,307.8645,16398,string,16384
Mon Jun 19 2023 19:28:45,48.5332,65550,string,65536
Mon Jun 19 2023 19:28:45,214.7987,262158,string,262144
Mon Jun 19 2023 19:28:46,364.0859,1048832,string,1048576
-,-,-
-,-,-
Mon Jun 19 2023 19:31:42,97.6266,4107,string,4096
Mon Jun 19 2023 19:31:43,141.5971,16398,string,16384
Mon Jun 19 2023 19:31:43,68.3120,65550,string,65536
Mon Jun 19 2023 19:31:43,86.4767,262158,string,262144
Mon Jun 19 2023 19:31:44,261.6161,1048832,string,1048576
Mon Jun 19 2023 19:31:45,975.0630,4195305,string,4194304
Mon Jun 19 2023 19:31:48,2308.6833,16781194,string,16777216
Mon Jun 19 2023 19:31:56,165.5640,4107,string,4096
Mon Jun 19 2023 19:31:56,183.6511,16398,string,16384
Mon Jun 19 2023 19:31:57,61.2210,65550,string,65536
Mon Jun 19 2023 19:31:57,484.7686,262158,string,262144
Mon Jun 19 2023 19:31:59,1296.7103,1048832,string,1048576
Mon Jun 19 2023 19:32:02,2811.8016,4195305,string,4194304
Mon Jun 19 2023 19:32:09,6313.6059,16781194,string,16777216
Mon Jun 19 2023 19:32:33,128.1178,4107,string,4096
Mon Jun 19 2023 19:32:34,151.9096,16398,string,16384
Mon Jun 19 2023 19:32:35,80.1900,65550,string,65536
Mon Jun 19 2023 19:32:35,136.1987,262158,string,262144
Mon Jun 19 2023 19:32:36,337.8253,1048832,string,1048576
Mon Jun 19 2023 19:32:37,915.7512,4195305,string,4194304
Mon Jun 19 2023 19:32:40,2162.2545,16781194,string,16777216
Mon Jun 19 2023 19:32:49,181.9507,4107,string,4096
Mon Jun 19 2023 19:32:49,133.9107,16398,string,16384
Mon Jun 19 2023 19:32:50,196.0872,65550,string,65536
Mon Jun 19 2023 19:32:50,271.9214,262158,string,262144
Mon Jun 19 2023 19:32:51,405.8678,1048832,string,1048576
Mon Jun 19 2023 19:32:53,1535.9785,4195305,string,4194304
Mon Jun 19 2023 19:32:58,4604.7312,16781194,string,16777216
Mon Jun 19 2023 19:33:22,94.8766,4107,string,4096
Mon Jun 19 2023 19:33:23,46.8389,16398,string,16384
Mon Jun 19 2023 19:33:23,179.8294,65550,string,65536
Mon Jun 19 2023 19:33:24,92.0004,262158,string,262144
Mon Jun 19 2023 19:33:24,395.5121,1048832,string,1048576
Mon Jun 19 2023 19:33:26,853.3043,4195305,string,4194304
Mon Jun 19 2023 19:33:28,1846.2439,16781194,string,16777216
Mon Jun 19 2023 19:33:36,196.4317,4107,string,4096
Mon Jun 19 2023 19:33:37,217.6578,16398,string,16384
Mon Jun 19 2023 19:33:37,75.8896,65550,string,65536
Mon Jun 19 2023 19:33:38,79.1745,262158,string,262144
Mon Jun 19 2023 19:33:39,775.4128,1048832,string,1048576
Mon Jun 19 2023 19:33:41,1995.7708,4195305,string,4194304
Mon Jun 19 2023 19:33:47,5342.6175,16781194,string,16777216
Wed Jun 21 2023 02:10:58,252.5116,4107,string,4096
Wed Jun 21 2023 02:10:59,388.8224,16398,string,16384
Wed Jun 21 2023 02:10:59,55.8252,65550,string,65536
Wed Jun 21 2023 02:11:00,129.4241,262158,string,262144
Wed Jun 21 2023 02:11:01,454.8167,1048832,string,1048576
-,-,-
Wed Jun 21 2023 02:12:15,3562.7995,16781194,string,16777216
Wed Jun 21 2023 02:21:51,60.5937,4107,string,4096
Wed Jun 21 2023 02:21:51,69.3898,16398,string,16384
Wed Jun 21 2023 02:21:52,54.9154,65550,string,65536
Wed Jun 21 2023 02:21:52,70.8179,262158,string,262144
Wed Jun 21 2023 02:21:53,358.3134,1048832,string,1048576
Wed Jun 21 2023 02:21:54,580.1150,4195305,string,4194304
Wed Jun 21 2023 02:21:56,2182.7817,16781194,string,16777216
Wed Jun 21 2023 02:22:10,254.5699,4107,string,4096
Wed Jun 21 2023 02:22:10,53.8266,16398,string,16384
