index,Retrieval Time (ms),Size (Bytes)
0,143.3427,4096
7,142.9042,4096
14,158.7899,4096
21,148.3692,4096
28,150.518,4096
35,147.071,4096
42,149.8931,4096
49,141.3121,4096
63,140.1902,4096
77,161.3164,4096
84,158.9095,4096
91,142.9816,4096
98,151.9172,4096
105,139.7301,4096
1,141.8112,16384
8,147.8024,16384
15,138.3956,16384
29,144.7013,16384
43,143.8033,16384
50,135.5732,16384
57,138.0551,16384
64,138.259,16384
78,142.1615,16384
85,141.9631,16384
92,145.8772,16384
99,138.8869,16384
106,138.3131,16384
2,211.099,65536
9,140.8853,65536
16,147.0056,65536
23,187.9082,65536
30,147.5012,65536
37,191.1019,65536
44,146.3997,65536
51,170.8638,65536
58,206.4335,65536
65,140.5379,65536
72,143.0434,65536
79,142.7277,65536
86,142.8355,65536
93,157.9509,65536
100,140.9747,65536
107,139.2739,65536
10,144.4079,262144
17,153.5206,262144
24,172.4514,262144
31,167.1704,262144
38,150.257,262144
45,157.8279,262144
66,153.0454,262144
73,172.0814,262144
80,148.9304,262144
87,150.3436,262144
94,154.214,262144
101,141.6906,262144
108,174.2868,262144
4,310.4104,1048576
11,304.2088,1048576
18,173.1181,1048576
25,181.64,1048576
32,172.9203,1048576
39,167.4353,1048576
46,178.9616,1048576
53,313.446,1048576
60,308.3054,1048576
67,168.4531,1048576
74,213.9971,1048576
81,167.8217,1048576
88,164.6043,1048576
95,179.6587,1048576
102,159.5479,1048576
109,169.1376,1048576
5,425.6436,4194304
12,444.5053,4194304
19,346.4333,4194304
26,450.8716,4194304
33,341.2155,4194304
47,364.6972,4194304
54,459.8403,4194304
61,404.5428,4194304
68,325.0267,4194304
75,304.351,4194304
82,319.814,4194304
89,288.4594,4194304
96,288.8251,4194304
103,389.3945,4194304
110,328.4665,4194304
6,963.063,16777216
13,1315.6357,16777216
20,1150.3041,16777216
27,1570.4385,16777216
34,1097.3791,16777216
41,1319.021,16777216
48,1092.5119,16777216
55,1569.0668,16777216
62,1151.2826,16777216
69,1042.6567,16777216
76,1605.9118,16777216
83,967.539,16777216
90,1467.9126,16777216
97,1043.4892,16777216
104,1567.7242,16777216
111,1198.6631,16777216
