Date,Retrieval Time (ms),Size in Repo(Bytes),Type,Size (Bytes)
Mon Jun 19 2023 18:25:33,305.9461,4107,string,4096
Mon Jun 19 2023 18:25:33,167.8278,16398,string,16384
Mon Jun 19 2023 18:25:34,240.7303,65550,string,65536
Mon Jun 19 2023 18:25:34,298.8553,262158,string,262144
Mon Jun 19 2023 18:25:34,391.6987,1048832,string,1048576
Mon Jun 19 2023 18:25:35,458.3854,4195305,string,4194304
Mon Jun 19 2023 18:25:36,1315.4252,16781194,string,16777216
Mon Jun 19 2023 18:25:58,66.8600,4107,string,4096
Mon Jun 19 2023 18:25:58,24.3278,16398,string,16384
Mon Jun 19 2023 18:25:58,29.8512,65550,string,65536
Mon Jun 19 2023 18:25:58,61.9537,262158,string,262144
Mon Jun 19 2023 18:25:58,149.0523,1048832,string,1048576
Mon Jun 19 2023 18:25:59,458.8316,4195305,string,4194304
Mon Jun 19 2023 18:26:01,1874.3781,16781194,string,16777216
Mon Jun 19 2023 18:26:31,249.9648,4107,string,4096
Mon Jun 19 2023 18:26:31,154.1300,16398,string,16384
Mon Jun 19 2023 18:26:32,174.7369,65550,string,65536
Mon Jun 19 2023 18:26:32,157.2204,262158,string,262144
Mon Jun 19 2023 18:26:32,237.0753,1048832,string,1048576
Mon Jun 19 2023 18:26:32,461.9584,4195305,string,4194304
Mon Jun 19 2023 18:26:34,1741.9062,16781194,string,16777216
Mon Jun 19 2023 18:26:55,102.2284,4107,string,4096
Mon Jun 19 2023 18:26:55,29.5870,16398,string,16384
Mon Jun 19 2023 18:26:55,33.4899,65550,string,65536
Mon Jun 19 2023 18:26:55,52.2574,262158,string,262144
Mon Jun 19 2023 18:26:55,165.2065,1048832,string,1048576
Mon Jun 19 2023 18:26:56,512.4782,4195305,string,4194304
Mon Jun 19 2023 18:26:58,1994.2717,16781194,string,16777216
Mon Jun 19 2023 18:27:29,193.0053,4107,string,4096
Mon Jun 19 2023 18:27:29,210.5696,16398,string,16384
Mon Jun 19 2023 18:27:29,205.6721,65550,string,65536
Mon Jun 19 2023 18:27:29,295.7179,262158,string,262144
Mon Jun 19 2023 18:27:30,410.2325,1048832,string,1048576
Mon Jun 19 2023 18:27:31,787.0301,4195305,string,4194304
Mon Jun 19 2023 18:27:33,2351.6501,16781194,string,16777216
Mon Jun 19 2023 18:27:51,84.3656,4107,string,4096
Mon Jun 19 2023 18:27:51,28.6315,16398,string,16384
Mon Jun 19 2023 18:27:51,40.2431,65550,string,65536
Mon Jun 19 2023 18:27:52,61.0400,262158,string,262144
Mon Jun 19 2023 18:27:52,157.2905,1048832,string,1048576
Mon Jun 19 2023 18:27:52,490.4434,4195305,string,4194304
Mon Jun 19 2023 18:27:54,1887.2839,16781194,string,16777216
Mon Jun 19 2023 18:28:26,230.0649,4107,string,4096
Mon Jun 19 2023 18:28:26,158.9544,16398,string,16384
Mon Jun 19 2023 18:28:26,191.7305,65550,string,65536
Mon Jun 19 2023 18:28:27,194.9697,262158,string,262144
Mon Jun 19 2023 18:28:27,318.6079,1048832,string,1048576
Mon Jun 19 2023 18:28:28,641.6188,4195305,string,4194304
Mon Jun 19 2023 18:28:30,2269.7643,16781194,string,16777216
Mon Jun 19 2023 18:28:53,100.2003,4107,string,4096
Mon Jun 19 2023 18:28:53,24.8829,16398,string,16384
Mon Jun 19 2023 18:28:53,28.9986,65550,string,65536
Mon Jun 19 2023 18:28:53,112.8004,262158,string,262144
Mon Jun 19 2023 18:28:54,178.8926,1048832,string,1048576
Mon Jun 19 2023 18:28:54,595.9150,4195305,string,4194304
Mon Jun 19 2023 18:28:56,1999.6478,16781194,string,16777216
Tue Jun 20 2023 23:59:33,295.7823,4107,string,4096
Tue Jun 20 2023 23:59:33,168.5495,16398,string,16384
Tue Jun 20 2023 23:59:33,239.7648,65550,string,65536
Tue Jun 20 2023 23:59:34,297.2053,262158,string,262144
Tue Jun 20 2023 23:59:34,338.7226,1048832,string,1048576
Tue Jun 20 2023 23:59:35,451.9742,4195305,string,4194304
Tue Jun 20 2023 23:59:36,1423.2721,16781194,string,16777216
Tue Jun 20 2023 23:59:52,204.8011,4107,string,4096
Tue Jun 20 2023 23:59:53,27.7571,16398,string,16384
Tue Jun 20 2023 23:59:53,32.9445,65550,string,65536
Tue Jun 20 2023 23:59:53,68.5506,262158,string,262144
Tue Jun 20 2023 23:59:53,153.5214,1048832,string,1048576
Tue Jun 20 2023 23:59:53,448.9098,4195305,string,4194304
Tue Jun 20 2023 23:59:55,1816.6536,16781194,string,16777216
Wed Jun 21 2023 00:00:22,226.0336,4107,string,4096
Wed Jun 21 2023 00:00:22,154.8037,16398,string,16384
Wed Jun 21 2023 00:00:23,152.5467,65550,string,65536
Wed Jun 21 2023 00:00:23,160.1541,262158,string,262144
Wed Jun 21 2023 00:00:23,206.3342,1048832,string,1048576
Wed Jun 21 2023 00:00:23,386.4182,4195305,string,4194304
Wed Jun 21 2023 00:00:25,1447.0742,16781194,string,16777216
Wed Jun 21 2023 00:00:41,101.1247,4107,string,4096
Wed Jun 21 2023 00:00:41,104.7900,16398,string,16384
Wed Jun 21 2023 00:00:41,158.0872,65550,string,65536
Wed Jun 21 2023 00:00:41,80.4770,262158,string,262144
Wed Jun 21 2023 00:00:41,180.9377,1048832,string,1048576
Wed Jun 21 2023 00:00:42,460.0523,4195305,string,4194304
Wed Jun 21 2023 00:00:43,1685.9272,16781194,string,16777216
Wed Jun 21 2023 00:01:12,455.6736,4107,string,4096
Wed Jun 21 2023 00:01:12,149.2709,16398,string,16384
Wed Jun 21 2023 00:01:12,177.2893,65550,string,65536
Wed Jun 21 2023 00:01:12,183.6132,262158,string,262144
Wed Jun 21 2023 00:01:12,250.2252,1048832,string,1048576
Wed Jun 21 2023 00:01:13,431.1951,4195305,string,4194304
Wed Jun 21 2023 00:01:15,1846.2137,16781194,string,16777216
Wed Jun 21 2023 00:01:23,71.7248,4107,string,4096
Wed Jun 21 2023 00:01:23,28.6471,16398,string,16384
Wed Jun 21 2023 00:01:23,32.0004,65550,string,65536
Wed Jun 21 2023 00:01:23,52.6569,262158,string,262144
Wed Jun 21 2023 00:01:23,143.3360,1048832,string,1048576
Wed Jun 21 2023 00:01:24,458.5934,4195305,string,4194304
Wed Jun 21 2023 00:01:26,1712.8464,16781194,string,16777216
Wed Jun 21 2023 00:01:53,408.4360,4107,string,4096
Wed Jun 21 2023 00:01:53,164.3363,16398,string,16384
Wed Jun 21 2023 00:01:53,152.7946,65550,string,65536
Wed Jun 21 2023 00:01:53,169.5379,262158,string,262144
Wed Jun 21 2023 00:01:53,280.6073,1048832,string,1048576
Wed Jun 21 2023 00:01:54,529.7471,4195305,string,4194304
Wed Jun 21 2023 00:01:56,1862.9922,16781194,string,16777216
Wed Jun 21 2023 00:02:12,98.9662,4107,string,4096
Wed Jun 21 2023 00:02:12,76.2436,16398,string,16384
Wed Jun 21 2023 00:02:12,76.7331,65550,string,65536
Wed Jun 21 2023 00:02:12,60.5254,262158,string,262144
Wed Jun 21 2023 00:02:12,146.7247,1048832,string,1048576
Wed Jun 21 2023 00:02:12,468.4458,4195305,string,4194304
Wed Jun 21 2023 00:02:14,1738.2655,16781194,string,16777216
